Disease_category,Disease,Protein,Protein_definition,method,nsnp,OR [95% CI],Pvalue,QTL_type
Chapter X Diseases of the respiratory system,J10_ACUTELOWERNAS,SEPTIN8,Septin-8,Inverse variance weighted,2,0.47 [0.36-0.63],3.44279829413491e-07,cis
Chapter X Diseases of the respiratory system,J10_ACUTELOWERNAS,CTSS,Cathepsin S,Inverse variance weighted,23,1.16 [1.06-1.25],0.000571051617481853,cis
Chapter X Diseases of the respiratory system,J10_ACUTELOWERNAS,LRP11,Low-density lipoprotein receptor-related protein 11,Inverse variance weighted,33,1.14 [1.05-1.24],0.00125662449934169,cis
Chapter X Diseases of the respiratory system,J10_ACUTELOWERNAS,IL19,Interleukin-19,Inverse variance weighted,11,0.82 [0.73-0.93],0.00185632370702485,cis
Chapter X Diseases of the respiratory system,J10_ACUTELOWERNAS,IFNGR1,Interferon gamma receptor 1,Inverse variance weighted,4,1.37 [1.09-1.71],0.00633645512499334,cis
Chapter X Diseases of the respiratory system,J10_ACUTELOWERNAS,NCR3LG1,Natural cytotoxicity triggering receptor 3 ligand 1,Inverse variance weighted,19,1.17 [1.04-1.32],0.0076524506307505,cis
Chapter X Diseases of the respiratory system,J10_ACUTELOWERNAS,PIK3IP1,Phosphoinositide-3-kinase-interacting protein 1,Inverse variance weighted,14,1.18 [1.04-1.33],0.00808588784933868,cis
Chapter X Diseases of the respiratory system,J10_ACUTELOWERNAS,IL1RN,Interleukin-1 receptor antagonist protein,Inverse variance weighted,10,0.81 [0.7-0.95],0.00815476030229663,cis
Chapter X Diseases of the respiratory system,J10_ACUTELOWERNAS,RBP7,Retinoid-binding protein 7,Inverse variance weighted,8,0.73 [0.57-0.92],0.00906859701318871,cis
Chapter X Diseases of the respiratory system,J10_ACUTELOWERNAS,WNT9A,Protein Wnt-9a,Inverse variance weighted,3,1.51 [1.11-2.07],0.00949010777378214,cis
