Disease_category,Disease,Protein,Protein_definition,method,nsnp,OR [95% CI],Pvalue,QTL_type
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D3_ANAEMIA_IRONDEF_NAS,SEMA3F,Semaphorin-3F,Inverse variance weighted,15,1.88 [1.58-2.23],7.51858720606399e-13,cis
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D3_ANAEMIA_IRONDEF_NAS,IL18R1,Interleukin-18 receptor 1,Inverse variance weighted,46,1.07 [1.03-1.11],0.000104542201497149,cis
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D3_ANAEMIA_IRONDEF_NAS,RNASE1,Ribonuclease pancreatic,Inverse variance weighted,4,1.26 [1.11-1.43],0.000244636519526498,cis
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D3_ANAEMIA_IRONDEF_NAS,ADAM8,Disintegrin and metalloproteinase domain-containing protein 8,Inverse variance weighted,16,0.89 [0.82-0.96],0.002054014142512,cis
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D3_ANAEMIA_IRONDEF_NAS,NBL1,Neuroblastoma suppressor of tumorigenicity 1,Inverse variance weighted,2,1.51 [1.16-1.97],0.00258221030894708,cis
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D3_ANAEMIA_IRONDEF_NAS,SEPTIN8,Septin-8,Inverse variance weighted,2,1.31 [1.07-1.6],0.008111974818623,cis
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D3_ANAEMIA_IRONDEF_NAS,HPGDS,Hematopoietic prostaglandin D synthase,Inverse variance weighted,19,0.95 [0.91-0.99],0.0106090682247827,cis
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D3_ANAEMIA_IRONDEF_NAS,DCBLD2,"Discoidin, CUB and LCCL domain-containing protein 2",Inverse variance weighted,10,1.13 [1.03-1.24],0.0133712905030761,cis
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D3_ANAEMIA_IRONDEF_NAS,TGFBI,Transforming growth factor-beta-induced protein ig-h3,Inverse variance weighted,32,1.06 [1.01-1.12],0.0157900132016912,cis
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D3_ANAEMIA_IRONDEF_NAS,SIGLEC1,Sialoadhesin,Inverse variance weighted,20,0.92 [0.86-0.99],0.0176489564041793,cis
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D3_ANAEMIA_IRONDEF_NAS,UMOD,Uromodulin,Inverse variance weighted,29,1.04 [1.01-1.08],0.0200821796776433,cis
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D3_ANAEMIA_IRONDEF_NAS,HBQ1,Hemoglobin subunit theta-1,Inverse variance weighted,14,1.06 [1.01-1.12],0.0211163915600669,cis
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D3_ANAEMIA_IRONDEF_NAS,PLAUR,Urokinase plasminogen activator surface receptor,Inverse variance weighted,2,1.25 [1.03-1.51],0.0211484710454729,cis
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D3_ANAEMIA_IRONDEF_NAS,RTBDN,Retbindin,Inverse variance weighted,3,0.83 [0.71-0.97],0.0214143837853709,cis
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D3_ANAEMIA_IRONDEF_NAS,KLK8,Kallikrein-8,Inverse variance weighted,12,1.1 [1.01-1.19],0.0246203484961478,cis
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D3_ANAEMIA_IRONDEF_NAS,GPR37,Prosaposin receptor GPR37,Inverse variance weighted,36,1.05 [1.01-1.09],0.0247560536956692,cis
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D3_ANAEMIA_IRONDEF_NAS,NECTIN2,Nectin-2,Inverse variance weighted,5,0.91 [0.84-0.99],0.0248565739047642,cis
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D3_ANAEMIA_IRONDEF_NAS,TNFSF13B,Tumor necrosis factor ligand superfamily member 13B,Inverse variance weighted,6,1.16 [1.02-1.33],0.0273354597291018,cis
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D3_ANAEMIA_IRONDEF_NAS,HSPA2,Heat shock-related 70 kDa protein 2,Inverse variance weighted,3,0.74 [0.57-0.97],0.0278257263036303,cis
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D3_ANAEMIA_IRONDEF_NAS,EPO,Erythropoietin,Inverse variance weighted,5,0.69 [0.5-0.96],0.0282779831861634,cis
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D3_ANAEMIA_IRONDEF_NAS,EFEMP1,EGF-containing fibulin-like extracellular matrix protein 1,Inverse variance weighted,6,0.87 [0.76-0.98],0.0284331116974842,cis
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D3_ANAEMIA_IRONDEF_NAS,GFRA1,GDNF family receptor alpha-1,Inverse variance weighted,7,0.88 [0.78-0.99],0.0296089334430114,cis
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D3_ANAEMIA_IRONDEF_NAS,MET,Hepatocyte growth factor receptor,Inverse variance weighted,5,1.4 [1.03-1.89],0.0306558600668679,cis
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D3_ANAEMIA_IRONDEF_NAS,CTHRC1,Collagen triple helix repeat-containing protein 1,Inverse variance weighted,3,1.54 [1.04-2.27],0.0311973912421019,cis
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D3_ANAEMIA_IRONDEF_NAS,IL6ST,Interleukin-6 receptor subunit beta,Inverse variance weighted,3,1.18 [1.02-1.38],0.0314071038796021,cis
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D3_ANAEMIA_IRONDEF_NAS,SHISA5,Protein shisa-5,Inverse variance weighted,5,0.74 [0.56-0.98],0.0326648973380627,cis
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D3_ANAEMIA_IRONDEF_NAS,REG3A,Regenerating islet-derived protein 3-alpha,Inverse variance weighted,10,1.1 [1.01-1.21],0.0356891338142019,cis
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D3_ANAEMIA_IRONDEF_NAS,VWA1,von Willebrand factor A domain-containing protein 1,Inverse variance weighted,6,0.95 [0.91-1],0.0375819013921757,cis
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D3_ANAEMIA_IRONDEF_NAS,SMOC1,SPARC-related modular calcium-binding protein 1,Inverse variance weighted,15,0.92 [0.86-1],0.0378506548144032,cis
