Disease_category,Disease,Protein,Protein_definition,method,nsnp,OR [95% CI],Pvalue,QTL_type
Chapter II Neoplasms,C3_LUNG_NONSMALL_EXALLC,MMP12,Macrophage metalloelastase,Inverse variance weighted,18,0.93 [0.87-0.98],0.0142629518658186,cis
Chapter II Neoplasms,C3_LUNG_NONSMALL_EXALLC,SCGB3A1,Secretoglobin family 3A member 1,Inverse variance weighted,2,1.3 [0.96-1.78],0.0937714613672579,cis
Chapter II Neoplasms,C3_LUNG_NONSMALL_EXALLC,WFDC2,WAP four-disulfide core domain protein 2,Inverse variance weighted,2,0.78 [0.54-1.12],0.172362787030815,cis
Chapter II Neoplasms,C3_LUNG_NONSMALL_EXALLC,NTRK3,NT-3 growth factor receptor,Inverse variance weighted,9,1.11 [0.95-1.29],0.182699109277064,cis
Chapter II Neoplasms,C3_LUNG_NONSMALL_EXALLC,PRSS8,Prostasin,Inverse variance weighted,5,1.2 [0.9-1.6],0.22658286109214,cis
Chapter II Neoplasms,C3_LUNG_NONSMALL_EXALLC,GDF15,Growth/differentiation factor 15,Inverse variance weighted,12,0.79 [0.54-1.16],0.23143678244964,cis
Chapter II Neoplasms,C3_LUNG_NONSMALL_EXALLC,SERPINA3,Alpha-1-antichymotrypsin,Inverse variance weighted,10,1.07 [0.96-1.19],0.231549770481296,cis
Chapter II Neoplasms,C3_LUNG_NONSMALL_EXALLC,TNFRSF10B,Tumor necrosis factor receptor superfamily member 10B,Inverse variance weighted,15,0.94 [0.84-1.04],0.246311256696732,cis
Chapter II Neoplasms,C3_LUNG_NONSMALL_EXALLC,PLAUR,Urokinase plasminogen activator surface receptor,Inverse variance weighted,2,0.86 [0.65-1.13],0.276780996586882,cis
Chapter II Neoplasms,C3_LUNG_NONSMALL_EXALLC,CEACAM5,Carcinoembryonic antigen-related cell adhesion molecule 5,Inverse variance weighted,7,1.06 [0.95-1.19],0.302194928330875,cis
Chapter II Neoplasms,C3_LUNG_NONSMALL_EXALLC,ALPP,"Alkaline phosphatase, placental type",Inverse variance weighted,31,0.98 [0.91-1.05],0.497178300887037,cis
Chapter II Neoplasms,C3_LUNG_NONSMALL_EXALLC,CEACAM6,Carcinoembryonic antigen-related cell adhesion molecule 6,Wald ratio,1,1.13 [0.78-1.64],0.507959863210521,cis
Chapter II Neoplasms,C3_LUNG_NONSMALL_EXALLC,ICAM1,Intercellular adhesion molecule 1,Inverse variance weighted,28,1.03 [0.94-1.13],0.515223550664404,cis
Chapter II Neoplasms,C3_LUNG_NONSMALL_EXALLC,TREM2,Triggering receptor expressed on myeloid cells 2,Inverse variance weighted,4,1.05 [0.91-1.2],0.523113831728256,cis
Chapter II Neoplasms,C3_LUNG_NONSMALL_EXALLC,IFI30,Gamma-interferon-inducible lysosomal thiol reductase,Inverse variance weighted,13,1.03 [0.94-1.14],0.52972195903328,cis
Chapter II Neoplasms,C3_LUNG_NONSMALL_EXALLC,TNFSF13B,Tumor necrosis factor ligand superfamily member 13B,Inverse variance weighted,6,1.06 [0.87-1.29],0.567719847317638,cis
Chapter II Neoplasms,C3_LUNG_NONSMALL_EXALLC,SFTPD,Pulmonary surfactant-associated protein D,Inverse variance weighted,31,0.99 [0.94-1.04],0.614559884256609,cis
Chapter II Neoplasms,C3_LUNG_NONSMALL_EXALLC,TNR,Tenascin-R,Inverse variance weighted,16,1.02 [0.93-1.13],0.638795389357201,cis
Chapter II Neoplasms,C3_LUNG_NONSMALL_EXALLC,CXCL17,C-X-C motif chemokine 17,Inverse variance weighted,2,0.91 [0.54-1.54],0.735403124168304,cis
Chapter II Neoplasms,C3_LUNG_NONSMALL_EXALLC,PIGR,Polymeric immunoglobulin receptor,Inverse variance weighted,21,1.04 [0.78-1.4],0.77899587626425,cis
Chapter II Neoplasms,C3_LUNG_NONSMALL_EXALLC,CDCP1,CUB domain-containing protein 1,Inverse variance weighted,14,1.02 [0.89-1.17],0.787150778308501,cis
Chapter II Neoplasms,C3_LUNG_NONSMALL_EXALLC,LAMP3,Lysosome-associated membrane glycoprotein 3,Inverse variance weighted,8,0.98 [0.81-1.18],0.806718491745185,cis
Chapter II Neoplasms,C3_LUNG_NONSMALL_EXALLC,SFTPA2,Pulmonary surfactant-associated protein A2,Inverse variance weighted,19,1.01 [0.95-1.07],0.824695690421434,cis
Chapter II Neoplasms,C3_LUNG_NONSMALL_EXALLC,TREM2,Triggering receptor expressed on myeloid cells 2,Inverse variance weighted,35,0.92 [0.84-1],0.0401723162383283,trans
Chapter II Neoplasms,C3_LUNG_NONSMALL_EXALLC,TNFSF13B,Tumor necrosis factor ligand superfamily member 13B,Inverse variance weighted,19,1.18 [1-1.4],0.0509922923391763,trans
Chapter II Neoplasms,C3_LUNG_NONSMALL_EXALLC,SLITRK2,SLIT and NTRK-like protein 2,Inverse variance weighted,12,0.81 [0.64-1.02],0.0679388363199333,trans
Chapter II Neoplasms,C3_LUNG_NONSMALL_EXALLC,PRSS8,Prostasin,Inverse variance weighted,14,0.87 [0.71-1.05],0.14880079550946,trans
Chapter II Neoplasms,C3_LUNG_NONSMALL_EXALLC,NTRK3,NT-3 growth factor receptor,Inverse variance weighted,7,0.86 [0.66-1.1],0.2325636787137,trans
Chapter II Neoplasms,C3_LUNG_NONSMALL_EXALLC,CEACAM6,Carcinoembryonic antigen-related cell adhesion molecule 6,Inverse variance weighted,27,0.92 [0.79-1.06],0.257389107539091,trans
Chapter II Neoplasms,C3_LUNG_NONSMALL_EXALLC,TNR,Tenascin-R,Inverse variance weighted,19,0.92 [0.77-1.11],0.384230443981141,trans
Chapter II Neoplasms,C3_LUNG_NONSMALL_EXALLC,IFI30,Gamma-interferon-inducible lysosomal thiol reductase,Inverse variance weighted,5,0.82 [0.53-1.29],0.389792388059165,trans
Chapter II Neoplasms,C3_LUNG_NONSMALL_EXALLC,MMP12,Macrophage metalloelastase,Inverse variance weighted,2,1.39 [0.65-2.97],0.401989791685473,trans
Chapter II Neoplasms,C3_LUNG_NONSMALL_EXALLC,PIGR,Polymeric immunoglobulin receptor,Inverse variance weighted,10,0.9 [0.66-1.22],0.504183158308977,trans
Chapter II Neoplasms,C3_LUNG_NONSMALL_EXALLC,GDF15,Growth/differentiation factor 15,Wald ratio,1,1.47 [0.44-4.92],0.532891085722054,trans
Chapter II Neoplasms,C3_LUNG_NONSMALL_EXALLC,TNFRSF10B,Tumor necrosis factor receptor superfamily member 10B,Inverse variance weighted,3,0.87 [0.51-1.47],0.599953056470211,trans
Chapter II Neoplasms,C3_LUNG_NONSMALL_EXALLC,PLAUR,Urokinase plasminogen activator surface receptor,Inverse variance weighted,8,0.94 [0.73-1.21],0.624694596208414,trans
Chapter II Neoplasms,C3_LUNG_NONSMALL_EXALLC,CDCP1,CUB domain-containing protein 1,Inverse variance weighted,9,1.05 [0.85-1.29],0.649007585412635,trans
Chapter II Neoplasms,C3_LUNG_NONSMALL_EXALLC,LAMP3,Lysosome-associated membrane glycoprotein 3,Inverse variance weighted,13,0.93 [0.67-1.28],0.657651089743908,trans
Chapter II Neoplasms,C3_LUNG_NONSMALL_EXALLC,CXCL17,C-X-C motif chemokine 17,Inverse variance weighted,6,0.92 [0.62-1.35],0.669153029678767,trans
Chapter II Neoplasms,C3_LUNG_NONSMALL_EXALLC,SCGB3A1,Secretoglobin family 3A member 1,Inverse variance weighted,26,0.98 [0.88-1.09],0.681176132506463,trans
Chapter II Neoplasms,C3_LUNG_NONSMALL_EXALLC,SFTPA2,Pulmonary surfactant-associated protein A2,Inverse variance weighted,27,1.01 [0.95-1.08],0.700364894450334,trans
Chapter II Neoplasms,C3_LUNG_NONSMALL_EXALLC,ICAM1,Intercellular adhesion molecule 1,Inverse variance weighted,4,0.95 [0.67-1.35],0.781680481093676,trans
Chapter II Neoplasms,C3_LUNG_NONSMALL_EXALLC,CEACAM5,Carcinoembryonic antigen-related cell adhesion molecule 5,Inverse variance weighted,25,0.98 [0.84-1.15],0.826825140526111,trans
Chapter II Neoplasms,C3_LUNG_NONSMALL_EXALLC,WFDC2,WAP four-disulfide core domain protein 2,Inverse variance weighted,4,0.94 [0.52-1.7],0.840926719623812,trans
Chapter II Neoplasms,C3_LUNG_NONSMALL_EXALLC,SFTPD,Pulmonary surfactant-associated protein D,Inverse variance weighted,54,1 [0.95-1.06],0.850119779170572,trans
Chapter II Neoplasms,C3_LUNG_NONSMALL_EXALLC,ALPP,"Alkaline phosphatase, placental type",Inverse variance weighted,21,0.97 [0.73-1.31],0.860761468948904,trans
Chapter II Neoplasms,C3_LUNG_NONSMALL_EXALLC,SERPINA3,Alpha-1-antichymotrypsin,Inverse variance weighted,2,1.01 [0.32-3.26],0.980815237452144,trans
