Disease_category,Disease,Protein,Protein_definition,method,nsnp,OR [95% CI],Pvalue,QTL_type
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_DORSOPATHY,DLK1,Protein delta homolog 1,Inverse variance weighted,25,0.96 [0.94-0.98],0.000153303014648743,cis
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_DORSOPATHY,LRP11,Low-density lipoprotein receptor-related protein 11,Inverse variance weighted,33,0.97 [0.95-0.99],0.00133011795492842,cis
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_DORSOPATHY,GFRA1,GDNF family receptor alpha-1,Inverse variance weighted,7,1.07 [1.03-1.11],0.00140656229190551,cis
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_DORSOPATHY,CTSO,Cathepsin O,Inverse variance weighted,6,1.08 [1.03-1.13],0.00236250928579107,cis
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_DORSOPATHY,CFHR5,Complement factor H-related protein 5,Inverse variance weighted,25,1.02 [1.01-1.03],0.00300251814527298,cis
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_DORSOPATHY,ACAN,Aggrecan core protein,Inverse variance weighted,3,0.83 [0.72-0.94],0.00423898633193812,cis
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_DORSOPATHY,SEMA3F,Semaphorin-3F,Inverse variance weighted,15,0.92 [0.86-0.98],0.00612631414286253,cis
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_DORSOPATHY,ATRAID,All-trans retinoic acid-induced differentiation factor,Inverse variance weighted,8,0.95 [0.92-0.99],0.00647559084454596,cis
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_DORSOPATHY,PIGR,Polymeric immunoglobulin receptor,Inverse variance weighted,21,0.88 [0.8-0.97],0.00756734759106746,cis
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_DORSOPATHY,TNFRSF14,Tumor necrosis factor receptor superfamily member 14,Wald ratio,1,1.13 [1.03-1.23],0.0087928050808619,cis
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_DORSOPATHY,TAFA5,Chemokine-like protein TAFA-5,Inverse variance weighted,10,1.05 [1.01-1.09],0.00962254389184332,cis
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_DORSOPATHY,CD300E,CMRF35-like molecule 2,Inverse variance weighted,21,0.97 [0.95-0.99],0.0115892702227741,cis
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_DORSOPATHY,HPGDS,Hematopoietic prostaglandin D synthase,Inverse variance weighted,19,0.98 [0.97-1],0.0120831106539847,cis
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_DORSOPATHY,ANGPTL4,Angiopoietin-related protein 4,Inverse variance weighted,7,1.04 [1.01-1.07],0.0150777267781935,cis
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_DORSOPATHY,ENPP6,Glycerophosphocholine cholinephosphodiesterase ENPP6,Inverse variance weighted,15,1.03 [1-1.05],0.0159639175156162,cis
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_DORSOPATHY,SPON2,Spondin-2,Inverse variance weighted,4,0.95 [0.91-0.99],0.0201292067313556,cis
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_DORSOPATHY,SIRPB1,Signal-regulatory protein beta-1,Inverse variance weighted,27,1.02 [1-1.04],0.0201362399604016,cis
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_DORSOPATHY,BTN2A1,Butyrophilin subfamily 2 member A1,Wald ratio,1,0.88 [0.78-0.98],0.0208637823902524,cis
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_DORSOPATHY,ANXA10,Annexin A10,Wald ratio,1,1.27 [1.04-1.55],0.0213920821373455,cis
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_DORSOPATHY,LAIR1,Leukocyte-associated immunoglobulin-like receptor 1,Inverse variance weighted,16,0.97 [0.94-1],0.0268465644498848,cis
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_DORSOPATHY,FGL1,Fibrinogen-like protein 1,Inverse variance weighted,30,0.98 [0.96-1],0.0269206258783732,cis
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_DORSOPATHY,LAYN,Layilin,Inverse variance weighted,20,0.96 [0.93-1],0.0286198983506635,cis
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_DORSOPATHY,CLEC14A,C-type lectin domain family 14 member A,Wald ratio,1,1.14 [1.01-1.29],0.0331894469637369,cis
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_DORSOPATHY,SDC1,Syndecan-1,Inverse variance weighted,2,1.08 [1.01-1.17],0.0344938775149704,cis
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_DORSOPATHY,ELN,Elastin,Inverse variance weighted,2,1.19 [1.01-1.41],0.0369786301851607,cis
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_DORSOPATHY,DCBLD2,"Discoidin, CUB and LCCL domain-containing protein 2",Inverse variance weighted,10,1.05 [1-1.1],0.042010607660573,cis
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_DORSOPATHY,SIGLEC1,Sialoadhesin,Inverse variance weighted,20,0.98 [0.95-1],0.0475845692770403,cis
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_DORSOPATHY,EGFR,Epidermal growth factor receptor,Inverse variance weighted,7,1.08 [1-1.16],0.0484356298749307,cis
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_DORSOPATHY,VWC2,Brorin,Inverse variance weighted,22,1.03 [1-1.05],0.0514115189994877,cis
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_DORSOPATHY,CGREF1,Cell growth regulator with EF hand domain protein 1,Inverse variance weighted,29,0.98 [0.97-1],0.0519545872331505,cis
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_DORSOPATHY,FBLN2,Fibulin-2,Inverse variance weighted,11,1.03 [1-1.07],0.0560619563429273,cis
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_DORSOPATHY,CLEC3B,Tetranectin,Inverse variance weighted,7,1.06 [1-1.12],0.0576705857049984,cis
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_DORSOPATHY,GM2A,Ganglioside GM2 activator,Inverse variance weighted,24,0.98 [0.97-1],0.0589496439946029,cis
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_DORSOPATHY,EFNA4,Ephrin-A4,Inverse variance weighted,3,0.91 [0.82-1.01],0.0632078084506977,cis
