Disease_category,Disease,Protein,Protein_definition,method,nsnp,OR [95% CI],Pvalue,QTL_type
Chapter XII Diseases of the skin and subcutaneous tissue,L12_INFECT_SKIN,IL12B,Interleukin-12 subunit beta,Inverse variance weighted,24,1.07 [1.03-1.11],0.00058354207322742,cis
Chapter XII Diseases of the skin and subcutaneous tissue,L12_INFECT_SKIN,ASGR1,Asialoglycoprotein receptor 1,Inverse variance weighted,2,1.19 [1.06-1.34],0.00271301102727795,cis
Chapter XII Diseases of the skin and subcutaneous tissue,L12_INFECT_SKIN,PENK,Proenkephalin-A,Inverse variance weighted,19,1.08 [1.02-1.14],0.00388009434656142,cis
Chapter XII Diseases of the skin and subcutaneous tissue,L12_INFECT_SKIN,MMP8,Neutrophil collagenase,Inverse variance weighted,17,1.05 [1.01-1.1],0.0120990365187341,cis
Chapter XII Diseases of the skin and subcutaneous tissue,L12_INFECT_SKIN,ITGAV,Integrin alpha-V,Inverse variance weighted,5,0.84 [0.73-0.96],0.0134651399675286,cis
Chapter XII Diseases of the skin and subcutaneous tissue,L12_INFECT_SKIN,CD80,T-lymphocyte activation antigen CD80,Inverse variance weighted,16,0.95 [0.91-0.99],0.0154401277232184,cis
Chapter XII Diseases of the skin and subcutaneous tissue,L12_INFECT_SKIN,MRC1,Macrophage mannose receptor 1,Inverse variance weighted,7,1.16 [1.03-1.31],0.0187791600483771,cis
Chapter XII Diseases of the skin and subcutaneous tissue,L12_INFECT_SKIN,TNFRSF6B,Tumor necrosis factor receptor superfamily member 6B,Inverse variance weighted,22,0.93 [0.88-0.99],0.0217773396842713,cis
Chapter XII Diseases of the skin and subcutaneous tissue,L12_INFECT_SKIN,GM2A,Ganglioside GM2 activator,Inverse variance weighted,24,0.96 [0.93-0.99],0.0224300787852595,cis
Chapter XII Diseases of the skin and subcutaneous tissue,L12_INFECT_SKIN,CD274,Programmed cell death 1 ligand 1,Inverse variance weighted,22,0.94 [0.9-0.99],0.0224527975104675,cis
Chapter XII Diseases of the skin and subcutaneous tissue,L12_INFECT_SKIN,ULBP2,UL16-binding protein 2,Inverse variance weighted,25,1.04 [1.01-1.07],0.0237530235552994,cis
Chapter XII Diseases of the skin and subcutaneous tissue,L12_INFECT_SKIN,SNCG,Gamma-synuclein,Inverse variance weighted,36,0.96 [0.93-1],0.0242168670748845,cis
Chapter XII Diseases of the skin and subcutaneous tissue,L12_INFECT_SKIN,TNFRSF11A,Tumor necrosis factor receptor superfamily member 11A,Inverse variance weighted,25,0.96 [0.92-0.99],0.0245040391263039,cis
Chapter XII Diseases of the skin and subcutaneous tissue,L12_INFECT_SKIN,IL1R1,Interleukin-1 receptor type 1,Inverse variance weighted,7,1.1 [1.01-1.2],0.0267126364553338,cis
Chapter XII Diseases of the skin and subcutaneous tissue,L12_INFECT_SKIN,TFRC,Transferrin receptor protein 1,Inverse variance weighted,28,0.94 [0.88-0.99],0.0271979749284533,cis
