Disease_category,Disease,Protein,Protein_definition,method,nsnp,OR [95% CI],Pvalue,QTL_type
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_LOWBACKPAIN,BTN2A1,Butyrophilin subfamily 2 member A1,Wald ratio,1,0.73 [0.61-0.89],0.00120900949872537,cis
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_LOWBACKPAIN,PIK3IP1,Phosphoinositide-3-kinase-interacting protein 1,Inverse variance weighted,14,1.07 [1.02-1.13],0.006170607086016,cis
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_LOWBACKPAIN,LAIR1,Leukocyte-associated immunoglobulin-like receptor 1,Inverse variance weighted,16,0.93 [0.88-0.99],0.0144786444109549,cis
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_LOWBACKPAIN,MAD1L1,Mitotic spindle assembly checkpoint protein MAD1,Inverse variance weighted,4,1.17 [1.03-1.33],0.0158290223393614,cis
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_LOWBACKPAIN,AGR2,Anterior gradient protein 2 homolog,Wald ratio,1,1.21 [1.03-1.43],0.018008636189644,cis
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_LOWBACKPAIN,MERTK,Tyrosine-protein kinase Mer,Inverse variance weighted,11,1.06 [1-1.13],0.0487697512954826,cis
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_LOWBACKPAIN,LMNB2,Lamin-B2,Wald ratio,1,0.66 [0.43-1],0.0507291700329134,cis
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_LOWBACKPAIN,PIGR,Polymeric immunoglobulin receptor,Inverse variance weighted,21,0.83 [0.69-1],0.0507601943571499,cis
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_LOWBACKPAIN,GP2,Pancreatic secretory granule membrane major glycoprotein GP2,Inverse variance weighted,6,0.94 [0.88-1],0.0541974929455229,cis
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_LOWBACKPAIN,GFRA1,GDNF family receptor alpha-1,Inverse variance weighted,7,1.06 [1-1.13],0.0557004301758868,cis
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_LOWBACKPAIN,LRP11,Low-density lipoprotein receptor-related protein 11,Inverse variance weighted,33,0.97 [0.94-1],0.0618885769368463,cis
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_LOWBACKPAIN,PTN,Pleiotrophin,Inverse variance weighted,4,1.14 [0.99-1.32],0.0731107621915208,cis
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_LOWBACKPAIN,TNFRSF10A,Tumor necrosis factor receptor superfamily member 10A,Inverse variance weighted,25,1.03 [1-1.07],0.0759474689636879,cis
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_LOWBACKPAIN,TREM2,Triggering receptor expressed on myeloid cells 2,Inverse variance weighted,4,1.05 [0.99-1.12],0.0814631441121297,cis
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_LOWBACKPAIN,EFNA4,Ephrin-A4,Inverse variance weighted,3,0.86 [0.73-1.02],0.0825887560882627,cis
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_LOWBACKPAIN,IL1RN,Interleukin-1 receptor antagonist protein,Inverse variance weighted,10,0.95 [0.89-1.01],0.0889170492186277,cis
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_LOWBACKPAIN,CXADR,Coxsackievirus and adenovirus receptor,Inverse variance weighted,2,0.89 [0.77-1.02],0.089520137261579,cis
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_LOWBACKPAIN,ASGR1,Asialoglycoprotein receptor 1,Inverse variance weighted,2,1.08 [0.98-1.2],0.113191139464539,cis
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_LOWBACKPAIN,SPON2,Spondin-2,Inverse variance weighted,4,0.94 [0.87-1.01],0.115582186402968,cis
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_LOWBACKPAIN,AGRN,Agrin,Inverse variance weighted,17,0.96 [0.91-1.01],0.119727328454715,cis
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_LOWBACKPAIN,GM2A,Ganglioside GM2 activator,Inverse variance weighted,24,0.98 [0.95-1.01],0.123004610391706,cis
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_LOWBACKPAIN,SMOC2,SPARC-related modular calcium-binding protein 2,Inverse variance weighted,17,0.97 [0.93-1.01],0.129645848776223,cis
