Disease_category,Disease,Protein,Protein_definition,method,nsnp,OR [95% CI],Pvalue,QTL_type
Chapter I Certain infectious and parasitic diseases,AB1_SEPSIS_CONDITION,APOA2,Apolipoprotein A-II,Wald ratio,1,0.63 [0.5-0.81],0.000248098568206862,cis
Chapter I Certain infectious and parasitic diseases,AB1_SEPSIS_CONDITION,GPR37,Prosaposin receptor GPR37,Inverse variance weighted,18,0.96 [0.93-0.98],0.00122907322157609,cis
Chapter I Certain infectious and parasitic diseases,AB1_SEPSIS_CONDITION,C7,Complement component C7,Inverse variance weighted,15,1.04 [1.02-1.07],0.00139123850116617,cis
Chapter I Certain infectious and parasitic diseases,AB1_SEPSIS_CONDITION,ENTPD6,Ectonucleoside triphosphate diphosphohydrolase 6,Inverse variance weighted,10,1.06 [1.02-1.1],0.00160109892114087,cis
Chapter I Certain infectious and parasitic diseases,AB1_SEPSIS_CONDITION,CLMP,CXADR-like membrane protein,Inverse variance weighted,9,1.09 [1.03-1.15],0.00316216730479954,cis
Chapter I Certain infectious and parasitic diseases,AB1_SEPSIS_CONDITION,GAS6,Growth arrest-specific protein 6,Inverse variance weighted,4,0.92 [0.88-0.98],0.00374489501447346,cis
Chapter I Certain infectious and parasitic diseases,AB1_SEPSIS_CONDITION,CXCL16,C-X-C motif chemokine 16,Inverse variance weighted,5,0.85 [0.76-0.95],0.00507788132307263,cis
Chapter I Certain infectious and parasitic diseases,AB1_SEPSIS_CONDITION,SMPD1,Sphingomyelin phosphodiesterase,Inverse variance weighted,7,1.19 [1.05-1.35],0.00509186588641545,cis
Chapter I Certain infectious and parasitic diseases,AB1_SEPSIS_CONDITION,CGREF1,Cell growth regulator with EF hand domain protein 1,Inverse variance weighted,21,0.96 [0.94-0.99],0.00527881410071597,cis
Chapter I Certain infectious and parasitic diseases,AB1_SEPSIS_CONDITION,GRN,Progranulin,Inverse variance weighted,4,0.91 [0.85-0.97],0.00535301138390296,cis
Chapter I Certain infectious and parasitic diseases,AB1_SEPSIS_CONDITION,IGFBPL1,Insulin-like growth factor-binding protein-like 1,Inverse variance weighted,14,0.95 [0.92-0.99],0.00570325183778931,cis
Chapter I Certain infectious and parasitic diseases,AB1_SEPSIS_CONDITION,CCL27,C-C motif chemokine 27,Inverse variance weighted,4,0.91 [0.85-0.97],0.00577466738371718,cis
Chapter I Certain infectious and parasitic diseases,AB1_SEPSIS_CONDITION,MILR1,Allergin-1,Inverse variance weighted,20,0.96 [0.93-0.99],0.00587392467560885,cis
Chapter I Certain infectious and parasitic diseases,AB1_SEPSIS_CONDITION,ADAMTS4,A disintegrin and metalloproteinase with thrombospondin motifs 4,Wald ratio,1,1.2 [1.05-1.38],0.00721719951190914,cis
Chapter I Certain infectious and parasitic diseases,AB1_SEPSIS_CONDITION,TNFRSF21,Tumor necrosis factor receptor superfamily member 21,Inverse variance weighted,5,0.87 [0.78-0.96],0.00733990299026245,cis
Chapter I Certain infectious and parasitic diseases,AB1_SEPSIS_CONDITION,VMO1,Vitelline membrane outer layer protein 1 homolog,Inverse variance weighted,22,1.03 [1.01-1.06],0.00765974108101974,cis
Chapter I Certain infectious and parasitic diseases,AB1_SEPSIS_CONDITION,LGALS1,Galectin-1,Inverse variance weighted,4,0.93 [0.88-0.98],0.00892233338607941,cis
Chapter I Certain infectious and parasitic diseases,AB1_SEPSIS_CONDITION,VIT,Vitrin,Inverse variance weighted,11,1.04 [1.01-1.07],0.0116380738325047,cis
Chapter I Certain infectious and parasitic diseases,AB1_SEPSIS_CONDITION,REG1B,Lithostathine-1-beta,Inverse variance weighted,10,0.95 [0.91-0.99],0.0124810868200753,cis
Chapter I Certain infectious and parasitic diseases,AB1_SEPSIS_CONDITION,TNFRSF6B,Tumor necrosis factor receptor superfamily member 6B,Inverse variance weighted,7,0.92 [0.86-0.98],0.0127385715554233,cis
Chapter I Certain infectious and parasitic diseases,AB1_SEPSIS_CONDITION,FGF21,Fibroblast growth factor 21,Wald ratio,1,0.68 [0.5-0.93],0.0149088867380405,cis
Chapter I Certain infectious and parasitic diseases,AB1_SEPSIS_CONDITION,PIK3IP1,Phosphoinositide-3-kinase-interacting protein 1,Inverse variance weighted,6,0.94 [0.89-0.99],0.0150156405129879,cis
Chapter I Certain infectious and parasitic diseases,AB1_SEPSIS_CONDITION,SERPINA1,Alpha-1-antitrypsin,Inverse variance weighted,4,0.92 [0.86-0.98],0.0161265993102791,cis
Chapter I Certain infectious and parasitic diseases,AB1_SEPSIS_CONDITION,ATOX1,Copper transport protein ATOX1,Wald ratio,1,1.31 [1.05-1.64],0.0170703241934298,cis
Chapter I Certain infectious and parasitic diseases,AB1_SEPSIS_CONDITION,TNFRSF10C,Tumor necrosis factor receptor superfamily member 10C,Inverse variance weighted,7,0.93 [0.88-0.99],0.0180253835197026,cis
Chapter I Certain infectious and parasitic diseases,AB1_SEPSIS_CONDITION,TACSTD2,Tumor-associated calcium signal transducer 2,Inverse variance weighted,12,1.04 [1.01-1.08],0.0181964872596269,cis
Chapter I Certain infectious and parasitic diseases,AB1_SEPSIS_CONDITION,ST6GAL1,"Beta-galactoside alpha-2,6-sialyltransferase 1",Inverse variance weighted,5,0.91 [0.84-0.98],0.0187740997918187,cis
Chapter I Certain infectious and parasitic diseases,AB1_SEPSIS_CONDITION,MFAP4,Microfibril-associated glycoprotein 4,Inverse variance weighted,2,1.08 [1.01-1.16],0.0197501327856059,cis
Chapter I Certain infectious and parasitic diseases,AB1_SEPSIS_CONDITION,TCN1,Transcobalamin-1,Inverse variance weighted,15,0.97 [0.94-1],0.0214286898168535,cis
Chapter I Certain infectious and parasitic diseases,AB1_SEPSIS_CONDITION,BST2,Bone marrow stromal antigen 2,Inverse variance weighted,2,1.17 [1.02-1.33],0.0219229602232859,cis
Chapter I Certain infectious and parasitic diseases,AB1_SEPSIS_CONDITION,SELE,E-selectin,Inverse variance weighted,2,1.21 [1.03-1.43],0.0221093152866932,cis
Chapter I Certain infectious and parasitic diseases,AB1_SEPSIS_CONDITION,ENPP2,Ectonucleotide pyrophosphatase/phosphodiesterase family member 2,Inverse variance weighted,12,1.07 [1.01-1.14],0.0237944525858208,cis
Chapter I Certain infectious and parasitic diseases,AB1_SEPSIS_CONDITION,SLAMF6,SLAM family member 6,Inverse variance weighted,2,1.1 [1.01-1.19],0.0247683273440821,cis
Chapter I Certain infectious and parasitic diseases,AB1_SEPSIS_CONDITION,CST3,Cystatin-C,Inverse variance weighted,7,1.06 [1.01-1.11],0.0284013216797641,cis
Chapter I Certain infectious and parasitic diseases,AB1_SEPSIS_CONDITION,VAMP5,Vesicle-associated membrane protein 5,Inverse variance weighted,2,0.83 [0.69-0.98],0.0284950496038698,cis
Chapter I Certain infectious and parasitic diseases,AB1_SEPSIS_CONDITION,TIGAR,"Fructose-2,6-bisphosphatase TIGAR",Wald ratio,1,0.73 [0.55-0.97],0.0285999167109954,cis
Chapter I Certain infectious and parasitic diseases,AB1_SEPSIS_CONDITION,LTBP2,Latent-transforming growth factor beta-binding protein 2,Inverse variance weighted,5,0.89 [0.8-0.99],0.0318611790799337,cis
Chapter I Certain infectious and parasitic diseases,AB1_SEPSIS_CONDITION,RNASE4,Ribonuclease 4,Inverse variance weighted,8,1.06 [1-1.11],0.0337178047482832,cis
Chapter I Certain infectious and parasitic diseases,AB1_SEPSIS_CONDITION,EGFL7,Epidermal growth factor-like protein 7,Inverse variance weighted,4,1.15 [1.01-1.31],0.0345307650207085,cis
Chapter I Certain infectious and parasitic diseases,AB1_SEPSIS_CONDITION,NMI,N-myc-interactor,Inverse variance weighted,17,0.95 [0.91-1],0.034791606982327,cis
Chapter I Certain infectious and parasitic diseases,AB1_SEPSIS_CONDITION,FGF23,Fibroblast growth factor 23,Wald ratio,1,0.85 [0.73-0.99],0.0364160238006912,cis
Chapter I Certain infectious and parasitic diseases,AB1_SEPSIS_CONDITION,CAPG,Macrophage-capping protein,Inverse variance weighted,15,1.04 [1-1.07],0.0380739607718137,cis
Chapter I Certain infectious and parasitic diseases,AB1_SEPSIS_CONDITION,PDCD1LG2,Programmed cell death 1 ligand 2,Inverse variance weighted,15,0.96 [0.92-1],0.0406181309095285,cis
Chapter I Certain infectious and parasitic diseases,AB1_SEPSIS_CONDITION,CNDP1,Beta-Ala-His dipeptidase,Inverse variance weighted,7,0.95 [0.9-1],0.0412324875572403,cis
Chapter I Certain infectious and parasitic diseases,AB1_SEPSIS_CONDITION,AHNAK2,Protein AHNAK2,Inverse variance weighted,3,1.07 [1-1.15],0.0434669046573105,cis
Chapter I Certain infectious and parasitic diseases,AB1_SEPSIS_CONDITION,SIGLEC9,Sialic acid-binding Ig-like lectin 9,Inverse variance weighted,8,0.96 [0.92-1],0.0473923711178773,cis
Chapter I Certain infectious and parasitic diseases,AB1_SEPSIS_CONDITION,MDK,Midkine,Inverse variance weighted,3,1.15 [1-1.32],0.0482424824181645,cis
Chapter I Certain infectious and parasitic diseases,AB1_SEPSIS_CONDITION,PROS1,Vitamin K-dependent protein S,Wald ratio,1,0.71 [0.5-1],0.0511027533593004,cis
Chapter I Certain infectious and parasitic diseases,AB1_SEPSIS_CONDITION,NTRK3,NT-3 growth factor receptor,Inverse variance weighted,5,0.94 [0.89-1],0.0518686402294829,cis
