Disease_category,Disease,Protein,Protein_definition,method,nsnp,OR [95% CI],Pvalue,QTL_type
Chapter I Certain infectious and parasitic diseases,AB1_VIRAL_HEPATITIS,LY9,T-lymphocyte surface antigen Ly-9,Inverse variance weighted,24,1.14 [0.99-1.32],0.0685825688976194,cis
Chapter I Certain infectious and parasitic diseases,AB1_VIRAL_HEPATITIS,ENPP2,Ectonucleotide pyrophosphatase/phosphodiesterase family member 2,Inverse variance weighted,22,0.86 [0.72-1.01],0.070826709580946,cis
Chapter I Certain infectious and parasitic diseases,AB1_VIRAL_HEPATITIS,TNFRSF9,Tumor necrosis factor receptor superfamily member 9,Wald ratio,1,0.23 [0.05-1.14],0.0726803519123485,cis
Chapter I Certain infectious and parasitic diseases,AB1_VIRAL_HEPATITIS,TNFRSF1B,Tumor necrosis factor receptor superfamily member 1B,Inverse variance weighted,4,0.69 [0.45-1.06],0.0879094988570937,cis
Chapter I Certain infectious and parasitic diseases,AB1_VIRAL_HEPATITIS,IL18BP,Interleukin-18-binding protein,Inverse variance weighted,3,0.75 [0.49-1.15],0.191837035523656,cis
Chapter I Certain infectious and parasitic diseases,AB1_VIRAL_HEPATITIS,ADA2,Adenosine deaminase 2,Inverse variance weighted,8,0.89 [0.73-1.09],0.249497895590005,cis
Chapter I Certain infectious and parasitic diseases,AB1_VIRAL_HEPATITIS,PON2,Serum paraoxonase/arylesterase 2,Inverse variance weighted,42,1.04 [0.97-1.1],0.266534797432183,cis
Chapter I Certain infectious and parasitic diseases,AB1_VIRAL_HEPATITIS,EPHA2,Ephrin type-A receptor 2,Inverse variance weighted,3,0.8 [0.53-1.2],0.272928075439,cis
Chapter I Certain infectious and parasitic diseases,AB1_VIRAL_HEPATITIS,CD74,HLA class II histocompatibility antigen gamma chain,Wald ratio,1,0.45 [0.11-1.88],0.274317447976284,cis
Chapter I Certain infectious and parasitic diseases,AB1_VIRAL_HEPATITIS,SCARB2,Lysosome membrane protein 2,Inverse variance weighted,7,1.13 [0.89-1.44],0.323336708334654,cis
Chapter I Certain infectious and parasitic diseases,AB1_VIRAL_HEPATITIS,TNFRSF10A,Tumor necrosis factor receptor superfamily member 10A,Inverse variance weighted,25,1.06 [0.94-1.2],0.324485367836336,cis
Chapter I Certain infectious and parasitic diseases,AB1_VIRAL_HEPATITIS,IL4R,Interleukin-4 receptor subunit alpha,Inverse variance weighted,10,0.88 [0.69-1.13],0.326165946333577,cis
Chapter I Certain infectious and parasitic diseases,AB1_VIRAL_HEPATITIS,CSF1,Macrophage colony-stimulating factor 1,Inverse variance weighted,5,1.17 [0.84-1.63],0.357002148684062,cis
Chapter I Certain infectious and parasitic diseases,AB1_VIRAL_HEPATITIS,ADGRE5,Adhesion G protein-coupled receptor E5,Inverse variance weighted,8,1.07 [0.88-1.3],0.512669050326399,cis
Chapter I Certain infectious and parasitic diseases,AB1_VIRAL_HEPATITIS,VCAM1,Vascular cell adhesion protein 1,Inverse variance weighted,2,1.27 [0.59-2.77],0.540100870553177,cis
Chapter I Certain infectious and parasitic diseases,AB1_VIRAL_HEPATITIS,CD48,CD48 antigen,Inverse variance weighted,18,1.03 [0.93-1.14],0.552464929667602,cis
Chapter I Certain infectious and parasitic diseases,AB1_VIRAL_HEPATITIS,ADGRE1,Adhesion G protein-coupled receptor E1,Inverse variance weighted,14,1.04 [0.91-1.2],0.553531163281988,cis
Chapter I Certain infectious and parasitic diseases,AB1_VIRAL_HEPATITIS,FSTL3,Follistatin-related protein 3,Inverse variance weighted,4,1.13 [0.75-1.7],0.56310092653073,cis
Chapter I Certain infectious and parasitic diseases,AB1_VIRAL_HEPATITIS,CRTAM,Cytotoxic and regulatory T-cell molecule,Inverse variance weighted,15,1.04 [0.9-1.2],0.583445232109383,cis
Chapter I Certain infectious and parasitic diseases,AB1_VIRAL_HEPATITIS,SIGLEC10,Sialic acid-binding Ig-like lectin 10,Inverse variance weighted,14,0.97 [0.87-1.08],0.588281329196628,cis
Chapter I Certain infectious and parasitic diseases,AB1_VIRAL_HEPATITIS,RIDA,2-iminobutanoate/2-iminopropanoate deaminase,Inverse variance weighted,7,0.94 [0.75-1.18],0.604825957678079,cis
Chapter I Certain infectious and parasitic diseases,AB1_VIRAL_HEPATITIS,LAG3,Lymphocyte activation gene 3 protein,Inverse variance weighted,4,1.08 [0.79-1.47],0.620600264512753,cis
Chapter I Certain infectious and parasitic diseases,AB1_VIRAL_HEPATITIS,PDCD1,Programmed cell death protein 1,Inverse variance weighted,9,0.91 [0.63-1.32],0.624957973835529,cis
Chapter I Certain infectious and parasitic diseases,AB1_VIRAL_HEPATITIS,SPON2,Spondin-2,Inverse variance weighted,4,1.07 [0.82-1.39],0.625638225656353,cis
Chapter I Certain infectious and parasitic diseases,AB1_VIRAL_HEPATITIS,GRN,Progranulin,Inverse variance weighted,7,1.05 [0.86-1.27],0.627005924294643,cis
Chapter I Certain infectious and parasitic diseases,AB1_VIRAL_HEPATITIS,EFEMP1,EGF-containing fibulin-like extracellular matrix protein 1,Inverse variance weighted,6,0.94 [0.71-1.24],0.644019175405687,cis
Chapter I Certain infectious and parasitic diseases,AB1_VIRAL_HEPATITIS,ADGRE2,Adhesion G protein-coupled receptor E2,Inverse variance weighted,13,1.04 [0.89-1.21],0.645774026632275,cis
Chapter I Certain infectious and parasitic diseases,AB1_VIRAL_HEPATITIS,ICAM1,Intercellular adhesion molecule 1,Inverse variance weighted,28,1.02 [0.91-1.15],0.689523902868081,cis
Chapter I Certain infectious and parasitic diseases,AB1_VIRAL_HEPATITIS,SEMA7A,Semaphorin-7A,Inverse variance weighted,5,1.08 [0.72-1.63],0.700764907426456,cis
Chapter I Certain infectious and parasitic diseases,AB1_VIRAL_HEPATITIS,BST2,Bone marrow stromal antigen 2,Inverse variance weighted,2,0.95 [0.73-1.24],0.703626962020608,cis
Chapter I Certain infectious and parasitic diseases,AB1_VIRAL_HEPATITIS,SLAMF8,SLAM family member 8,Inverse variance weighted,25,0.98 [0.91-1.07],0.70871919544975,cis
Chapter I Certain infectious and parasitic diseases,AB1_VIRAL_HEPATITIS,ADGRG1,Adhesion G-protein coupled receptor G1,Inverse variance weighted,5,0.91 [0.54-1.55],0.737587742284007,cis
Chapter I Certain infectious and parasitic diseases,AB1_VIRAL_HEPATITIS,NOTCH3,Neurogenic locus notch homolog protein 3,Inverse variance weighted,2,0.91 [0.5-1.66],0.766904640561332,cis
Chapter I Certain infectious and parasitic diseases,AB1_VIRAL_HEPATITIS,LGALS3BP,Galectin-3-binding protein,Inverse variance weighted,4,0.95 [0.58-1.55],0.831882236967544,cis
Chapter I Certain infectious and parasitic diseases,AB1_VIRAL_HEPATITIS,CD79B,B-cell antigen receptor complex-associated protein beta chain,Inverse variance weighted,2,1.01 [0.56-1.84],0.96685680422311,cis
Chapter I Certain infectious and parasitic diseases,AB1_VIRAL_HEPATITIS,TNFRSF4,Tumor necrosis factor receptor superfamily member 4,Inverse variance weighted,5,0.99 [0.71-1.38],0.973495421848525,cis
Chapter I Certain infectious and parasitic diseases,AB1_VIRAL_HEPATITIS,EFNA4,Ephrin-A4,Inverse variance weighted,3,1 [0.56-1.79],0.990832843934842,cis
Chapter I Certain infectious and parasitic diseases,AB1_VIRAL_HEPATITIS,MARCO,Macrophage receptor MARCO,Inverse variance weighted,10,1 [0.77-1.3],0.998896637840324,cis
Chapter I Certain infectious and parasitic diseases,AB1_VIRAL_HEPATITIS,TNFRSF4,Tumor necrosis factor receptor superfamily member 4,Inverse variance weighted,10,1.77 [1.18-2.67],0.00583940138439299,trans
Chapter I Certain infectious and parasitic diseases,AB1_VIRAL_HEPATITIS,ICAM1,Intercellular adhesion molecule 1,Inverse variance weighted,4,0.44 [0.22-0.91],0.0269623054552273,trans
Chapter I Certain infectious and parasitic diseases,AB1_VIRAL_HEPATITIS,SEMA7A,Semaphorin-7A,Inverse variance weighted,20,1.26 [1.02-1.55],0.0319697489218777,trans
Chapter I Certain infectious and parasitic diseases,AB1_VIRAL_HEPATITIS,PON2,Serum paraoxonase/arylesterase 2,Inverse variance weighted,22,1.16 [0.97-1.39],0.093317932377208,trans
Chapter I Certain infectious and parasitic diseases,AB1_VIRAL_HEPATITIS,SPON2,Spondin-2,Inverse variance weighted,3,0.54 [0.24-1.25],0.150834425236061,trans
Chapter I Certain infectious and parasitic diseases,AB1_VIRAL_HEPATITIS,SIGLEC10,Sialic acid-binding Ig-like lectin 10,Inverse variance weighted,8,1.32 [0.81-2.15],0.257798346006674,trans
Chapter I Certain infectious and parasitic diseases,AB1_VIRAL_HEPATITIS,ADA2,Adenosine deaminase 2,Inverse variance weighted,10,1.21 [0.87-1.69],0.264636825843983,trans
Chapter I Certain infectious and parasitic diseases,AB1_VIRAL_HEPATITIS,EFNA4,Ephrin-A4,Inverse variance weighted,2,0.67 [0.33-1.37],0.271369966865877,trans
Chapter I Certain infectious and parasitic diseases,AB1_VIRAL_HEPATITIS,ENPP2,Ectonucleotide pyrophosphatase/phosphodiesterase family member 2,Inverse variance weighted,16,1.25 [0.84-1.87],0.275966153257835,trans
Chapter I Certain infectious and parasitic diseases,AB1_VIRAL_HEPATITIS,CD74,HLA class II histocompatibility antigen gamma chain,Inverse variance weighted,7,1.21 [0.85-1.72],0.290577278401191,trans
Chapter I Certain infectious and parasitic diseases,AB1_VIRAL_HEPATITIS,CSF1,Macrophage colony-stimulating factor 1,Inverse variance weighted,6,1.65 [0.63-4.34],0.308966198204264,trans
Chapter I Certain infectious and parasitic diseases,AB1_VIRAL_HEPATITIS,MARCO,Macrophage receptor MARCO,Inverse variance weighted,27,0.89 [0.71-1.12],0.325181510264051,trans
Chapter I Certain infectious and parasitic diseases,AB1_VIRAL_HEPATITIS,EFEMP1,EGF-containing fibulin-like extracellular matrix protein 1,Inverse variance weighted,3,1.49 [0.66-3.34],0.338973589083291,trans
