Disease_category,Disease,Protein,Protein_definition,method,nsnp,OR [95% CI],Pvalue,QTL_type
Chapter IX Diseases of the circulatory system,I9_ARTOTH,PIGR,Polymeric immunoglobulin receptor,Inverse variance weighted,21,2 [1.42-2.83],8.77926427186662e-05,cis
Chapter IX Diseases of the circulatory system,I9_ARTOTH,SEMA3F,Semaphorin-3F,Inverse variance weighted,15,2.25 [1.41-3.57],0.000623647342729196,cis
Chapter IX Diseases of the circulatory system,I9_ARTOTH,ITGAV,Integrin alpha-V,Inverse variance weighted,5,0.57 [0.39-0.84],0.00405194591134156,cis
Chapter IX Diseases of the circulatory system,I9_ARTOTH,CD274,Programmed cell death 1 ligand 1,Inverse variance weighted,22,0.8 [0.68-0.94],0.00670058835160441,cis
Chapter IX Diseases of the circulatory system,I9_ARTOTH,EPS8L2,Epidermal growth factor receptor kinase substrate 8-like protein 2,Inverse variance weighted,10,0.79 [0.66-0.94],0.00884574621626117,cis
Chapter IX Diseases of the circulatory system,I9_ARTOTH,NPC2,NPC intracellular cholesterol transporter 2,Inverse variance weighted,10,1.38 [1.08-1.76],0.00933668427344861,cis
Chapter IX Diseases of the circulatory system,I9_ARTOTH,LILRB4,Leukocyte immunoglobulin-like receptor subfamily B member 4,Inverse variance weighted,14,1.37 [1.07-1.77],0.0140005231762281,cis
Chapter IX Diseases of the circulatory system,I9_ARTOTH,MDK,Midkine,Inverse variance weighted,4,1.54 [1.08-2.21],0.0175819642816334,cis
Chapter IX Diseases of the circulatory system,I9_ARTOTH,CNTN5,Contactin-5,Inverse variance weighted,28,0.9 [0.83-0.98],0.0202360183412534,cis
Chapter IX Diseases of the circulatory system,I9_ARTOTH,CD27,CD27 antigen,Inverse variance weighted,9,1.2 [1.02-1.4],0.0256209672202941,cis
Chapter IX Diseases of the circulatory system,I9_ARTOTH,COL6A3,Collagen alpha-3(VI) chain,Inverse variance weighted,2,5.61 [1.23-25.49],0.0256472254545855,cis
Chapter IX Diseases of the circulatory system,I9_ARTOTH,CSF1,Macrophage colony-stimulating factor 1,Inverse variance weighted,5,0.76 [0.6-0.97],0.0257781397849492,cis
Chapter IX Diseases of the circulatory system,I9_ARTOTH,IGFBPL1,Insulin-like growth factor-binding protein-like 1,Inverse variance weighted,20,1.13 [1.01-1.27],0.0274897373147016,cis
Chapter IX Diseases of the circulatory system,I9_ARTOTH,CA9,Carbonic anhydrase 9,Inverse variance weighted,3,0.66 [0.45-0.97],0.0327061281790856,cis
Chapter IX Diseases of the circulatory system,I9_ARTOTH,CD46,Membrane cofactor protein,Wald ratio,1,1.94 [1.05-3.58],0.0348568429800949,cis
Chapter IX Diseases of the circulatory system,I9_ARTOTH,TCN2,Transcobalamin-2,Inverse variance weighted,34,1.09 [1.01-1.18],0.0356257556953045,cis
Chapter IX Diseases of the circulatory system,I9_ARTOTH,TNFRSF10A,Tumor necrosis factor receptor superfamily member 10A,Inverse variance weighted,25,1.12 [1.01-1.24],0.0358599756255334,cis
Chapter IX Diseases of the circulatory system,I9_ARTOTH,HYAL1,Hyaluronidase-1,Inverse variance weighted,5,1.23 [1.01-1.5],0.0368876294771454,cis
Chapter IX Diseases of the circulatory system,I9_ARTOTH,IL1RL1,Interleukin-1 receptor-like 1,Inverse variance weighted,44,0.92 [0.84-1],0.0430780779806126,cis
Chapter IX Diseases of the circulatory system,I9_ARTOTH,NECTIN2,Nectin-2,Inverse variance weighted,5,1.17 [1-1.37],0.0452240572029099,cis
Chapter IX Diseases of the circulatory system,I9_ARTOTH,CSTB,Cystatin-B,Inverse variance weighted,28,0.9 [0.81-1],0.0495715259082558,cis
Chapter IX Diseases of the circulatory system,I9_ARTOTH,NBL1,Neuroblastoma suppressor of tumorigenicity 1,Inverse variance weighted,2,1.66 [1-2.78],0.0516166237726446,cis
Chapter IX Diseases of the circulatory system,I9_ARTOTH,IL4R,Interleukin-4 receptor subunit alpha,Inverse variance weighted,10,0.86 [0.73-1],0.0566191535307169,cis
