Disease_category,Disease,Protein,Protein_definition,method,nsnp,OR [95% CI],Pvalue,QTL_type
Chapter IX Diseases of the circulatory system,I9_SEQULAE,CRIM1,Cysteine-rich motor neuron 1 protein,Inverse variance weighted,7,0.82 [0.71-0.94],0.00526901676125275,cis
Chapter IX Diseases of the circulatory system,I9_SEQULAE,BSG,Basigin,Wald ratio,1,1.32 [1.08-1.6],0.00573279973485328,cis
Chapter IX Diseases of the circulatory system,I9_SEQULAE,EFNA1,Ephrin-A1,Inverse variance weighted,11,0.9 [0.83-0.97],0.00748903715467058,cis
Chapter IX Diseases of the circulatory system,I9_SEQULAE,LY6D,Lymphocyte antigen 6D,Inverse variance weighted,22,1.07 [1.02-1.14],0.0103459268048757,cis
Chapter IX Diseases of the circulatory system,I9_SEQULAE,CHI3L1,Chitinase-3-like protein 1,Inverse variance weighted,21,0.95 [0.91-0.99],0.0104596120260308,cis
Chapter IX Diseases of the circulatory system,I9_SEQULAE,IL18BP,Interleukin-18-binding protein,Inverse variance weighted,3,1.26 [1.05-1.53],0.0139274291402979,cis
Chapter IX Diseases of the circulatory system,I9_SEQULAE,IGFBP7,Insulin-like growth factor-binding protein 7,Inverse variance weighted,19,0.91 [0.85-0.98],0.0151055503902795,cis
Chapter IX Diseases of the circulatory system,I9_SEQULAE,ADA2,Adenosine deaminase 2,Inverse variance weighted,8,0.9 [0.82-0.98],0.0192905603763719,cis
Chapter IX Diseases of the circulatory system,I9_SEQULAE,ITIH3,Inter-alpha-trypsin inhibitor heavy chain H3,Inverse variance weighted,20,0.9 [0.82-0.98],0.0196457914457532,cis
Chapter IX Diseases of the circulatory system,I9_SEQULAE,ATRAID,All-trans retinoic acid-induced differentiation factor,Inverse variance weighted,8,0.91 [0.84-0.99],0.0201247766258481,cis
Chapter IX Diseases of the circulatory system,I9_SEQULAE,CCL15,C-C motif chemokine 15,Inverse variance weighted,22,1.04 [1.01-1.07],0.0219125133626476,cis
Chapter IX Diseases of the circulatory system,I9_SEQULAE,ADM,Pro-adrenomedullin,Inverse variance weighted,2,0.67 [0.47-0.95],0.0254747475973164,cis
Chapter IX Diseases of the circulatory system,I9_SEQULAE,TINAGL1,Tubulointerstitial nephritis antigen-like,Inverse variance weighted,3,0.71 [0.52-0.96],0.0281707870150224,cis
Chapter IX Diseases of the circulatory system,I9_SEQULAE,TNFRSF10A,Tumor necrosis factor receptor superfamily member 10A,Inverse variance weighted,25,1.06 [1.01-1.12],0.0319387685884537,cis
Chapter IX Diseases of the circulatory system,I9_SEQULAE,CTSO,Cathepsin O,Inverse variance weighted,6,0.85 [0.74-0.99],0.0349395298389269,cis
Chapter IX Diseases of the circulatory system,I9_SEQULAE,SDC1,Syndecan-1,Inverse variance weighted,2,1.24 [1.02-1.5],0.0349523003186236,cis
Chapter IX Diseases of the circulatory system,I9_SEQULAE,LTBP2,Latent-transforming growth factor beta-binding protein 2,Inverse variance weighted,7,1.2 [1.01-1.42],0.0370693145371945,cis
Chapter IX Diseases of the circulatory system,I9_SEQULAE,CD274,Programmed cell death 1 ligand 1,Inverse variance weighted,22,0.93 [0.87-1],0.0381540126019947,cis
Chapter IX Diseases of the circulatory system,I9_SEQULAE,PTGDS,Prostaglandin-H2 D-isomerase,Inverse variance weighted,4,1.15 [1.01-1.31],0.0413999899702263,cis
Chapter IX Diseases of the circulatory system,I9_SEQULAE,OGN,Mimecan,Inverse variance weighted,30,0.94 [0.89-1],0.0416401537798409,cis
Chapter IX Diseases of the circulatory system,I9_SEQULAE,TFF3,Trefoil factor 3,Inverse variance weighted,5,1.17 [1.01-1.36],0.0421641271028462,cis
Chapter IX Diseases of the circulatory system,I9_SEQULAE,APOA2,Apolipoprotein A-II,Wald ratio,1,0.65 [0.43-0.99],0.0444832076879469,cis
Chapter IX Diseases of the circulatory system,I9_SEQULAE,COL6A3,Collagen alpha-3(VI) chain,Inverse variance weighted,2,0.61 [0.37-0.99],0.0450516581145608,cis
Chapter IX Diseases of the circulatory system,I9_SEQULAE,TNFSF13B,Tumor necrosis factor ligand superfamily member 13B,Inverse variance weighted,6,0.88 [0.77-1],0.0513237874206142,cis
Chapter IX Diseases of the circulatory system,I9_SEQULAE,THBS2,Thrombospondin-2,Inverse variance weighted,16,0.94 [0.87-1],0.05162189732771,cis
Chapter IX Diseases of the circulatory system,I9_SEQULAE,TNFRSF4,Tumor necrosis factor receptor superfamily member 4,Inverse variance weighted,5,1.16 [1-1.35],0.053630863651171,cis
Chapter IX Diseases of the circulatory system,I9_SEQULAE,KRT18,"Keratin, type I cytoskeletal 18",Wald ratio,1,1.74 [0.97-3.13],0.062861613107346,cis
Chapter IX Diseases of the circulatory system,I9_SEQULAE,IGSF3,Immunoglobulin superfamily member 3,Inverse variance weighted,2,0.77 [0.58-1.01],0.0631751121554371,cis
Chapter IX Diseases of the circulatory system,I9_SEQULAE,PGF,Placenta growth factor,Inverse variance weighted,2,1.94 [0.95-3.93],0.0670221494757636,cis
Chapter IX Diseases of the circulatory system,I9_SEQULAE,NPC2,NPC intracellular cholesterol transporter 2,Inverse variance weighted,10,0.91 [0.82-1.01],0.0674727241002841,cis
Chapter IX Diseases of the circulatory system,I9_SEQULAE,GUCA2A,Guanylin,Inverse variance weighted,9,1.12 [0.99-1.26],0.0685189733656686,cis
Chapter IX Diseases of the circulatory system,I9_SEQULAE,ANXA10,Annexin A10,Wald ratio,1,0.61 [0.36-1.04],0.0705258853800784,cis
Chapter IX Diseases of the circulatory system,I9_SEQULAE,HSPG2,Basement membrane-specific heparan sulfate proteoglycan core protein,Inverse variance weighted,6,1.16 [0.99-1.36],0.0735644640008726,cis
Chapter IX Diseases of the circulatory system,I9_SEQULAE,ANGPT2,Angiopoietin-2,Inverse variance weighted,4,0.89 [0.78-1.01],0.0739217544347564,cis
Chapter IX Diseases of the circulatory system,I9_SEQULAE,TNFSF13,Tumor necrosis factor ligand superfamily member 13,Inverse variance weighted,10,0.92 [0.83-1.01],0.0785710938557762,cis
Chapter IX Diseases of the circulatory system,I9_SEQULAE,EFEMP1,EGF-containing fibulin-like extracellular matrix protein 1,Inverse variance weighted,6,0.9 [0.79-1.01],0.0815895648806994,cis
Chapter IX Diseases of the circulatory system,I9_SEQULAE,REN,Renin,Inverse variance weighted,4,1.09 [0.99-1.21],0.086204428175683,cis
Chapter IX Diseases of the circulatory system,I9_SEQULAE,PLAUR,Urokinase plasminogen activator surface receptor,Inverse variance weighted,2,1.19 [0.97-1.47],0.0880150627949282,cis
Chapter IX Diseases of the circulatory system,I9_SEQULAE,TNFRSF10B,Tumor necrosis factor receptor superfamily member 10B,Inverse variance weighted,15,1.06 [0.99-1.14],0.0909110202986976,cis
Chapter IX Diseases of the circulatory system,I9_SEQULAE,FABP4,"Fatty acid-binding protein, adipocyte",Wald ratio,1,1.32 [0.95-1.83],0.0996601862921948,cis
Chapter IX Diseases of the circulatory system,I9_SEQULAE,CFD,Complement factor D,Inverse variance weighted,11,0.93 [0.85-1.02],0.104066858230129,cis
Chapter IX Diseases of the circulatory system,I9_SEQULAE,TAFA5,Chemokine-like protein TAFA-5,Inverse variance weighted,10,1.08 [0.98-1.18],0.107397859648481,cis
Chapter IX Diseases of the circulatory system,I9_SEQULAE,GIPC2,PDZ domain-containing protein GIPC2,Inverse variance weighted,16,1.08 [0.98-1.19],0.108084977826726,cis
Chapter IX Diseases of the circulatory system,I9_SEQULAE,SPON2,Spondin-2,Inverse variance weighted,4,1.1 [0.98-1.24],0.109336686733325,cis
Chapter IX Diseases of the circulatory system,I9_SEQULAE,MDK,Midkine,Inverse variance weighted,4,1.21 [0.96-1.54],0.112235009478236,cis
Chapter IX Diseases of the circulatory system,I9_SEQULAE,GRN,Progranulin,Inverse variance weighted,7,1.07 [0.98-1.17],0.117046988368084,cis
Chapter IX Diseases of the circulatory system,I9_SEQULAE,IGFBP2,Insulin-like growth factor-binding protein 2,Inverse variance weighted,2,1.31 [0.93-1.83],0.118250792495158,cis
Chapter IX Diseases of the circulatory system,I9_SEQULAE,CRIP2,Cysteine-rich protein 2,Inverse variance weighted,5,0.87 [0.73-1.04],0.11847543504967,cis
Chapter IX Diseases of the circulatory system,I9_SEQULAE,NRP2,Neuropilin-2,Inverse variance weighted,11,1.08 [0.98-1.18],0.119554757717345,cis
Chapter IX Diseases of the circulatory system,I9_SEQULAE,CD300E,CMRF35-like molecule 2,Inverse variance weighted,21,1.05 [0.99-1.13],0.120900316694371,cis
Chapter IX Diseases of the circulatory system,I9_SEQULAE,TREM2,Triggering receptor expressed on myeloid cells 2,Inverse variance weighted,4,0.93 [0.85-1.02],0.121780062564727,cis
