Disease_category,Disease,Protein,Protein_definition,method,nsnp,OR [95% CI],Pvalue,QTL_type
"Chapter IV Endocrine, nutritional and metabolic diseases",E4_HYPOOSMNAT,ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,Inverse variance weighted,24,1.16 [1.1-1.22],2.89955970533291e-08,cis
"Chapter IV Endocrine, nutritional and metabolic diseases",E4_HYPOOSMNAT,EFNA1,Ephrin-A1,Inverse variance weighted,11,1.26 [1.13-1.41],5.05165812291973e-05,cis
"Chapter IV Endocrine, nutritional and metabolic diseases",E4_HYPOOSMNAT,NPC2,NPC intracellular cholesterol transporter 2,Inverse variance weighted,10,1.34 [1.15-1.55],0.000126267672244448,cis
"Chapter IV Endocrine, nutritional and metabolic diseases",E4_HYPOOSMNAT,CD302,CD302 antigen,Inverse variance weighted,9,0.8 [0.7-0.92],0.00130966799364084,cis
"Chapter IV Endocrine, nutritional and metabolic diseases",E4_HYPOOSMNAT,PRG2,Bone marrow proteoglycan,Wald ratio,1,2.19 [1.33-3.6],0.00208787318733403,cis
"Chapter IV Endocrine, nutritional and metabolic diseases",E4_HYPOOSMNAT,TCN2,Transcobalamin-2,Inverse variance weighted,34,1.1 [1.03-1.17],0.00258868375680724,cis
"Chapter IV Endocrine, nutritional and metabolic diseases",E4_HYPOOSMNAT,CCN4,CCN family member 4,Inverse variance weighted,27,0.89 [0.82-0.96],0.00403261465053242,cis
"Chapter IV Endocrine, nutritional and metabolic diseases",E4_HYPOOSMNAT,FCRLB,Fc receptor-like B,Inverse variance weighted,61,0.92 [0.87-0.98],0.00591323046884237,cis
"Chapter IV Endocrine, nutritional and metabolic diseases",E4_HYPOOSMNAT,KITLG,Kit ligand,Wald ratio,1,0.34 [0.15-0.74],0.00690477257718336,cis
"Chapter IV Endocrine, nutritional and metabolic diseases",E4_HYPOOSMNAT,GPRC5C,G-protein coupled receptor family C group 5 member C,Wald ratio,1,1.57 [1.12-2.21],0.00870634039249057,cis
"Chapter IV Endocrine, nutritional and metabolic diseases",E4_HYPOOSMNAT,CD48,CD48 antigen,Inverse variance weighted,18,1.09 [1.02-1.16],0.00919255768348651,cis
"Chapter IV Endocrine, nutritional and metabolic diseases",E4_HYPOOSMNAT,TIGIT,T-cell immunoreceptor with Ig and ITIM domains,Wald ratio,1,0.53 [0.33-0.87],0.0108947303895953,cis
"Chapter IV Endocrine, nutritional and metabolic diseases",E4_HYPOOSMNAT,COL18A1,Collagen alpha-1(XVIII) chain,Inverse variance weighted,12,1.21 [1.04-1.41],0.0125928603781794,cis
"Chapter IV Endocrine, nutritional and metabolic diseases",E4_HYPOOSMNAT,PSG1,Pregnancy-specific beta-1-glycoprotein 1,Inverse variance weighted,55,0.96 [0.92-0.99],0.0154448976149854,cis
"Chapter IV Endocrine, nutritional and metabolic diseases",E4_HYPOOSMNAT,SMPD1,Sphingomyelin phosphodiesterase,Inverse variance weighted,13,1.3 [1.05-1.61],0.0160482198946539,cis
"Chapter IV Endocrine, nutritional and metabolic diseases",E4_HYPOOSMNAT,HSPG2,Basement membrane-specific heparan sulfate proteoglycan core protein,Inverse variance weighted,6,0.81 [0.68-0.96],0.0168874996118646,cis
"Chapter IV Endocrine, nutritional and metabolic diseases",E4_HYPOOSMNAT,KLKB1,Plasma kallikrein,Inverse variance weighted,15,0.9 [0.82-0.98],0.0189385131948362,cis
"Chapter IV Endocrine, nutritional and metabolic diseases",E4_HYPOOSMNAT,ICAM1,Intercellular adhesion molecule 1,Inverse variance weighted,28,1.1 [1.02-1.2],0.0193226852600585,cis
"Chapter IV Endocrine, nutritional and metabolic diseases",E4_HYPOOSMNAT,IL1R1,Interleukin-1 receptor type 1,Inverse variance weighted,7,1.23 [1.03-1.46],0.0212440722746783,cis
"Chapter IV Endocrine, nutritional and metabolic diseases",E4_HYPOOSMNAT,MTUS1,Microtubule-associated tumor suppressor 1,Inverse variance weighted,5,0.78 [0.63-0.96],0.0219343777958448,cis
"Chapter IV Endocrine, nutritional and metabolic diseases",E4_HYPOOSMNAT,FABP4,"Fatty acid-binding protein, adipocyte",Wald ratio,1,0.58 [0.36-0.93],0.0239361300103222,cis
"Chapter IV Endocrine, nutritional and metabolic diseases",E4_HYPOOSMNAT,MMP12,Macrophage metalloelastase,Inverse variance weighted,18,0.93 [0.88-0.99],0.0253531217915166,cis
"Chapter IV Endocrine, nutritional and metabolic diseases",E4_HYPOOSMNAT,HS6ST1,Heparan-sulfate 6-O-sulfotransferase 1,Inverse variance weighted,12,0.85 [0.73-0.98],0.0267753918833478,cis
"Chapter IV Endocrine, nutritional and metabolic diseases",E4_HYPOOSMNAT,PDCD1,Programmed cell death protein 1,Inverse variance weighted,9,0.76 [0.6-0.97],0.0277721631231065,cis
"Chapter IV Endocrine, nutritional and metabolic diseases",E4_HYPOOSMNAT,EFEMP1,EGF-containing fibulin-like extracellular matrix protein 1,Inverse variance weighted,6,0.82 [0.68-0.98],0.0281648738310493,cis
"Chapter IV Endocrine, nutritional and metabolic diseases",E4_HYPOOSMNAT,ADA2,Adenosine deaminase 2,Inverse variance weighted,8,1.16 [1.02-1.32],0.0283191163914172,cis
"Chapter IV Endocrine, nutritional and metabolic diseases",E4_HYPOOSMNAT,TNFRSF6B,Tumor necrosis factor receptor superfamily member 6B,Inverse variance weighted,22,0.89 [0.8-0.99],0.0328522354198629,cis
"Chapter IV Endocrine, nutritional and metabolic diseases",E4_HYPOOSMNAT,GRPEL1,"GrpE protein homolog 1, mitochondrial",Wald ratio,1,2.2 [1.05-4.61],0.0371384695646167,cis
"Chapter IV Endocrine, nutritional and metabolic diseases",E4_HYPOOSMNAT,BST2,Bone marrow stromal antigen 2,Inverse variance weighted,2,1.2 [1.01-1.43],0.0393623408647338,cis
"Chapter IV Endocrine, nutritional and metabolic diseases",E4_HYPOOSMNAT,TREM2,Triggering receptor expressed on myeloid cells 2,Inverse variance weighted,4,1.15 [1-1.32],0.0439085110391834,cis
"Chapter IV Endocrine, nutritional and metabolic diseases",E4_HYPOOSMNAT,NOS1,"Nitric oxide synthase, brain",Inverse variance weighted,2,0.78 [0.61-0.99],0.0441201232806234,cis
