Disease_category,Disease,Protein,Protein_definition,method,nsnp,OR [95% CI],Pvalue,QTL_type
Chapter XI Diseases of the digestive system,K11_IMPACT,LAIR1,Leukocyte-associated immunoglobulin-like receptor 1,Inverse variance weighted,16,0.57 [0.34-0.97],0.0373668544492294,cis
Chapter XI Diseases of the digestive system,K11_IMPACT,GDF15,Growth/differentiation factor 15,Inverse variance weighted,12,0.54 [0.17-1.75],0.303317667087687,cis
Chapter XI Diseases of the digestive system,K11_IMPACT,SHISA5,Protein shisa-5,Inverse variance weighted,5,0.4 [0.05-3.03],0.374190899433272,cis
Chapter XI Diseases of the digestive system,K11_IMPACT,MMP12,Macrophage metalloelastase,Inverse variance weighted,18,0.88 [0.65-1.19],0.40827805627779,cis
Chapter XI Diseases of the digestive system,K11_IMPACT,AREG,Amphiregulin,Inverse variance weighted,3,1.78 [0.2-15.64],0.603277768739661,cis
Chapter XI Diseases of the digestive system,K11_IMPACT,AREG,Amphiregulin,Inverse variance weighted,5,0.33 [0.05-2.11],0.243218436788535,trans
Chapter XI Diseases of the digestive system,K11_IMPACT,GDF15,Growth/differentiation factor 15,Wald ratio,1,0.19 [0-77.67],0.589052800049669,trans
Chapter XI Diseases of the digestive system,K11_IMPACT,LAIR1,Leukocyte-associated immunoglobulin-like receptor 1,Inverse variance weighted,2,0.48 [0.01-19.49],0.698330706548331,trans
Chapter XI Diseases of the digestive system,K11_IMPACT,SHISA5,Protein shisa-5,Inverse variance weighted,12,0.77 [0.17-3.44],0.729973286611914,trans
Chapter XI Diseases of the digestive system,K11_IMPACT,MMP12,Macrophage metalloelastase,Inverse variance weighted,2,1.54 [0.05-52.3],0.811459483471451,trans
