Disease_category,Disease,Protein,Protein_definition,method,nsnp,OR [95% CI],Pvalue,QTL_type
Chapter IX Diseases of the circulatory system,I9_OTHOTH,AGXT,Serine--pyruvate aminotransferase,Inverse variance weighted,10,0.63 [0.48-0.82],0.000516440455370127,cis
Chapter IX Diseases of the circulatory system,I9_OTHOTH,CD274,Programmed cell death 1 ligand 1,Inverse variance weighted,22,1.42 [1.15-1.77],0.0014793676245019,cis
Chapter IX Diseases of the circulatory system,I9_OTHOTH,SEMA3F,Semaphorin-3F,Inverse variance weighted,15,2.37 [1.39-4.06],0.00157986161219446,cis
Chapter IX Diseases of the circulatory system,I9_OTHOTH,B4GALT1,"Beta-1,4-galactosyltransferase 1",Inverse variance weighted,6,1.64 [1.18-2.28],0.00352942140874096,cis
Chapter IX Diseases of the circulatory system,I9_OTHOTH,TCN2,Transcobalamin-2,Inverse variance weighted,34,1.25 [1.07-1.45],0.00442970513387636,cis
Chapter IX Diseases of the circulatory system,I9_OTHOTH,PCDH12,Protocadherin-12,Inverse variance weighted,13,1.37 [1.1-1.71],0.00482178854987815,cis
Chapter IX Diseases of the circulatory system,I9_OTHOTH,GPD1,Glycerol-3-phosphate dehydrogenase,Wald ratio,1,0.26 [0.1-0.7],0.00712522871607195,cis
Chapter IX Diseases of the circulatory system,I9_OTHOTH,GAS6,Growth arrest-specific protein 6,Inverse variance weighted,9,1.75 [1.16-2.63],0.00748911496164453,cis
Chapter IX Diseases of the circulatory system,I9_OTHOTH,TGFBI,Transforming growth factor-beta-induced protein ig-h3,Inverse variance weighted,32,1.24 [1.06-1.45],0.00859169831783814,cis
Chapter IX Diseases of the circulatory system,I9_OTHOTH,ROBO2,Roundabout homolog 2,Inverse variance weighted,2,5.58 [1.49-20.95],0.0108201052366425,cis
Chapter IX Diseases of the circulatory system,I9_OTHOTH,ICAM1,Intercellular adhesion molecule 1,Inverse variance weighted,28,1.25 [1.05-1.48],0.0115715512640209,cis
Chapter IX Diseases of the circulatory system,I9_OTHOTH,CLEC14A,C-type lectin domain family 14 member A,Wald ratio,1,3.89 [1.35-11.26],0.0120607326044293,cis
Chapter IX Diseases of the circulatory system,I9_OTHOTH,FSTL1,Follistatin-related protein 1,Inverse variance weighted,3,2.01 [1.15-3.52],0.0144724200372819,cis
Chapter IX Diseases of the circulatory system,I9_OTHOTH,GSR,"Glutathione reductase, mitochondrial",Wald ratio,1,0.69 [0.52-0.93],0.0154136212531776,cis
Chapter IX Diseases of the circulatory system,I9_OTHOTH,CXCL8,Interleukin-8,Inverse variance weighted,6,0.43 [0.22-0.87],0.0177806021281509,cis
Chapter IX Diseases of the circulatory system,I9_OTHOTH,LRRC25,Leucine-rich repeat-containing protein 25,Inverse variance weighted,13,0.74 [0.57-0.95],0.0204637417110517,cis
Chapter IX Diseases of the circulatory system,I9_OTHOTH,FCAMR,High affinity immunoglobulin alpha and immunoglobulin mu Fc receptor,Inverse variance weighted,30,1.26 [1.03-1.55],0.0224918407643507,cis
Chapter IX Diseases of the circulatory system,I9_OTHOTH,CD59,CD59 glycoprotein,Inverse variance weighted,4,1.52 [1.06-2.19],0.0227615630465451,cis
Chapter IX Diseases of the circulatory system,I9_OTHOTH,CDH2,Cadherin-2,Inverse variance weighted,3,2.79 [1.13-6.92],0.0267095041487304,cis
Chapter IX Diseases of the circulatory system,I9_OTHOTH,FABP1,"Fatty acid-binding protein, liver",Inverse variance weighted,5,0.67 [0.47-0.96],0.0275714450815059,cis
Chapter IX Diseases of the circulatory system,I9_OTHOTH,FOLR2,Folate receptor beta,Inverse variance weighted,2,2.2 [1.07-4.51],0.0310007699292399,cis
Chapter IX Diseases of the circulatory system,I9_OTHOTH,GALNT3,Polypeptide N-acetylgalactosaminyltransferase 3,Inverse variance weighted,39,1.24 [1.02-1.51],0.0317768371894232,cis
Chapter IX Diseases of the circulatory system,I9_OTHOTH,VNN2,Vascular non-inflammatory molecule 2,Inverse variance weighted,29,0.88 [0.79-0.99],0.0318507967135164,cis
Chapter IX Diseases of the circulatory system,I9_OTHOTH,CD48,CD48 antigen,Inverse variance weighted,18,0.85 [0.74-0.99],0.0332441892930946,cis
Chapter IX Diseases of the circulatory system,I9_OTHOTH,CD300LF,CMRF35-like molecule 1,Inverse variance weighted,29,0.87 [0.77-0.99],0.0339792038841688,cis
Chapter IX Diseases of the circulatory system,I9_OTHOTH,TNFSF8,Tumor necrosis factor ligand superfamily member 8,Inverse variance weighted,3,2.59 [1.07-6.27],0.0340946414593305,cis
Chapter IX Diseases of the circulatory system,I9_OTHOTH,NCR1,Natural cytotoxicity triggering receptor 1,Inverse variance weighted,6,1.32 [1.01-1.72],0.0403583053630026,cis
Chapter IX Diseases of the circulatory system,I9_OTHOTH,PILRB,Paired immunoglobulin-like type 2 receptor beta,Inverse variance weighted,49,1.09 [1-1.19],0.0405461047361047,cis
Chapter IX Diseases of the circulatory system,I9_OTHOTH,ANGPT2,Angiopoietin-2,Inverse variance weighted,4,1.65 [1.01-2.69],0.0437915582201878,cis
Chapter IX Diseases of the circulatory system,I9_OTHOTH,FLRT2,Leucine-rich repeat transmembrane protein FLRT2,Inverse variance weighted,19,0.78 [0.61-0.99],0.0445155041025015,cis
Chapter IX Diseases of the circulatory system,I9_OTHOTH,TNFRSF1A,Tumor necrosis factor receptor superfamily member 1A,Wald ratio,1,3.98 [1.02-15.55],0.0466476255854513,cis
Chapter IX Diseases of the circulatory system,I9_OTHOTH,LAIR1,Leukocyte-associated immunoglobulin-like receptor 1,Inverse variance weighted,16,1.28 [1-1.62],0.0477569823194921,cis
