Disease_category,Disease,Protein,Protein_definition,method,nsnp,OR [95% CI],Pvalue,QTL_type
Chapter XI Diseases of the digestive system,K11_GULC,PIGR,Polymeric immunoglobulin receptor,Inverse variance weighted,21,0.5 [0.34-0.72],0.000198964283037164,cis
Chapter XI Diseases of the digestive system,K11_GULC,TNFRSF1A,Tumor necrosis factor receptor superfamily member 1A,Wald ratio,1,0.49 [0.28-0.86],0.0133290480858137,cis
Chapter XI Diseases of the digestive system,K11_GULC,IL4R,Interleukin-4 receptor subunit alpha,Inverse variance weighted,10,0.88 [0.79-0.97],0.0146946135236191,cis
Chapter XI Diseases of the digestive system,K11_GULC,CLMP,CXADR-like membrane protein,Inverse variance weighted,12,0.89 [0.8-0.98],0.0204675738765002,cis
Chapter XI Diseases of the digestive system,K11_GULC,CA9,Carbonic anhydrase 9,Inverse variance weighted,3,1.45 [1.05-2.01],0.0245765361018351,cis
Chapter XI Diseases of the digestive system,K11_GULC,HIP1R,Huntingtin-interacting protein 1-related protein,Wald ratio,1,0.63 [0.42-0.95],0.0257908594863316,cis
Chapter XI Diseases of the digestive system,K11_GULC,PGF,Placenta growth factor,Inverse variance weighted,2,2.77 [1.07-7.17],0.0357845010924656,cis
Chapter XI Diseases of the digestive system,K11_GULC,LIPF,Gastric triacylglycerol lipase,Inverse variance weighted,18,1.12 [1.01-1.25],0.0358759123418658,cis
Chapter XI Diseases of the digestive system,K11_GULC,OCLN,Occludin,Inverse variance weighted,2,1.35 [1.02-1.79],0.0385645806931425,cis
Chapter XI Diseases of the digestive system,K11_GULC,CDCP1,CUB domain-containing protein 1,Inverse variance weighted,14,1.12 [0.99-1.25],0.0634411744018317,cis
Chapter XI Diseases of the digestive system,K11_GULC,EGFR,Epidermal growth factor receptor,Inverse variance weighted,7,1.29 [0.98-1.69],0.0658457478568326,cis
Chapter XI Diseases of the digestive system,K11_GULC,ASGR1,Asialoglycoprotein receptor 1,Inverse variance weighted,2,1.22 [0.97-1.55],0.0958710086224091,cis
Chapter XI Diseases of the digestive system,K11_GULC,AREG,Amphiregulin,Inverse variance weighted,3,0.77 [0.57-1.06],0.108034540882849,cis
Chapter XI Diseases of the digestive system,K11_GULC,PLA2G15,Phospholipase A2 group XV,Inverse variance weighted,12,1.09 [0.98-1.21],0.113761969472641,cis
Chapter XI Diseases of the digestive system,K11_GULC,IL10RB,Interleukin-10 receptor subunit beta,Inverse variance weighted,25,1.04 [0.99-1.11],0.128546303669942,cis
Chapter XI Diseases of the digestive system,K11_GULC,REG1A,Lithostathine-1-alpha,Inverse variance weighted,13,0.9 [0.79-1.03],0.128722197320053,cis
Chapter XI Diseases of the digestive system,K11_GULC,AGR2,Anterior gradient protein 2 homolog,Wald ratio,1,0.78 [0.56-1.1],0.162152122420286,cis
Chapter XI Diseases of the digestive system,K11_GULC,CD302,CD302 antigen,Inverse variance weighted,9,0.88 [0.74-1.06],0.171833033381544,cis
Chapter XI Diseases of the digestive system,K11_GULC,CTSL,Cathepsin L1,Wald ratio,1,0.57 [0.26-1.28],0.172429132098292,cis
Chapter XI Diseases of the digestive system,K11_GULC,ADA2,Adenosine deaminase 2,Inverse variance weighted,8,1.09 [0.96-1.23],0.175222266400076,cis
