Disease_category,Disease,Protein,Protein_definition,method,nsnp,OR [95% CI],Pvalue,QTL_type
Chapter VI Diseases of the nervous system,G6_MIGRAINE,MERTK,Tyrosine-protein kinase Mer,Inverse variance weighted,11,0.94 [0.87-1.01],0.107224532530859,cis
Chapter VI Diseases of the nervous system,G6_MIGRAINE,ATRAID,All-trans retinoic acid-induced differentiation factor,Inverse variance weighted,8,0.95 [0.87-1.04],0.302548269242715,cis
Chapter VI Diseases of the nervous system,G6_MIGRAINE,CHGA,Chromogranin-A,Inverse variance weighted,3,0.95 [0.82-1.09],0.472117689859643,cis
Chapter VI Diseases of the nervous system,G6_MIGRAINE,YAP1,Transcriptional coactivator YAP1,Wald ratio,1,1.13 [0.8-1.59],0.499963621522574,cis
Chapter VI Diseases of the nervous system,G6_MIGRAINE,PRND,Prion-like protein doppel,Inverse variance weighted,9,0.98 [0.93-1.04],0.513637652150999,cis
Chapter VI Diseases of the nervous system,G6_MIGRAINE,MERTK,Tyrosine-protein kinase Mer,Inverse variance weighted,28,0.93 [0.84-1.02],0.114708627879846,trans
Chapter VI Diseases of the nervous system,G6_MIGRAINE,PRND,Prion-like protein doppel,Inverse variance weighted,15,1.08 [0.97-1.21],0.160737818932598,trans
Chapter VI Diseases of the nervous system,G6_MIGRAINE,YAP1,Transcriptional coactivator YAP1,Inverse variance weighted,9,1.06 [0.95-1.18],0.307268527748954,trans
Chapter VI Diseases of the nervous system,G6_MIGRAINE,ATRAID,All-trans retinoic acid-induced differentiation factor,Inverse variance weighted,10,1.08 [0.9-1.31],0.399028068539559,trans
Chapter VI Diseases of the nervous system,G6_MIGRAINE,NT5C1A,Cytosolic 5'-nucleotidase 1A,Inverse variance weighted,4,1.04 [0.82-1.31],0.766672549092481,trans
Chapter VI Diseases of the nervous system,G6_MIGRAINE,CHGA,Chromogranin-A,Inverse variance weighted,5,1.01 [0.86-1.19],0.919525716317651,trans
