Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
Chapter X Diseases of the respiratory system,Pleural effusion,ACTA2,"Actin, aortic smooth muscle",26482,75,1.86 [1.41-2.44],9.894205862385926e-06
Chapter X Diseases of the respiratory system,Pleural effusion,ACVRL1,Serine/threonine-protein kinase receptor R3,26736,76,8.07 [4.38-14.85],2.083556697174369e-11
Chapter X Diseases of the respiratory system,Pleural effusion,ADA2,Adenosine deaminase 2,26786,77,2.37 [1.55-3.61],6.525360042435855e-05
Chapter X Diseases of the respiratory system,Pleural effusion,ADAM12,Disintegrin and metalloproteinase domain-containing protein 12,22743,70,1.89 [1.45-2.46],2.5709557335627978e-06
Chapter X Diseases of the respiratory system,Pleural effusion,ADAM9,Disintegrin and metalloproteinase domain-containing protein 9,23319,69,2.27 [1.22-4.23],0.009781591561984
Chapter X Diseases of the respiratory system,Pleural effusion,ADAMTS15,A disintegrin and metalloproteinase with thrombospondin motifs 15,26849,78,1.92 [1.18-3.12],0.0085863400019219
Chapter X Diseases of the respiratory system,Pleural effusion,ADAMTS4,A disintegrin and metalloproteinase with thrombospondin motifs 4,22743,70,1.97 [1.25-3.10],0.0032833168726308
Chapter X Diseases of the respiratory system,Pleural effusion,ADAMTS8,A disintegrin and metalloproteinase with thrombospondin motifs 8,27027,77,0.52 [0.34-0.78],0.0018505055174225
Chapter X Diseases of the respiratory system,Pleural effusion,ADAMTSL2,ADAMTS-like protein 2,23401,71,2.59 [1.49-4.51],0.0007807664662683
Chapter X Diseases of the respiratory system,Pleural effusion,ADAMTSL4,ADAMTS-like protein 4,22774,68,2.97 [1.48-5.95],0.0021170073723117
Chapter X Diseases of the respiratory system,Pleural effusion,ADAMTSL5,ADAMTS-like protein 5,23417,71,0.54 [0.31-0.94],0.0294640058019732
Chapter X Diseases of the respiratory system,Pleural effusion,ADGRE2,Adhesion G protein-coupled receptor E2,27085,79,2.04 [1.06-3.94],0.0329071839661256
