Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
Chapter II Neoplasms,Benign neoplasm of other and ill-defined parts of digestive system,ACAA1,"3-ketoacyl-CoA thiolase, peroxisomal",22586,92,1.28 [1.04-1.57],0.0210781385326785
Chapter II Neoplasms,Benign neoplasm of other and ill-defined parts of digestive system,ACAN,Aggrecan core protein,22869,97,2.21 [1.16-4.21],0.0158524898670414
Chapter II Neoplasms,Benign neoplasm of other and ill-defined parts of digestive system,ACP5,Tartrate-resistant acid phosphatase type 5,23225,98,1.70 [1.06-2.73],0.0273764202447227
Chapter II Neoplasms,Benign neoplasm of other and ill-defined parts of digestive system,ACY1,Aminoacylase-1,23102,98,1.31 [1.00-1.72],0.0492840819205902
Chapter II Neoplasms,Benign neoplasm of other and ill-defined parts of digestive system,ACY3,N-acyl-aromatic-L-amino acid amidohydrolase,19411,77,1.45 [1.02-2.07],0.0407787723686099
Chapter II Neoplasms,Benign neoplasm of other and ill-defined parts of digestive system,ADAM12,Disintegrin and metalloproteinase domain-containing protein 12,19501,78,2.14 [1.30-3.53],0.0028619542017258
Chapter II Neoplasms,Benign neoplasm of other and ill-defined parts of digestive system,ADAMTS15,A disintegrin and metalloproteinase with thrombospondin motifs 15,22994,94,1.71 [1.12-2.61],0.0131689327905285
Chapter II Neoplasms,Benign neoplasm of other and ill-defined parts of digestive system,AGR2,Anterior gradient protein 2 homolog,22383,93,1.29 [1.09-1.53],0.0037324823213618
Chapter II Neoplasms,Benign neoplasm of other and ill-defined parts of digestive system,AGRN,Agrin,23201,97,1.80 [1.18-2.76],0.0068613847171305
Chapter II Neoplasms,Benign neoplasm of other and ill-defined parts of digestive system,AGXT,Serine--pyruvate aminotransferase,23102,98,1.39 [1.13-1.72],0.0018810690859967
Chapter II Neoplasms,Benign neoplasm of other and ill-defined parts of digestive system,AHSA1,Activator of 90 kDa heat shock protein ATPase homolog 1,20001,81,1.29 [1.00-1.65],0.046044435744201
Chapter II Neoplasms,Benign neoplasm of other and ill-defined parts of digestive system,AMY2A,Pancreatic alpha-amylase,22194,95,1.70 [1.19-2.44],0.0036448254465538
