Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
Chapter VI Diseases of the nervous system,"Other and unspecified nerve root and plexus disorders, also in other diseases",ACAN,Aggrecan core protein,21130,106,1.97 [1.06-3.66],0.0320480607489346
Chapter VI Diseases of the nervous system,"Other and unspecified nerve root and plexus disorders, also in other diseases",ACTN2,Alpha-actinin-2,17974,86,1.37 [1.01-1.86],0.0455569818110508
Chapter VI Diseases of the nervous system,"Other and unspecified nerve root and plexus disorders, also in other diseases",ACVRL1,Serine/threonine-protein kinase receptor R3,21117,103,2.39 [1.38-4.16],0.0020164164042802
Chapter VI Diseases of the nervous system,"Other and unspecified nerve root and plexus disorders, also in other diseases",ADAM12,Disintegrin and metalloproteinase domain-containing protein 12,18054,84,1.88 [1.13-3.12],0.015598335311751
Chapter VI Diseases of the nervous system,"Other and unspecified nerve root and plexus disorders, also in other diseases",ADAM22,Disintegrin and metalloproteinase domain-containing protein 22,21151,103,1.67 [1.04-2.68],0.0331373919413574
Chapter VI Diseases of the nervous system,"Other and unspecified nerve root and plexus disorders, also in other diseases",ADAM9,Disintegrin and metalloproteinase domain-containing protein 9,18513,88,2.42 [1.39-4.23],0.0018008404469471
Chapter VI Diseases of the nervous system,"Other and unspecified nerve root and plexus disorders, also in other diseases",ADAMTS4,A disintegrin and metalloproteinase with thrombospondin motifs 4,18054,84,1.80 [1.09-2.98],0.0226577438629684
Chapter VI Diseases of the nervous system,"Other and unspecified nerve root and plexus disorders, also in other diseases",ADAMTS8,A disintegrin and metalloproteinase with thrombospondin motifs 8,21430,105,0.67 [0.46-0.98],0.0388563184167897
Chapter VI Diseases of the nervous system,"Other and unspecified nerve root and plexus disorders, also in other diseases",ADCYAP1R1,Pituitary adenylate cyclase-activating polypeptide type I receptor,20868,101,0.36 [0.17-0.77],0.0081543303593915
Chapter VI Diseases of the nervous system,"Other and unspecified nerve root and plexus disorders, also in other diseases",AFP,Alpha-fetoprotein,21074,102,0.74 [0.56-0.96],0.0254239223415375
Chapter VI Diseases of the nervous system,"Other and unspecified nerve root and plexus disorders, also in other diseases",AGR2,Anterior gradient protein 2 homolog,20687,100,1.24 [1.05-1.46],0.0123369729372975
Chapter VI Diseases of the nervous system,"Other and unspecified nerve root and plexus disorders, also in other diseases",ALDH3A1,"Aldehyde dehydrogenase, dimeric NADP-preferring",21239,105,1.25 [1.02-1.52],0.0309095462386153
Chapter VI Diseases of the nervous system,"Other and unspecified nerve root and plexus disorders, also in other diseases",AMBP,Protein AMBP,21484,107,3.73 [1.75-7.94],0.0006401018065178
Chapter VI Diseases of the nervous system,"Other and unspecified nerve root and plexus disorders, also in other diseases",APCS,Serum amyloid P-component,18452,87,2.36 [1.28-4.33],0.0056348811971271
Chapter VI Diseases of the nervous system,"Other and unspecified nerve root and plexus disorders, also in other diseases",ASGR1,Asialoglycoprotein receptor 1,21151,103,2.82 [1.78-4.49],1.1048770194266576e-05
Chapter VI Diseases of the nervous system,"Other and unspecified nerve root and plexus disorders, also in other diseases",ASGR2,Asialoglycoprotein receptor 2,18609,88,3.43 [1.84-6.39],0.0001013032134829
Chapter VI Diseases of the nervous system,"Other and unspecified nerve root and plexus disorders, also in other diseases",ATOX1,Copper transport protein ATOX1,21430,105,1.35 [1.04-1.73],0.0220505414879643
Chapter VI Diseases of the nervous system,"Other and unspecified nerve root and plexus disorders, also in other diseases",ATRAID,All-trans retinoic acid-induced differentiation factor,18513,88,1.89 [1.25-2.84],0.002355981996133
Chapter VI Diseases of the nervous system,"Other and unspecified nerve root and plexus disorders, also in other diseases",B4GALT1,"Beta-1,4-galactosyltransferase 1",21433,103,2.09 [1.18-3.72],0.0119741590022645
Chapter VI Diseases of the nervous system,"Other and unspecified nerve root and plexus disorders, also in other diseases",BLOC1S2,Biogenesis of lysosome-related organelles complex 1 subunit 2,18000,86,0.56 [0.39-0.82],0.002544213513599
Chapter VI Diseases of the nervous system,"Other and unspecified nerve root and plexus disorders, also in other diseases",BRD1,Bromodomain-containing protein 1,18276,87,0.36 [0.16-0.81],0.0129398337837405
Chapter VI Diseases of the nervous system,"Other and unspecified nerve root and plexus disorders, also in other diseases",BSG,Basigin,21511,105,2.76 [1.30-5.88],0.0083758893053955
Chapter VI Diseases of the nervous system,"Other and unspecified nerve root and plexus disorders, also in other diseases",BTN1A1,Butyrophilin subfamily 1 member A1,18479,89,1.54 [1.17-2.04],0.0023959278431663
Chapter VI Diseases of the nervous system,"Other and unspecified nerve root and plexus disorders, also in other diseases",BTN2A1,Butyrophilin subfamily 2 member A1,21433,103,2.05 [1.17-3.58],0.0121761056635714
