Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Internal derangement of knee,ACADM,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",12394,382,1.14 [1.00-1.30],0.0494203036016178
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Internal derangement of knee,ACAN,Aggrecan core protein,14261,429,1.77 [1.29-2.43],0.0003990956585084
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Internal derangement of knee,ACE2,Angiotensin-converting enzyme 2,14132,430,1.27 [1.10-1.46],0.0009517242325007
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Internal derangement of knee,ACRV1,Acrosomal protein SP-10,12224,370,1.09 [1.01-1.17],0.0359032723066891
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Internal derangement of knee,ADA2,Adenosine deaminase 2,14322,430,0.79 [0.65-0.97],0.0252119604157742
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Internal derangement of knee,ADAM12,Disintegrin and metalloproteinase domain-containing protein 12,12224,370,1.64 [1.25-2.16],0.0003675451601143
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Internal derangement of knee,ADAMTS13,A disintegrin and metalloproteinase with thrombospondin motifs 13,14578,444,0.64 [0.45-0.90],0.0105627783772546
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Internal derangement of knee,ADAMTS8,A disintegrin and metalloproteinase with thrombospondin motifs 8,14452,439,0.75 [0.62-0.91],0.0042141431127716
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Internal derangement of knee,AGR3,Anterior gradient protein 3,14057,422,1.19 [1.03-1.37],0.0151590969611618
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Internal derangement of knee,AIF1,Allograft inflammatory factor 1,14088,423,1.24 [1.05-1.46],0.0112610561499217
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Internal derangement of knee,AIF1L,Allograft inflammatory factor 1-like,12313,371,0.70 [0.55-0.88],0.0025474920988852
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Internal derangement of knee,AMBP,Protein AMBP,14498,442,2.30 [1.52-3.46],7.15369751215406e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Internal derangement of knee,AMIGO2,Amphoterin-induced protein 2,14327,436,0.56 [0.39-0.80],0.0018132086356193
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Internal derangement of knee,ANG,Angiogenin,14373,430,1.29 [1.01-1.65],0.039688782696515
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Internal derangement of knee,ANGPTL3,Angiopoietin-related protein 3,14421,434,0.80 [0.64-1.00],0.0474388582914243
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Internal derangement of knee,AOC3,Membrane primary amine oxidase,14470,436,0.68 [0.51-0.89],0.0062637762258693
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Internal derangement of knee,APCS,Serum amyloid P-component,12508,386,1.36 [1.01-1.82],0.0401724127090948
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Internal derangement of knee,APOH,Beta-2-glycoprotein 1,14404,442,1.52 [1.22-1.89],0.0001681032366157
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Internal derangement of knee,ASAH2,Neutral ceramidase,14270,436,0.85 [0.73-0.99],0.0316112177821226
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Internal derangement of knee,ASGR1,Asialoglycoprotein receptor 1,14270,436,1.68 [1.28-2.21],0.0001959912878384
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Internal derangement of knee,B4GALT1,"Beta-1,4-galactosyltransferase 1",14458,437,1.59 [1.17-2.14],0.0027117391656586
