Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
Chapter XI Diseases of the digestive system,Paralytic ileus and intestinal obstruction,ADAM12,Disintegrin and metalloproteinase domain-containing protein 12,18311,60,1.84 [1.32-2.56],0.0002863989185651
Chapter XI Diseases of the digestive system,Paralytic ileus and intestinal obstruction,ADM,Pro-adrenomedullin,21907,73,4.12 [1.88-9.02],0.0004036059458327
Chapter XI Diseases of the digestive system,Paralytic ileus and intestinal obstruction,AREG,Amphiregulin,21616,73,2.12 [1.57-2.86],9.423591562463022e-07
Chapter XI Diseases of the digestive system,Paralytic ileus and intestinal obstruction,ASGR1,Asialoglycoprotein receptor 1,21569,71,3.38 [1.91-5.97],2.6944353333786025e-05
Chapter XI Diseases of the digestive system,Paralytic ileus and intestinal obstruction,BTN3A2,Butyrophilin subfamily 3 member A2,21685,71,2.35 [1.58-3.48],2.2215006837958595e-05
Chapter XI Diseases of the digestive system,Paralytic ileus and intestinal obstruction,C1RL,Complement C1r subcomponent-like protein,18838,63,8.32 [2.58-26.81],0.0003889491776864
Chapter XI Diseases of the digestive system,Paralytic ileus and intestinal obstruction,CCL20,C-C motif chemokine 20,21965,72,1.38 [1.15-1.65],0.0004959625680895
Chapter XI Diseases of the digestive system,Paralytic ileus and intestinal obstruction,COL18A1,Collagen alpha-1(XVIII) chain,21796,71,5.76 [2.40-13.81],8.705192672162146e-05
Chapter XI Diseases of the digestive system,Paralytic ileus and intestinal obstruction,CTSO,Cathepsin O,21965,72,3.49 [1.99-6.10],1.213382354591222e-05
Chapter XI Diseases of the digestive system,Paralytic ileus and intestinal obstruction,CXCL16,C-X-C motif chemokine 16,21943,72,4.65 [2.12-10.22],0.0001288289173643
Chapter XI Diseases of the digestive system,Paralytic ileus and intestinal obstruction,DNER,Delta and Notch-like epidermal growth factor-related receptor,21628,73,0.25 [0.11-0.54],0.0005473688892077
Chapter XI Diseases of the digestive system,Paralytic ileus and intestinal obstruction,EFNA1,Ephrin-A1,21663,73,3.72 [1.89-7.31],0.0001365289585989
Chapter XI Diseases of the digestive system,Paralytic ileus and intestinal obstruction,FGF19,Fibroblast growth factor 19,21771,73,0.54 [0.42-0.71],7.448944366546068e-06
Chapter XI Diseases of the digestive system,Paralytic ileus and intestinal obstruction,FSTL3,Follistatin-related protein 3,21632,73,2.90 [1.60-5.27],0.0004572234989972
Chapter XI Diseases of the digestive system,Paralytic ileus and intestinal obstruction,GDF15,Growth/differentiation factor 15,21988,72,1.89 [1.46-2.46],1.472922404531356e-06
Chapter XI Diseases of the digestive system,Paralytic ileus and intestinal obstruction,GFRA1,GDNF family receptor alpha-1,21879,73,4.46 [2.33-8.55],6.552689898933944e-06
Chapter XI Diseases of the digestive system,Paralytic ileus and intestinal obstruction,GOLM2,Protein GOLM2,21931,73,3.87 [1.77-8.48],0.0007018511416541
