Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter IX Diseases of the circulatory system,"Myocardial infarction, without ST-elevation",ACVRL1,Serine/threonine-protein kinase receptor R3,50977,615,2.30 [1.78-2.96],1.3156366614677895e-10
Chapter IX Diseases of the circulatory system,"Myocardial infarction, without ST-elevation",ADM,Pro-adrenomedullin,51901,625,2.85 [2.17-3.76],8.180760019963995e-14
Chapter IX Diseases of the circulatory system,"Myocardial infarction, without ST-elevation",AGRN,Agrin,51686,617,2.11 [1.79-2.49],9.175796098014208e-19
Chapter IX Diseases of the circulatory system,"Myocardial infarction, without ST-elevation",AMBP,Protein AMBP,51827,624,3.26 [2.33-4.55],4.22252431389256e-12
Chapter IX Diseases of the circulatory system,"Myocardial infarction, without ST-elevation",ASGR1,Asialoglycoprotein receptor 1,51061,617,2.13 [1.73-2.62],1.1891989084580377e-12
Chapter IX Diseases of the circulatory system,"Myocardial infarction, without ST-elevation",CD27,CD27 antigen,51624,623,1.73 [1.48-2.01],2.2697933959688226e-12
Chapter IX Diseases of the circulatory system,"Myocardial infarction, without ST-elevation",CD300E,CMRF35-like molecule 2,51734,625,1.82 [1.56-2.13],7.640606731162104e-14
Chapter IX Diseases of the circulatory system,"Myocardial infarction, without ST-elevation",CD302,CD302 antigen,51226,616,2.09 [1.71-2.55],8.702945711049466e-13
Chapter IX Diseases of the circulatory system,"Myocardial infarction, without ST-elevation",CD74,HLA class II histocompatibility antigen gamma chain,51913,624,1.93 [1.60-2.33],8.068857434515328e-12
Chapter IX Diseases of the circulatory system,"Myocardial infarction, without ST-elevation",CD83,CD83 antigen,51392,616,1.88 [1.56-2.28],7.819914313032973e-11
Chapter IX Diseases of the circulatory system,"Myocardial infarction, without ST-elevation",CDCP1,CUB domain-containing protein 1,51061,617,1.51 [1.34-1.70],1.8100264073096883e-11
Chapter IX Diseases of the circulatory system,"Myocardial infarction, without ST-elevation",CHCHD10,"Coiled-coil-helix-coiled-coil-helix domain-containing protein 10, mitochondrial",44631,532,1.70 [1.44-2.00],1.7271182069905854e-10
Chapter IX Diseases of the circulatory system,"Myocardial infarction, without ST-elevation",CHGA,Chromogranin-A,44741,535,1.28 [1.19-1.38],7.125709456750535e-11
