Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter IX Diseases of the circulatory system,Pulmonary embolism,ACVRL1,Serine/threonine-protein kinase receptor R3,27830,340,2.16 [1.48-3.15],5.890064279439489e-05
Chapter IX Diseases of the circulatory system,Pulmonary embolism,ADM,Pro-adrenomedullin,28322,350,1.92 [1.33-2.77],0.0005033784421094
Chapter IX Diseases of the circulatory system,Pulmonary embolism,AGRN,Agrin,28196,345,1.65 [1.28-2.12],0.0001010451047879
Chapter IX Diseases of the circulatory system,Pulmonary embolism,ANGPTL4,Angiopoietin-related protein 4,28153,345,1.60 [1.30-1.97],9.829894694992262e-06
Chapter IX Diseases of the circulatory system,Pulmonary embolism,ANXA10,Annexin A10,27409,341,1.21 [1.09-1.35],0.0006300515311729
Chapter IX Diseases of the circulatory system,Pulmonary embolism,AREG,Amphiregulin,27946,344,1.44 [1.19-1.75],0.0001730302670087
Chapter IX Diseases of the circulatory system,Pulmonary embolism,BSG,Basigin,28355,350,2.24 [1.41-3.58],0.0006857010952608
Chapter IX Diseases of the circulatory system,Pulmonary embolism,BTN2A1,Butyrophilin subfamily 2 member A1,28196,345,1.81 [1.28-2.57],0.0008704284414109
Chapter IX Diseases of the circulatory system,Pulmonary embolism,CCL15,C-C motif chemokine 15,28419,347,1.42 [1.16-1.73],0.0005839432935355
Chapter IX Diseases of the circulatory system,Pulmonary embolism,CCL17,C-C motif chemokine 17,28004,345,1.20 [1.08-1.33],0.000537634495879
Chapter IX Diseases of the circulatory system,Pulmonary embolism,CCL7,C-C motif chemokine 7,28054,346,1.26 [1.10-1.44],0.0009103578969401
Chapter IX Diseases of the circulatory system,Pulmonary embolism,CD27,CD27 antigen,28137,348,1.65 [1.33-2.06],6.351731453779401e-06
Chapter IX Diseases of the circulatory system,Pulmonary embolism,CD300A,CMRF35-like molecule 8,23834,292,1.94 [1.35-2.79],0.0003291657217543
Chapter IX Diseases of the circulatory system,Pulmonary embolism,CD302,CD302 antigen,27946,344,1.93 [1.45-2.56],6.652828249271343e-06
Chapter IX Diseases of the circulatory system,Pulmonary embolism,CD46,Membrane cofactor protein,27882,341,1.67 [1.24-2.27],0.0008297768595022
Chapter IX Diseases of the circulatory system,Pulmonary embolism,CD55,Complement decay-accelerating factor,27069,332,1.74 [1.27-2.37],0.0004741566038235
Chapter IX Diseases of the circulatory system,Pulmonary embolism,CD59,CD59 glycoprotein,27023,335,2.60 [1.85-3.64],2.8452701668623116e-08
Chapter IX Diseases of the circulatory system,Pulmonary embolism,CD79B,B-cell antigen receptor complex-associated protein beta chain,28406,351,1.45 [1.18-1.78],0.0004639843742276
Chapter IX Diseases of the circulatory system,Pulmonary embolism,CD93,Complement component C1q receptor,26979,332,1.76 [1.30-2.38],0.000244668581395
Chapter IX Diseases of the circulatory system,Pulmonary embolism,CD99L2,CD99 antigen-like protein 2,28062,343,2.14 [1.46-3.15],9.53935176462053e-05
Chapter IX Diseases of the circulatory system,Pulmonary embolism,CHCHD10,"Coiled-coil-helix-coiled-coil-helix domain-containing protein 10, mitochondrial",24308,302,1.52 [1.20-1.94],0.0006442530415439
Chapter IX Diseases of the circulatory system,Pulmonary embolism,CHGA,Chromogranin-A,24369,300,1.23 [1.10-1.38],0.0002588423271272
Chapter IX Diseases of the circulatory system,Pulmonary embolism,CHRDL1,Chordin-like protein 1,28153,345,1.73 [1.29-2.34],0.000282901067163
Chapter IX Diseases of the circulatory system,Pulmonary embolism,CKAP4,Cytoskeleton-associated protein 4,28257,350,2.22 [1.68-2.94],1.9999045268500865e-08
Chapter IX Diseases of the circulatory system,Pulmonary embolism,CLEC14A,C-type lectin domain family 14 member A,28062,343,1.71 [1.27-2.30],0.0004588269899452
Chapter IX Diseases of the circulatory system,Pulmonary embolism,COL18A1,Collagen alpha-1(XVIII) chain,28169,347,2.21 [1.48-3.32],0.0001205166162078
Chapter IX Diseases of the circulatory system,Pulmonary embolism,COL6A3,Collagen alpha-3(VI) chain,28419,347,2.00 [1.55-2.58],8.487280524506593e-08
Chapter IX Diseases of the circulatory system,Pulmonary embolism,COLEC12,Collectin-12,28052,345,2.33 [1.64-3.30],2.400800183136015e-06
Chapter IX Diseases of the circulatory system,Pulmonary embolism,CRIM1,Cysteine-rich motor neuron 1 protein,28196,345,2.26 [1.44-3.54],0.0003718544028902
Chapter IX Diseases of the circulatory system,Pulmonary embolism,CSF1,Macrophage colony-stimulating factor 1,28196,345,1.94 [1.39-2.70],9.546438913292808e-05
Chapter IX Diseases of the circulatory system,Pulmonary embolism,CST3,Cystatin-C,28107,341,1.78 [1.28-2.47],0.0005789978310842
Chapter IX Diseases of the circulatory system,Pulmonary embolism,CTHRC1,Collagen triple helix repeat-containing protein 1,24369,300,1.92 [1.32-2.80],0.0007069583830386
Chapter IX Diseases of the circulatory system,Pulmonary embolism,CTSL,Cathepsin L1,28071,339,1.96 [1.34-2.86],0.0005087405879234
Chapter IX Diseases of the circulatory system,Pulmonary embolism,CXCL16,C-X-C motif chemokine 16,28366,347,2.63 [1.80-3.84],5.721164110133629e-07
Chapter IX Diseases of the circulatory system,Pulmonary embolism,CXCL17,C-X-C motif chemokine 17,28406,351,1.43 [1.19-1.71],0.0001598439874298
Chapter IX Diseases of the circulatory system,Pulmonary embolism,DKK3,Dickkopf-related protein 3,28419,347,1.91 [1.39-2.62],6.044396850574146e-05
Chapter IX Diseases of the circulatory system,Pulmonary embolism,DOCK9,Dedicator of cytokinesis protein 9,23608,288,0.76 [0.67-0.88],0.0001213914079071
Chapter IX Diseases of the circulatory system,Pulmonary embolism,DPT,Dermatopontin,28419,347,2.33 [1.60-3.41],1.2314053430621224e-05
Chapter IX Diseases of the circulatory system,Pulmonary embolism,DTX3,Probable E3 ubiquitin-protein ligase DTX3,27946,344,1.89 [1.32-2.70],0.0004789531444878
Chapter IX Diseases of the circulatory system,Pulmonary embolism,EDA2R,Tumor necrosis factor receptor superfamily member 27,28322,350,2.02 [1.59-2.56],8.172829061196885e-09
Chapter IX Diseases of the circulatory system,Pulmonary embolism,EFEMP1,EGF-containing fibulin-like extracellular matrix protein 1,28103,343,1.87 [1.40-2.52],3.0076195502744e-05
Chapter IX Diseases of the circulatory system,Pulmonary embolism,EFNA1,Ephrin-A1,28012,343,1.86 [1.33-2.59],0.0002675526750609
Chapter IX Diseases of the circulatory system,Pulmonary embolism,EFNA4,Ephrin-A4,27830,340,1.76 [1.29-2.41],0.0003562430998432
Chapter IX Diseases of the circulatory system,Pulmonary embolism,ELN,Elastin,24382,298,1.82 [1.33-2.49],0.0001750247809969
Chapter IX Diseases of the circulatory system,Pulmonary embolism,ENPP6,Glycerophosphocholine cholinephosphodiesterase ENPP6,23706,289,0.57 [0.42-0.78],0.0003414297876214
Chapter IX Diseases of the circulatory system,Pulmonary embolism,ENTPD5,Ectonucleoside triphosphate diphosphohydrolase 5,27571,342,2.25 [1.42-3.56],0.0005888698145722
Chapter IX Diseases of the circulatory system,Pulmonary embolism,EPHA2,Ephrin type-A receptor 2,27060,334,1.97 [1.48-2.63],3.551410734721593e-06
Chapter IX Diseases of the circulatory system,Pulmonary embolism,EPHB4,Ephrin type-B receptor 4,28419,347,2.63 [1.88-3.67],1.538653304622014e-08
Chapter IX Diseases of the circulatory system,Pulmonary embolism,ESAM,Endothelial cell-selective adhesion molecule,28419,347,1.91 [1.46-2.50],2.0706013453433e-06
Chapter IX Diseases of the circulatory system,Pulmonary embolism,FABP3,"Fatty acid-binding protein, heart",24382,298,1.41 [1.17-1.70],0.0003607989849829
Chapter IX Diseases of the circulatory system,Pulmonary embolism,FABP4,"Fatty acid-binding protein, adipocyte",28419,347,1.38 [1.15-1.64],0.000472433048397
Chapter IX Diseases of the circulatory system,Pulmonary embolism,FAM3C,Protein FAM3C,28038,337,1.92 [1.41-2.63],4.065230687005007e-05
Chapter IX Diseases of the circulatory system,Pulmonary embolism,FAS,Tumor necrosis factor receptor superfamily member 6,28319,347,1.45 [1.18-1.78],0.0003480508398169
Chapter IX Diseases of the circulatory system,Pulmonary embolism,FSTL3,Follistatin-related protein 3,28010,343,1.72 [1.29-2.29],0.0002484867409631
Chapter IX Diseases of the circulatory system,Pulmonary embolism,GAD2,Glutamate decarboxylase 2,23687,291,0.57 [0.41-0.78],0.0005615986632232
Chapter IX Diseases of the circulatory system,Pulmonary embolism,GAST,Gastrin,24308,302,1.17 [1.09-1.27],4.616368664029156e-05
Chapter IX Diseases of the circulatory system,Pulmonary embolism,GDF15,Growth/differentiation factor 15,28419,347,1.62 [1.39-1.89],4.765572634455991e-10
Chapter IX Diseases of the circulatory system,Pulmonary embolism,HAVCR2,Hepatitis A virus cellular receptor 2,28062,343,1.81 [1.40-2.35],6.0970089283980754e-06
Chapter IX Diseases of the circulatory system,Pulmonary embolism,HSPB6,Heat shock protein beta-6,28322,350,1.71 [1.37-2.13],1.7682559613327555e-06
Chapter IX Diseases of the circulatory system,Pulmonary embolism,HSPG2,Basement membrane-specific heparan sulfate proteoglycan core protein,27843,341,2.11 [1.53-2.91],4.654486505078399e-06
Chapter IX Diseases of the circulatory system,Pulmonary embolism,HYOU1,Hypoxia up-regulated protein 1,28419,347,2.28 [1.49-3.47],0.0001281260280692
Chapter IX Diseases of the circulatory system,Pulmonary embolism,IGFBP2,Insulin-like growth factor-binding protein 2,28365,347,1.34 [1.16-1.56],9.60901942204117e-05
Chapter IX Diseases of the circulatory system,Pulmonary embolism,IGFBP4,Insulin-like growth factor-binding protein 4,27704,341,1.60 [1.30-1.97],1.2109171108679426e-05
