Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Other dorsopathies, not elsewhere classified",EDA2R,Tumor necrosis factor receptor superfamily member 27,Inverse variance weighted,12,1.11 [1.03-1.21],0.0079188245505521
Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Other dorsopathies, not elsewhere classified",SIRPB1,Signal-regulatory protein beta-1,Inverse variance weighted,34,1.02 [1.00-1.04],0.0227130991501162
Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Other dorsopathies, not elsewhere classified",LAYN,Layilin,Inverse variance weighted,23,0.97 [0.94-1.00],0.0355201409486256
Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Other dorsopathies, not elsewhere classified",EFNA4,Ephrin-A4,Inverse variance weighted,5,0.90 [0.83-0.98],0.0202409898208832
Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Other dorsopathies, not elsewhere classified",SDC1,Syndecan-1,Inverse variance weighted,14,1.08 [1.01-1.15],0.0206837110920741
Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Other dorsopathies, not elsewhere classified",TNFRSF1B,Tumor necrosis factor receptor superfamily member 1B,Inverse variance weighted,9,1.07 [1.00-1.14],0.0494155644126769
Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Other dorsopathies, not elsewhere classified",LTBP2,Latent-transforming growth factor beta-binding protein 2,Inverse variance weighted,18,0.92 [0.87-0.98],0.0069382362537403
Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Other dorsopathies, not elsewhere classified",GFRA1,GDNF family receptor alpha-1,Inverse variance weighted,10,1.07 [1.02-1.13],0.0070817391030619
Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Other dorsopathies, not elsewhere classified",ANXA10,Annexin A10,Wald ratio,1,1.43 [1.14-1.80],0.0017208209220855
Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Other dorsopathies, not elsewhere classified",AGRN,Agrin,Inverse variance weighted,31,0.96 [0.93-0.99],0.0190595826740816
Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Other dorsopathies, not elsewhere classified",TNFRSF1A,Tumor necrosis factor receptor superfamily member 1A,Inverse variance weighted,5,1.12 [1.01-1.24],0.0262513951471822
Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Other dorsopathies, not elsewhere classified",ASGR1,Asialoglycoprotein receptor 1,Inverse variance weighted,8,0.87 [0.79-0.95],0.0035232720952888
Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Other dorsopathies, not elsewhere classified",LGALS4,Galectin-4,Inverse variance weighted,19,0.96 [0.93-0.98],0.0013346563287838
Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Other dorsopathies, not elsewhere classified",FABP1,"Fatty acid-binding protein, liver",Inverse variance weighted,6,1.05 [1.00-1.10],0.0301423156161886
Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Other dorsopathies, not elsewhere classified",LAIR1,Leukocyte-associated immunoglobulin-like receptor 1,Inverse variance weighted,18,0.95 [0.92-0.98],0.0015271486261424
Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Other dorsopathies, not elsewhere classified",BSG,Basigin,Inverse variance weighted,8,1.09 [1.00-1.18],0.0375475723832483
Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Other dorsopathies, not elsewhere classified",FGL1,Fibrinogen-like protein 1,Inverse variance weighted,38,0.97 [0.95-0.99],0.0044160532376407
