Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Rheumatoid arthritis,IL1R1,Interleukin-1 receptor type 1,Inverse variance weighted,22,0.90 [0.83-0.98],0.0170536129770492
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Rheumatoid arthritis,PRSS8,Prostasin,Inverse variance weighted,19,1.11 [1.00-1.23],0.043928370857187
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Rheumatoid arthritis,ICAM3,Intercellular adhesion molecule 3,Inverse variance weighted,33,1.10 [1.01-1.20],0.0265738936446734
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Rheumatoid arthritis,CD40,Tumor necrosis factor receptor superfamily member 5,Inverse variance weighted,11,1.22 [1.12-1.32],1.8758137715188e-06
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Rheumatoid arthritis,COL6A3,Collagen alpha-3(VI) chain,Inverse variance weighted,5,1.33 [1.02-1.73],0.0321323007072492
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Rheumatoid arthritis,TNFRSF14,Tumor necrosis factor receptor superfamily member 14,Inverse variance weighted,2,0.76 [0.62-0.94],0.0096223843021293
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Rheumatoid arthritis,RBFOX3,RNA binding protein fox-1 homolog 3,Inverse variance weighted,2,0.58 [0.37-0.92],0.0215820025089158
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Rheumatoid arthritis,CD1C,T-cell surface glycoprotein CD1c,Inverse variance weighted,31,1.20 [1.03-1.39],0.021140011909563
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Rheumatoid arthritis,FCAR,Immunoglobulin alpha Fc receptor,Inverse variance weighted,36,0.95 [0.90-1.00],0.0406447447843215
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Rheumatoid arthritis,HSPB6,Heat shock protein beta-6,Inverse variance weighted,5,0.78 [0.61-0.98],0.0358435140205819
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Rheumatoid arthritis,TNFRSF11A,Tumor necrosis factor receptor superfamily member 11A,Inverse variance weighted,35,0.94 [0.90-0.99],0.0231958653978852
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Rheumatoid arthritis,CRIM1,Cysteine-rich motor neuron 1 protein,Inverse variance weighted,14,0.85 [0.76-0.94],0.0024032434044888
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Rheumatoid arthritis,PHLDB1,Pleckstrin homology-like domain family B member 1,Inverse variance weighted,3,1.81 [1.26-2.59],0.001256124008516
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Rheumatoid arthritis,MDK,Midkine,Inverse variance weighted,19,1.20 [1.06-1.35],0.0034711869731473
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Rheumatoid arthritis,TNFRSF8,Tumor necrosis factor receptor superfamily member 8,Inverse variance weighted,13,1.19 [1.04-1.36],0.0099014884965905
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Rheumatoid arthritis,OCLN,Occludin,Inverse variance weighted,3,0.80 [0.65-0.98],0.0317870461361765
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Rheumatoid arthritis,IL12RB1,Interleukin-12 receptor subunit beta-1,Inverse variance weighted,22,1.17 [1.03-1.33],0.0145612373794377
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Rheumatoid arthritis,SLAMF8,SLAM family member 8,Inverse variance weighted,28,1.03 [1.00-1.06],0.0266947346163637
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Rheumatoid arthritis,LILRB4,Leukocyte immunoglobulin-like receptor subfamily B member 4,Inverse variance weighted,17,1.19 [1.03-1.39],0.0221612604349804
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Rheumatoid arthritis,RELT,Tumor necrosis factor receptor superfamily member 19L,Inverse variance weighted,19,1.09 [1.03-1.16],0.003501767832108
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Rheumatoid arthritis,PPP3R1,Calcineurin subunit B type 1,Inverse variance weighted,3,0.77 [0.62-0.97],0.0252616336978262
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Rheumatoid arthritis,CTHRC1,Collagen triple helix repeat-containing protein 1,Inverse variance weighted,10,1.32 [1.08-1.62],0.0063037033648626
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Rheumatoid arthritis,TNFSF13B,Tumor necrosis factor ligand superfamily member 13B,Inverse variance weighted,23,1.13 [1.01-1.26],0.034620232655279
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Rheumatoid arthritis,CCL15,C-C motif chemokine 15,Inverse variance weighted,28,1.04 [1.01-1.08],0.0100503370779451
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Rheumatoid arthritis,IL10RB,Interleukin-10 receptor subunit beta,Inverse variance weighted,31,1.07 [1.02-1.11],0.002002245409239
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Rheumatoid arthritis,CD5,T-cell surface glycoprotein CD5,Inverse variance weighted,13,1.47 [1.23-1.76],2.49271559751484e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Rheumatoid arthritis,IFNLR1,Interferon lambda receptor 1,Inverse variance weighted,9,1.11 [1.04-1.19],0.0022488421497434
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Rheumatoid arthritis,PDCD1,Programmed cell death protein 1,Inverse variance weighted,24,1.19 [1.01-1.39],0.0361569855183824
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Rheumatoid arthritis,SIRPB1,Signal-regulatory protein beta-1,Inverse variance weighted,34,1.06 [1.01-1.11],0.0099227142908386
