Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands,CDH6,Cadherin-6,Inverse variance weighted,34,1.05 [1.01-1.09],0.0231778965943857
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands,PALM2,Paralemmin-2,Inverse variance weighted,9,1.11 [1.01-1.22],0.025007388409456
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands,THBD,Thrombomodulin,Inverse variance weighted,16,1.08 [1.01-1.15],0.0334794445449492
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands,CST3,Cystatin-C,Inverse variance weighted,13,1.09 [1.01-1.16],0.0178724689925015
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands,SEMA3F,Semaphorin-3F,Inverse variance weighted,46,1.10 [1.03-1.18],0.0049971721314091
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands,EFNA1,Ephrin-A1,Inverse variance weighted,15,1.11 [1.04-1.18],0.001470233463967
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands,VWC2,Brorin,Inverse variance weighted,35,1.08 [1.02-1.15],0.0136823707071141
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands,PGF,Placenta growth factor,Inverse variance weighted,8,0.81 [0.68-0.96],0.0157643580181324
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands,SPON2,Spondin-2,Inverse variance weighted,8,1.10 [1.01-1.20],0.0326062440819561
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands,ADAM9,Disintegrin and metalloproteinase domain-containing protein 9,Inverse variance weighted,18,0.86 [0.78-0.95],0.0038899404710926
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands,EPHA1,Ephrin type-A receptor 1,Inverse variance weighted,12,0.91 [0.84-0.98],0.0179117781024495
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands,EDA2R,Tumor necrosis factor receptor superfamily member 27,Inverse variance weighted,12,0.75 [0.60-0.94],0.0117727592404622
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands,TGFBR1,TGF-beta receptor type-1,Wald ratio,1,0.47 [0.29-0.75],0.001427895674788
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands,ADAM22,Disintegrin and metalloproteinase domain-containing protein 22,Inverse variance weighted,49,1.04 [1.00-1.07],0.0428158392954695
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands,HNMT,Histamine N-methyltransferase,Inverse variance weighted,32,1.05 [1.01-1.08],0.0113417869675165
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands,PTH,Parathyroid hormone,Inverse variance weighted,11,1.13 [1.00-1.27],0.0430088348188766
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands,LGALS9,Galectin-9,Inverse variance weighted,39,1.07 [1.02-1.12],0.0037111343768541
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands,PGLYRP1,Peptidoglycan recognition protein 1,Inverse variance weighted,24,0.93 [0.87-0.99],0.0247750448932869
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands,REG1B,Lithostathine-1-beta,Inverse variance weighted,26,1.06 [1.00-1.12],0.0489738599477167
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands,RNF149,E3 ubiquitin-protein ligase RNF149,Inverse variance weighted,10,1.10 [1.02-1.18],0.00853547716004
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands,EFEMP1,EGF-containing fibulin-like extracellular matrix protein 1,Inverse variance weighted,9,1.15 [1.02-1.30],0.0194308081042179
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands,PCDH17,Protocadherin-17,Inverse variance weighted,47,1.04 [1.01-1.08],0.0254284519447126
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands,RTN4R,Reticulon-4 receptor,Inverse variance weighted,26,1.06 [1.00-1.12],0.0348934376543823
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands,FGF23,Fibroblast growth factor 23,Inverse variance weighted,17,1.16 [1.02-1.32],0.0195419513085465
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands,CD55,Complement decay-accelerating factor,Inverse variance weighted,27,0.94 [0.89-1.00],0.0450590096972331
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands,KLK11,Kallikrein-11,Inverse variance weighted,19,0.94 [0.90-0.98],0.0080231515881583
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands,CEACAM8,Carcinoembryonic antigen-related cell adhesion molecule 8,Inverse variance weighted,24,1.07 [1.00-1.15],0.0383218193922911
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands,MEPE,Matrix extracellular phosphoglycoprotein,Inverse variance weighted,27,0.90 [0.82-0.98],0.0162462064079564
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands,DKK4,Dickkopf-related protein 4,Inverse variance weighted,18,1.13 [1.00-1.26],0.0428774953212274
