Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter XIV Diseases of the genitourinary system,Dialysis,CTRB1,Chymotrypsinogen B,Inverse variance weighted,43,0.84 [0.71-0.99],0.041572482449783
Chapter XIV Diseases of the genitourinary system,Dialysis,FCAMR,High affinity immunoglobulin alpha and immunoglobulin mu Fc receptor,Inverse variance weighted,45,0.78 [0.65-0.93],0.0063767391242635
Chapter XIV Diseases of the genitourinary system,Dialysis,TNFRSF8,Tumor necrosis factor receptor superfamily member 8,Inverse variance weighted,13,1.92 [1.37-2.68],0.0001553468783615
Chapter XIV Diseases of the genitourinary system,Dialysis,DSG3,Desmoglein-3,Inverse variance weighted,27,0.77 [0.61-0.98],0.0298631602066412
Chapter XIV Diseases of the genitourinary system,Dialysis,CCL16,C-C motif chemokine 16,Inverse variance weighted,26,0.86 [0.77-0.96],0.0092569883371519
Chapter XIV Diseases of the genitourinary system,Dialysis,CD300E,CMRF35-like molecule 2,Inverse variance weighted,36,1.27 [1.06-1.52],0.0101448170559443
Chapter XIV Diseases of the genitourinary system,Dialysis,LRCH4,Leucine-rich repeat and calponin homology domain-containing protein 4,Inverse variance weighted,5,2.08 [1.05-4.11],0.0346998773123383
Chapter XIV Diseases of the genitourinary system,Dialysis,CTSS,Cathepsin S,Inverse variance weighted,30,0.82 [0.69-0.97],0.0216529204639578
Chapter XIV Diseases of the genitourinary system,Dialysis,MILR1,Allergin-1,Inverse variance weighted,43,0.86 [0.78-0.95],0.0032602236041978
Chapter XIV Diseases of the genitourinary system,Dialysis,DKK3,Dickkopf-related protein 3,Inverse variance weighted,28,0.78 [0.66-0.91],0.0022468979492695
Chapter XIV Diseases of the genitourinary system,Dialysis,FABP1,"Fatty acid-binding protein, liver",Inverse variance weighted,6,1.49 [1.05-2.11],0.0262487069254188
Chapter XIV Diseases of the genitourinary system,Dialysis,IL18,Interleukin-18,Inverse variance weighted,42,1.20 [1.01-1.41],0.0358250011064307
Chapter XIV Diseases of the genitourinary system,Dialysis,ST6GAL1,"Beta-galactoside alpha-2,6-sialyltransferase 1",Inverse variance weighted,9,0.61 [0.41-0.92],0.0187852362618398
Chapter XIV Diseases of the genitourinary system,Dialysis,CCL25,C-C motif chemokine 25,Inverse variance weighted,49,0.87 [0.77-0.98],0.0195110134492259
Chapter XIV Diseases of the genitourinary system,Dialysis,HAVCR1,Hepatitis A virus cellular receptor 1,Inverse variance weighted,40,0.77 [0.65-0.92],0.002868980027645
Chapter XIV Diseases of the genitourinary system,Dialysis,RBP7,Retinoid-binding protein 7,Inverse variance weighted,15,1.36 [1.05-1.76],0.0212610896417211
Chapter XIV Diseases of the genitourinary system,Dialysis,FGA,Fibrinogen alpha chain,Inverse variance weighted,10,0.49 [0.33-0.74],0.0007117127324737
Chapter XIV Diseases of the genitourinary system,Dialysis,MDK,Midkine,Inverse variance weighted,19,2.05 [1.30-3.26],0.0022126541975457
Chapter XIV Diseases of the genitourinary system,Dialysis,REG3A,Regenerating islet-derived protein 3-alpha,Inverse variance weighted,30,1.31 [1.07-1.61],0.0095463859951973
Chapter XIV Diseases of the genitourinary system,Dialysis,OLR1,Oxidized low-density lipoprotein receptor 1,Inverse variance weighted,19,0.63 [0.43-0.92],0.0173285442659936
Chapter XIV Diseases of the genitourinary system,Dialysis,CPXM2,Inactive carboxypeptidase-like protein X2,Inverse variance weighted,26,0.80 [0.66-0.97],0.0212358471471191
Chapter XIV Diseases of the genitourinary system,Dialysis,CLEC4G,C-type lectin domain family 4 member G,Inverse variance weighted,20,1.38 [1.04-1.84],0.0252956496322733
Chapter XIV Diseases of the genitourinary system,Dialysis,DEFA1_DEFA1B,Neutrophil defensin 1,Inverse variance weighted,31,1.32 [1.00-1.73],0.0470756492585678
