Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter XI Diseases of the digestive system,Alcoholic liver disease,KYAT1,Kynurenine--oxoglutarate transaminase 1,Inverse variance weighted,3,1.74 [1.11-2.71],0.0148953569693419
Chapter XI Diseases of the digestive system,Alcoholic liver disease,LEPR,Leptin receptor,Inverse variance weighted,13,1.30 [1.07-1.56],0.0069389072287182
Chapter XI Diseases of the digestive system,Alcoholic liver disease,HAVCR2,Hepatitis A virus cellular receptor 2,Inverse variance weighted,13,1.09 [1.02-1.17],0.013973974146606
Chapter XI Diseases of the digestive system,Alcoholic liver disease,PRSS2,Trypsin-2,Inverse variance weighted,22,0.77 [0.63-0.95],0.0143623646371057
Chapter XI Diseases of the digestive system,Alcoholic liver disease,THBS2,Thrombospondin-2,Inverse variance weighted,33,0.90 [0.82-1.00],0.0436257805863644
Chapter XI Diseases of the digestive system,Alcoholic liver disease,VSIG10L,V-set and immunoglobulin domain-containing protein 10-like,Inverse variance weighted,6,0.77 [0.61-0.97],0.0280087817018082
Chapter XI Diseases of the digestive system,Alcoholic liver disease,PDGFRA,Platelet-derived growth factor receptor alpha,Inverse variance weighted,24,1.22 [1.05-1.42],0.0105207244837312
Chapter XI Diseases of the digestive system,Alcoholic liver disease,COL4A1,Collagen alpha-1(IV) chain,Inverse variance weighted,31,0.88 [0.78-0.98],0.0246380664551568
Chapter XI Diseases of the digestive system,Alcoholic liver disease,RECK,Reversion-inducing cysteine-rich protein with Kazal motifs,Inverse variance weighted,18,1.33 [1.11-1.60],0.0017407590568565
Chapter XI Diseases of the digestive system,Alcoholic liver disease,CD48,CD48 antigen,Inverse variance weighted,32,0.90 [0.82-1.00],0.040999549541947
Chapter XI Diseases of the digestive system,Alcoholic liver disease,IGFBP7,Insulin-like growth factor-binding protein 7,Inverse variance weighted,23,1.17 [1.02-1.33],0.0240758365755186
Chapter XI Diseases of the digestive system,Alcoholic liver disease,KRT18,"Keratin, type I cytoskeletal 18",Inverse variance weighted,8,1.51 [1.04-2.20],0.0292030617036416
Chapter XI Diseases of the digestive system,Alcoholic liver disease,CR1,Complement receptor type 1,Inverse variance weighted,39,1.12 [1.03-1.22],0.006190811633147
Chapter XI Diseases of the digestive system,Alcoholic liver disease,SGSH,N-sulphoglucosamine sulphohydrolase,Inverse variance weighted,49,1.08 [1.01-1.16],0.0346778272440183
Chapter XI Diseases of the digestive system,Alcoholic liver disease,CEACAM1,Carcinoembryonic antigen-related cell adhesion molecule 1,Inverse variance weighted,24,0.80 [0.71-0.90],0.0003184096360605
Chapter XI Diseases of the digestive system,Alcoholic liver disease,C1QTNF1,Complement C1q tumor necrosis factor-related protein 1,Inverse variance weighted,11,0.89 [0.81-0.99],0.0242693459301662
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ALDH1A1,Retinal dehydrogenase 1,Wald ratio,1,1.79 [1.01-3.18],0.0466820623106684
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ICAM5,Intercellular adhesion molecule 5,Inverse variance weighted,49,0.91 [0.85-0.98],0.0126281432620302
Chapter XI Diseases of the digestive system,Alcoholic liver disease,IGF2R,Cation-independent mannose-6-phosphate receptor,Inverse variance weighted,37,0.86 [0.76-0.97],0.0155513656527
Chapter XI Diseases of the digestive system,Alcoholic liver disease,GSTA1,Glutathione S-transferase A1,Inverse variance weighted,8,1.98 [1.05-3.72],0.0335967940872067
Chapter XI Diseases of the digestive system,Alcoholic liver disease,EGFL7,Epidermal growth factor-like protein 7,Inverse variance weighted,30,1.23 [1.07-1.43],0.0048322745598102
Chapter XI Diseases of the digestive system,Alcoholic liver disease,LRRN1,Leucine-rich repeat neuronal protein 1,Inverse variance weighted,41,1.13 [1.00-1.28],0.0429758352808708
Chapter XI Diseases of the digestive system,Alcoholic liver disease,CDHR2,Cadherin-related family member 2,Inverse variance weighted,16,1.42 [1.03-1.96],0.0329387516588835
Chapter XI Diseases of the digestive system,Alcoholic liver disease,CES2,Cocaine esterase,Inverse variance weighted,6,0.54 [0.32-0.90],0.0179423485929238
Chapter XI Diseases of the digestive system,Alcoholic liver disease,SHISA5,Protein shisa-5,Inverse variance weighted,16,0.63 [0.45-0.86],0.0044183332219757
Chapter XI Diseases of the digestive system,Alcoholic liver disease,CANT1,Soluble calcium-activated nucleotidase 1,Inverse variance weighted,8,1.38 [1.03-1.86],0.0292858424053452
Chapter XI Diseases of the digestive system,Alcoholic liver disease,CPQ,Carboxypeptidase Q,Inverse variance weighted,55,0.92 [0.86-0.99],0.0240221238002306
Chapter XI Diseases of the digestive system,Alcoholic liver disease,CD163,Scavenger receptor cysteine-rich type 1 protein M130,Inverse variance weighted,38,1.25 [1.04-1.52],0.0188636319822033
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ANPEP,Aminopeptidase N,Inverse variance weighted,25,1.13 [1.01-1.27],0.0277448154987615
