Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
"Chapter IV Endocrine, nutritional and metabolic diseases","Delirium, not induced by alcohol and other psychoactive substances",FAM3C,Protein FAM3C,Inverse variance weighted,5,0.49 [0.31-0.79],0.0029894911923127
"Chapter IV Endocrine, nutritional and metabolic diseases","Delirium, not induced by alcohol and other psychoactive substances",APOE,Apolipoprotein E,Inverse variance weighted,34,0.71 [0.65-0.78],3.53043142561234e-13
"Chapter IV Endocrine, nutritional and metabolic diseases","Delirium, not induced by alcohol and other psychoactive substances",PIK3IP1,Phosphoinositide-3-kinase-interacting protein 1,Inverse variance weighted,17,0.85 [0.73-0.98],0.0277444639941665
"Chapter IV Endocrine, nutritional and metabolic diseases","Delirium, not induced by alcohol and other psychoactive substances",IFI30,Gamma-interferon-inducible lysosomal thiol reductase,Inverse variance weighted,19,1.14 [1.01-1.27],0.0278978110949471
"Chapter IV Endocrine, nutritional and metabolic diseases","Delirium, not induced by alcohol and other psychoactive substances",RNASET2,Ribonuclease T2,Inverse variance weighted,25,0.90 [0.82-1.00],0.049516784128492
"Chapter IV Endocrine, nutritional and metabolic diseases","Delirium, not induced by alcohol and other psychoactive substances",SIGLEC8,Sialic acid-binding Ig-like lectin 8,Inverse variance weighted,44,1.08 [1.00-1.16],0.0454908821614487
"Chapter IV Endocrine, nutritional and metabolic diseases","Delirium, not induced by alcohol and other psychoactive substances",IL1RL1,Interleukin-1 receptor-like 1,Inverse variance weighted,66,1.08 [1.00-1.16],0.0381392057650602
"Chapter IV Endocrine, nutritional and metabolic diseases","Delirium, not induced by alcohol and other psychoactive substances",C1QA,Complement C1q subcomponent subunit A,Inverse variance weighted,36,0.90 [0.81-1.00],0.0434972823213048
"Chapter IV Endocrine, nutritional and metabolic diseases","Delirium, not induced by alcohol and other psychoactive substances",PILRA,Paired immunoglobulin-like type 2 receptor alpha,Inverse variance weighted,61,1.07 [1.01-1.13],0.0231533958783389
"Chapter IV Endocrine, nutritional and metabolic diseases","Delirium, not induced by alcohol and other psychoactive substances",RELT,Tumor necrosis factor receptor superfamily member 19L,Inverse variance weighted,19,1.17 [1.04-1.31],0.0079258026542232
"Chapter IV Endocrine, nutritional and metabolic diseases","Delirium, not induced by alcohol and other psychoactive substances",PLA2G15,Phospholipase A2 group XV,Inverse variance weighted,32,1.12 [1.00-1.25],0.0473736685626593
"Chapter IV Endocrine, nutritional and metabolic diseases","Delirium, not induced by alcohol and other psychoactive substances",CD28,T-cell-specific surface glycoprotein CD28,Inverse variance weighted,16,0.75 [0.57-0.98],0.0338664635858455
"Chapter IV Endocrine, nutritional and metabolic diseases","Delirium, not induced by alcohol and other psychoactive substances",PVR,Poliovirus receptor,Inverse variance weighted,32,1.14 [1.05-1.25],0.0031220575288133
"Chapter IV Endocrine, nutritional and metabolic diseases","Delirium, not induced by alcohol and other psychoactive substances",IL6,Interleukin-6,Inverse variance weighted,6,0.74 [0.60-0.93],0.0098876298921171
