Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Pain in joint,BST2,Bone marrow stromal antigen 2,Inverse variance weighted,27,1.08 [1.01-1.15],0.0153570939990709
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Pain in joint,GFRA1,GDNF family receptor alpha-1,Inverse variance weighted,10,1.11 [1.05-1.18],0.0004643101287759
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Pain in joint,MMP3,Stromelysin-1,Inverse variance weighted,35,1.05 [1.01-1.10],0.0152391600149416
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Pain in joint,EFNA4,Ephrin-A4,Inverse variance weighted,5,0.87 [0.76-1.00],0.0471049536466404
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Pain in joint,TGFA,Protransforming growth factor alpha,Inverse variance weighted,11,1.10 [1.00-1.21],0.0442351797470168
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Pain in joint,PIK3IP1,Phosphoinositide-3-kinase-interacting protein 1,Inverse variance weighted,17,1.08 [1.02-1.15],0.014627985627488
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Pain in joint,PLA2G2A,"Phospholipase A2, membrane associated",Inverse variance weighted,23,0.97 [0.94-1.00],0.0284742685551279
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Pain in joint,MERTK,Tyrosine-protein kinase Mer,Inverse variance weighted,31,0.93 [0.87-0.99],0.0228965730193817
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Pain in joint,CLMP,CXADR-like membrane protein,Inverse variance weighted,15,0.92 [0.87-0.98],0.0072669687786793
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Pain in joint,CD74,HLA class II histocompatibility antigen gamma chain,Inverse variance weighted,8,1.13 [1.02-1.25],0.0176029767592013
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Pain in joint,TNFRSF13B,Tumor necrosis factor receptor superfamily member 13B,Inverse variance weighted,15,1.13 [1.05-1.23],0.0013733297488944
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Pain in joint,DTNB,Dystrobrevin beta,Inverse variance weighted,4,0.73 [0.58-0.91],0.006010358545334
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Pain in joint,CD80,T-lymphocyte activation antigen CD80,Inverse variance weighted,26,0.96 [0.92-0.99],0.0135098796158082
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Pain in joint,B4GALT1,"Beta-1,4-galactosyltransferase 1",Inverse variance weighted,19,1.11 [1.05-1.17],0.0001545661848773
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Pain in joint,TIMP4,Metalloproteinase inhibitor 4,Inverse variance weighted,24,0.94 [0.90-0.99],0.0249814810237687
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Pain in joint,ANGPTL4,Angiopoietin-related protein 4,Inverse variance weighted,8,1.07 [1.01-1.13],0.0211365954303211
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Pain in joint,EFNA1,Ephrin-A1,Inverse variance weighted,15,0.93 [0.89-0.98],0.0043084367656368
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Pain in joint,RELT,Tumor necrosis factor receptor superfamily member 19L,Inverse variance weighted,19,1.07 [1.03-1.12],0.0005391151121361
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Pain in joint,CD302,CD302 antigen,Inverse variance weighted,17,0.90 [0.86-0.95],0.000120897305705
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Pain in joint,CD99,CD99 antigen,Inverse variance weighted,4,1.20 [1.03-1.39],0.0188813965788924
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Pain in joint,IL2RA,Interleukin-2 receptor subunit alpha,Inverse variance weighted,29,1.05 [1.01-1.08],0.0128937342666162
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Pain in joint,CSTB,Cystatin-B,Inverse variance weighted,25,1.04 [1.01-1.08],0.0239664110961285
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Pain in joint,CD55,Complement decay-accelerating factor,Inverse variance weighted,27,0.95 [0.92-0.99],0.0090416674291328
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Pain in joint,B2M,Beta-2-microglobulin,Inverse variance weighted,7,1.19 [1.03-1.38],0.018846028502404
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Pain in joint,LGALS4,Galectin-4,Inverse variance weighted,19,0.94 [0.90-0.98],0.0076390539387573
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Pain in joint,ASGR1,Asialoglycoprotein receptor 1,Inverse variance weighted,8,0.85 [0.76-0.95],0.0041137940868078
