Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter XI Diseases of the digestive system,"Cirrhosis of liver, NAS",HYAL1,Hyaluronidase-1,Inverse variance weighted,23,1.26 [1.01-1.56],0.0422436149219115
Chapter XI Diseases of the digestive system,"Cirrhosis of liver, NAS",TPP1,Tripeptidyl-peptidase 1,Inverse variance weighted,18,0.73 [0.54-0.99],0.0446727428143348
Chapter XI Diseases of the digestive system,"Cirrhosis of liver, NAS",SORT1,Sortilin,Inverse variance weighted,14,0.69 [0.49-0.97],0.0335487105099389
Chapter XI Diseases of the digestive system,"Cirrhosis of liver, NAS",GGT1,Glutathione hydrolase 1 proenzyme,Inverse variance weighted,16,1.38 [1.05-1.81],0.0203783717159983
Chapter XI Diseases of the digestive system,"Cirrhosis of liver, NAS",CD72,B-cell differentiation antigen CD72,Inverse variance weighted,13,0.51 [0.33-0.81],0.00384471644089
Chapter XI Diseases of the digestive system,"Cirrhosis of liver, NAS",PHYKPL,5-phosphohydroxy-L-lysine phospho-lyase,Inverse variance weighted,12,0.70 [0.53-0.92],0.0095444678299191
Chapter XI Diseases of the digestive system,"Cirrhosis of liver, NAS",AOC3,Membrane primary amine oxidase,Inverse variance weighted,35,0.84 [0.72-0.97],0.0152881136602958
Chapter XI Diseases of the digestive system,"Cirrhosis of liver, NAS",MEGF9,Multiple epidermal growth factor-like domains protein 9,Inverse variance weighted,22,1.34 [1.08-1.67],0.0084982456609689
Chapter XI Diseases of the digestive system,"Cirrhosis of liver, NAS",CEACAM5,Carcinoembryonic antigen-related cell adhesion molecule 5,Inverse variance weighted,31,0.79 [0.66-0.96],0.0156632165433982
Chapter XI Diseases of the digestive system,"Cirrhosis of liver, NAS",CXCL11,C-X-C motif chemokine 11,Inverse variance weighted,16,0.75 [0.57-0.99],0.0389606445245017
Chapter XI Diseases of the digestive system,"Cirrhosis of liver, NAS",LGALS4,Galectin-4,Inverse variance weighted,19,0.73 [0.59-0.92],0.0073177336013683
Chapter XI Diseases of the digestive system,"Cirrhosis of liver, NAS",MAN2B2,Epididymis-specific alpha-mannosidase,Inverse variance weighted,63,1.17 [1.01-1.37],0.0425764396607817
Chapter XI Diseases of the digestive system,"Cirrhosis of liver, NAS",CD300A,CMRF35-like molecule 8,Inverse variance weighted,35,1.21 [1.02-1.43],0.0266692906470454
Chapter XI Diseases of the digestive system,"Cirrhosis of liver, NAS",PTPRC,Receptor-type tyrosine-protein phosphatase C,Inverse variance weighted,15,1.74 [1.07-2.84],0.0262577904816041
Chapter XI Diseases of the digestive system,"Cirrhosis of liver, NAS",APOF,Apolipoprotein F,Inverse variance weighted,12,0.70 [0.54-0.92],0.0105285716449651
Chapter XI Diseases of the digestive system,"Cirrhosis of liver, NAS",MPO,Myeloperoxidase,Inverse variance weighted,26,1.26 [1.06-1.50],0.0094658097406688
Chapter XI Diseases of the digestive system,"Cirrhosis of liver, NAS",CHCHD6,MICOS complex subunit MIC25,Inverse variance weighted,4,0.69 [0.50-0.95],0.0246568896355626
Chapter XI Diseases of the digestive system,"Cirrhosis of liver, NAS",DSC2,Desmocollin-2,Inverse variance weighted,16,0.76 [0.59-0.97],0.0262534716290753
Chapter XI Diseases of the digestive system,"Cirrhosis of liver, NAS",IFNGR1,Interferon gamma receptor 1,Inverse variance weighted,11,0.66 [0.45-0.95],0.0268987834873142
Chapter XI Diseases of the digestive system,"Cirrhosis of liver, NAS",VWA1,von Willebrand factor A domain-containing protein 1,Inverse variance weighted,12,1.15 [1.01-1.31],0.0357130535440464
Chapter XI Diseases of the digestive system,"Cirrhosis of liver, NAS",FCRL5,Fc receptor-like protein 5,Inverse variance weighted,40,1.22 [1.04-1.44],0.0140983016828808
Chapter XI Diseases of the digestive system,"Cirrhosis of liver, NAS",ADH4,All-trans-retinol dehydrogenase [NAD(+)] ADH4,Wald ratio,1,8.48 [1.26-57.22],0.0282620204509776
Chapter XI Diseases of the digestive system,"Cirrhosis of liver, NAS",IGFBPL1,Insulin-like growth factor-binding protein-like 1,Inverse variance weighted,23,0.86 [0.74-0.99],0.030643375944831
Chapter XI Diseases of the digestive system,"Cirrhosis of liver, NAS",NRP1,Neuropilin-1,Inverse variance weighted,26,1.27 [1.00-1.62],0.0473083318046294
Chapter XI Diseases of the digestive system,"Cirrhosis of liver, NAS",TNFRSF14,Tumor necrosis factor receptor superfamily member 14,Inverse variance weighted,2,0.51 [0.26-1.00],0.0494038350640739
Chapter XI Diseases of the digestive system,"Cirrhosis of liver, NAS",NME3,Nucleoside diphosphate kinase 3,Inverse variance weighted,22,0.80 [0.65-1.00],0.04890163935708
Chapter XI Diseases of the digestive system,"Cirrhosis of liver, NAS",ANGPT2,Angiopoietin-2,Inverse variance weighted,11,0.68 [0.49-0.95],0.0248834566681436
Chapter XI Diseases of the digestive system,"Cirrhosis of liver, NAS",PLXNB2,Plexin-B2,Inverse variance weighted,37,0.88 [0.80-0.98],0.013831351758222
Chapter XI Diseases of the digestive system,"Cirrhosis of liver, NAS",CKAP4,Cytoskeleton-associated protein 4,Inverse variance weighted,15,1.45 [1.09-1.93],0.0112544310647098
Chapter XI Diseases of the digestive system,"Cirrhosis of liver, NAS",INHBB,Inhibin beta B chain,Inverse variance weighted,16,1.69 [1.14-2.51],0.0090921054133856
Chapter XI Diseases of the digestive system,"Cirrhosis of liver, NAS",CPXM2,Inactive carboxypeptidase-like protein X2,Inverse variance weighted,26,1.47 [1.23-1.76],1.96313768062772e-05
Chapter XI Diseases of the digestive system,"Cirrhosis of liver, NAS",MARCO,Macrophage receptor MARCO,Inverse variance weighted,38,0.82 [0.67-1.00],0.0464921321667784
Chapter XI Diseases of the digestive system,"Cirrhosis of liver, NAS",KRT18,"Keratin, type I cytoskeletal 18",Inverse variance weighted,8,2.03 [1.25-3.29],0.003971027849867
Chapter XI Diseases of the digestive system,"Cirrhosis of liver, NAS",C1QA,Complement C1q subcomponent subunit A,Inverse variance weighted,36,1.21 [1.02-1.42],0.0259563909207042
Chapter XI Diseases of the digestive system,"Cirrhosis of liver, NAS",SIGLEC1,Sialoadhesin,Inverse variance weighted,31,1.22 [1.00-1.49],0.0464922918608193
Chapter XI Diseases of the digestive system,"Cirrhosis of liver, NAS",MFAP4,Microfibril-associated glycoprotein 4,Inverse variance weighted,19,0.72 [0.55-0.94],0.0143825600875749
