Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter X Diseases of the respiratory system,Pulmonary oedema,REG3A,Regenerating islet-derived protein 3-alpha,Inverse variance weighted,30,0.72 [0.53-0.97],0.0291989003519431
Chapter X Diseases of the respiratory system,Pulmonary oedema,TNFRSF12A,Tumor necrosis factor receptor superfamily member 12A,Inverse variance weighted,4,0.29 [0.09-0.90],0.0327506642376452
Chapter X Diseases of the respiratory system,Pulmonary oedema,DSC2,Desmocollin-2,Inverse variance weighted,16,1.85 [1.24-2.78],0.0028687684869062
Chapter X Diseases of the respiratory system,Pulmonary oedema,TAFA5,Chemokine-like protein TAFA-5,Inverse variance weighted,15,0.60 [0.39-0.91],0.0157986999947026
Chapter X Diseases of the respiratory system,Pulmonary oedema,PON3,Serum paraoxonase/lactonase 3,Inverse variance weighted,30,1.29 [1.03-1.61],0.0277096800564761
Chapter X Diseases of the respiratory system,Pulmonary oedema,THBS2,Thrombospondin-2,Inverse variance weighted,33,0.71 [0.55-0.91],0.0063879992498958
Chapter X Diseases of the respiratory system,Pulmonary oedema,ADAMTSL2,ADAMTS-like protein 2,Inverse variance weighted,9,2.38 [1.20-4.70],0.0127758452474553
Chapter X Diseases of the respiratory system,Pulmonary oedema,PILRB,Paired immunoglobulin-like type 2 receptor beta,Inverse variance weighted,76,0.88 [0.78-0.99],0.027239537397702
Chapter X Diseases of the respiratory system,Pulmonary oedema,SLURP1,Secreted Ly-6/uPAR-related protein 1,Inverse variance weighted,24,1.40 [1.04-1.89],0.0254228639231441
Chapter X Diseases of the respiratory system,Pulmonary oedema,SEMA3F,Semaphorin-3F,Inverse variance weighted,46,1.57 [1.01-2.42],0.0439731052941016
Chapter X Diseases of the respiratory system,Pulmonary oedema,RSPO3,R-spondin-3,Inverse variance weighted,11,0.50 [0.28-0.90],0.0206212053001545
Chapter X Diseases of the respiratory system,Pulmonary oedema,ATRAID,All-trans retinoic acid-induced differentiation factor,Inverse variance weighted,17,1.51 [1.06-2.14],0.0231804955470763
Chapter X Diseases of the respiratory system,Pulmonary oedema,OGN,Mimecan,Inverse variance weighted,37,0.75 [0.58-0.98],0.0338767181446693
Chapter X Diseases of the respiratory system,Pulmonary oedema,FABP4,"Fatty acid-binding protein, adipocyte",Inverse variance weighted,2,6.99 [2.20-22.17],0.0009600255184758
Chapter X Diseases of the respiratory system,Pulmonary oedema,TFF3,Trefoil factor 3,Inverse variance weighted,10,0.53 [0.30-0.92],0.0244998014835314
Chapter X Diseases of the respiratory system,Pulmonary oedema,NECTIN2,Nectin-2,Inverse variance weighted,8,0.65 [0.43-0.99],0.0448839485249502
