Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter VI Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,AREG,Amphiregulin,Inverse variance weighted,7,1.40 [1.08-1.81],0.0099757027478919
Chapter VI Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,OGN,Mimecan,Inverse variance weighted,37,0.89 [0.80-0.98],0.0238315324508992
Chapter VI Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,NT5C1A,Cytosolic 5'-nucleotidase 1A,Inverse variance weighted,4,1.52 [1.02-2.26],0.0399176901694279
Chapter VI Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,HSPB6,Heat shock protein beta-6,Inverse variance weighted,5,0.64 [0.42-0.99],0.0470132897117076
Chapter VI Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,TNFRSF1B,Tumor necrosis factor receptor superfamily member 1B,Inverse variance weighted,9,0.69 [0.52-0.93],0.0150018442460054
Chapter VI Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,AMBP,Protein AMBP,Inverse variance weighted,5,1.35 [1.02-1.80],0.0375651106122297
Chapter VI Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,TNFRSF4,Tumor necrosis factor receptor superfamily member 4,Inverse variance weighted,15,1.27 [1.04-1.55],0.0204687933553212
Chapter VI Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,PIK3IP1,Phosphoinositide-3-kinase-interacting protein 1,Inverse variance weighted,17,1.23 [1.07-1.41],0.0036017830274586
Chapter VI Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,NPPB,Natriuretic peptides B,Inverse variance weighted,3,0.77 [0.59-1.00],0.0471377016427589
Chapter VI Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,CD74,HLA class II histocompatibility antigen gamma chain,Inverse variance weighted,8,1.34 [1.02-1.75],0.033279991010934
