Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of continuity of bone,A1BG,Alpha-1B-glycoprotein,21649,35,0.37 [0.06-2.10],0.2612716490712007
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of continuity of bone,AAMDC,Mth938 domain-containing protein,21046,34,0.82 [0.44-1.54],0.5385414091435615
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of continuity of bone,AARSD1,Alanyl-tRNA editing protein Aarsd1,24683,41,0.93 [0.57-1.53],0.7872757029207375
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of continuity of bone,ABCA2,ATP-binding cassette sub-family A member 2,20944,33,1.15 [0.48-2.76],0.7528447844456814
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of continuity of bone,ABHD14B,Protein ABHD14B,24539,40,0.66 [0.41-1.05],0.0816092583020462
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of continuity of bone,ABL1,Tyrosine-protein kinase ABL1,24683,41,0.87 [0.56-1.33],0.5178226424913486
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of continuity of bone,ABO,Histo-blood group ABO system transferase,21613,35,0.92 [0.74-1.15],0.4834705056652419
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of continuity of bone,ABRAXAS2,BRISC complex subunit Abraxas 2,20944,33,0.91 [0.54-1.52],0.722203280219771
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of continuity of bone,ACAA1,"3-ketoacyl-CoA thiolase, peroxisomal",24212,39,1.34 [0.99-1.82],0.0604664973181485
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of continuity of bone,ACADM,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",21192,33,1.06 [0.69-1.63],0.7980806551768835
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of continuity of bone,ACADSB,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",21614,34,1.13 [0.79-1.61],0.5034814028106198
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of continuity of bone,ACAN,Aggrecan core protein,24589,39,2.03 [0.75-5.53],0.1637719064453874
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of continuity of bone,ACE,Angiotensin-converting enzyme,21613,35,1.08 [0.31-3.79],0.9025554635347314
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of continuity of bone,ACE2,Angiotensin-converting enzyme 2,24332,40,1.86 [1.21-2.84],0.0042906100859753
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of continuity of bone,ACHE,Acetylcholinesterase,21145,34,0.66 [0.23-1.88],0.4344144133639017
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of continuity of bone,ACOT13,Acyl-coenzyme A thioesterase 13,21496,35,0.96 [0.72-1.28],0.7846011978337257
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of continuity of bone,ACOX1,Peroxisomal acyl-coenzyme A oxidase 1,24806,39,0.41 [0.22-0.78],0.0064169225558704
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of continuity of bone,ACP1,Low molecular weight phosphotyrosine protein phosphatase,20989,33,0.82 [0.38-1.80],0.6292328163509426
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of continuity of bone,ACP5,Tartrate-resistant acid phosphatase type 5,24905,37,0.51 [0.20-1.26],0.1443414451882182
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of continuity of bone,ACP6,Lysophosphatidic acid phosphatase type 6,24962,41,1.18 [0.76-1.85],0.4587631611457093
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of continuity of bone,ACRBP,Acrosin-binding protein,21492,34,0.97 [0.41-2.29],0.9372204595607908
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of continuity of bone,ACRV1,Acrosomal protein SP-10,20989,33,1.11 [0.44-2.78],0.8297708577994594
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of continuity of bone,ACSL1,Long-chain-fatty-acid--CoA ligase 1,20944,33,0.70 [0.24-2.01],0.5028898403260085
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of continuity of bone,ACTA2,"Actin, aortic smooth muscle",24332,40,1.61 [1.03-2.53],0.0359008050228248
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of continuity of bone,ACTN2,Alpha-actinin-2,20944,33,0.69 [0.34-1.40],0.3048125843083579
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of continuity of bone,ACTN4,Alpha-actinin-4,24308,40,1.60 [0.91-2.83],0.1045992555244115
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of continuity of bone,ACVRL1,Serine/threonine-protein kinase receptor R3,24584,40,1.54 [0.52-4.57],0.4343973869392631
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of continuity of bone,ACY1,Aminoacylase-1,24806,39,1.52 [1.00-2.32],0.0491950942010622
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of continuity of bone,ACY3,N-acyl-aromatic-L-amino acid amidohydrolase,20944,33,1.58 [0.93-2.70],0.0907592163866662
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of continuity of bone,ACYP1,Acylphosphatase-1,21060,34,0.68 [0.41-1.13],0.1350725855362618
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of continuity of bone,ADA,Adenosine deaminase,25056,41,1.05 [0.48-2.32],0.8949264094114955
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of continuity of bone,ADA2,Adenosine deaminase 2,24624,39,1.18 [0.60-2.32],0.632422042179384
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of continuity of bone,ADAM12,Disintegrin and metalloproteinase domain-containing protein 12,20989,33,1.78 [1.16-2.73],0.0083868302430832
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of continuity of bone,ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,24332,40,3.14 [1.32-7.51],0.0099830825933837
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of continuity of bone,ADAM22,Disintegrin and metalloproteinase domain-containing protein 22,24621,40,0.81 [0.36-1.81],0.6042652334624515
