Protein,Protein_definition,Trait_category,Trait,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
ITGA5,Integrin alpha-5,Lifestyle factors,X1050.Time spend outdoors in summer,50285,0.187954911612785,0.0486970112518605,0.0925087695591381,0.283401053666431,0.000113864287600168
ITGA5,Integrin alpha-5,Lifestyle factors,X1060.Time spent outdoors in winter,48085,0.0761023551636046,0.0540810694467131,-0.0298965409519531,0.182101251279162,0.159386925100758
ITGA5,Integrin alpha-5,Physical activities,X1070.Time spent watching television (TV),51090,0.306706197997744,0.0480460318937757,0.212535975485943,0.400876420509544,1.76360082336537e-10
ITGA5,Integrin alpha-5,Physical activities,X1080.Time spent using computer,48123,-0.22433438775156,0.0479492508762933,-0.318314919469095,-0.130353856034025,2.90805752285104e-06
ITGA5,Integrin alpha-5,Physical activities,X1090.Time spent driving,45383,-0.00216878745357453,0.0523051452043119,-0.104686872054026,0.100349297146877,0.966926379899325
ITGA5,Integrin alpha-5,Lifestyle factors,X1160.Sleep duration,52169,0.0187467769529411,0.0438156651968741,-0.0671319268329322,0.104625480738814,0.668760176449853
ITGA5,Integrin alpha-5,Health and medical history,X120039#0.Location of pain during the past week_None of the given areas,36032,0.00501274379060075,0.0100373043876486,-0.0146603728091906,0.0246858603903921,0.617504404271449
ITGA5,Integrin alpha-5,Health and medical history,X120039#1.Location of pain during the past week_Left shoulder,36032,0.0018369720428252,0.0110546869350764,-0.0198302143499245,0.0235041584355749,0.868026640414087
ITGA5,Integrin alpha-5,Health and medical history,X120039#10.Location of pain during the past week_Upper right leg,36032,-0.00359415678938782,0.0116903602464868,-0.026507262872502,0.0193189492937263,0.758512384844776
ITGA5,Integrin alpha-5,Health and medical history,X120039#11.Location of pain during the past week_Lower left leg,36032,0.0118784550471191,0.0119777287499666,-0.0115978933028155,0.0353548033970538,0.321370414689526
ITGA5,Integrin alpha-5,Health and medical history,X120039#12.Location of pain during the past week_Lower right leg,36032,0.0237653682359679,0.0122705772312574,-0.000284963137296552,0.0478156996092324,0.0528104989369536
ITGA5,Integrin alpha-5,Health and medical history,X120039#13.Location of pain during the past week_Left jaw pain,36032,-0.0087812501483555,0.0326175841399329,-0.0727117150626241,0.0551492147659131,0.787769181596698
ITGA5,Integrin alpha-5,Health and medical history,X120039#14.Location of pain during the past week_Right jaw pain,36032,0.0199413509682881,0.0390406177501999,-0.0565782598221037,0.09646096175868,0.609516981998082
ITGA5,Integrin alpha-5,Health and medical history,X120039#15.Location of pain during the past week_Chest pain,36032,0.0356713193535761,0.0195104936331936,-0.00256924816748341,0.0739118868746355,0.0675424194942648
