Protein,Protein_definition,Trait_category,Trait,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
EVI5,Ecotropic viral integration site 5 protein homolog,Lifestyle factors,X1050.Time spend outdoors in summer,46795,0.0220754783554242,0.0158403678766206,-0.00897164268275218,0.0531225993936006,0.163448933682749
EVI5,Ecotropic viral integration site 5 protein homolog,Lifestyle factors,X1060.Time spent outdoors in winter,44990,-0.0037583917263883,0.0176040569954669,-0.0382623434375034,0.0307455599847268,0.830942942764513
EVI5,Ecotropic viral integration site 5 protein homolog,Physical activities,X1070.Time spent watching television (TV),47519,0.0441903830012019,0.0156192217548669,0.0135767083616628,0.074804057640741,0.00467091383644871
EVI5,Ecotropic viral integration site 5 protein homolog,Physical activities,X1080.Time spent using computer,44962,-0.0187844094033797,0.0158020316337681,-0.0497563914055652,0.0121875725988058,0.234561681606562
EVI5,Ecotropic viral integration site 5 protein homolog,Physical activities,X1090.Time spent driving,42743,-0.00232491002836361,0.017303238580096,-0.0362392576453518,0.0315894375886246,0.893117679297723
EVI5,Ecotropic viral integration site 5 protein homolog,Lifestyle factors,X1160.Sleep duration,48410,0.00329454208645319,0.0144102844255587,-0.0249496153876419,0.0315386995605483,0.819163247700526
EVI5,Ecotropic viral integration site 5 protein homolog,Health and medical history,X120039#0.Location of pain during the past week_None of the given areas,34667,0.0214796476296663,0.0387062788074327,-0.0543846588329018,0.0973439540922344,0.578956419132031
EVI5,Ecotropic viral integration site 5 protein homolog,Health and medical history,X120039#1.Location of pain during the past week_Left shoulder,34667,-0.0215020530744095,0.0434210570621429,-0.10660732491621,0.0636032187673907,0.620477768414119
EVI5,Ecotropic viral integration site 5 protein homolog,Health and medical history,X120039#10.Location of pain during the past week_Upper right leg,34667,-0.0160493580163345,0.0456083641067156,-0.105441751665497,0.0733430356328281,0.72492918562084
EVI5,Ecotropic viral integration site 5 protein homolog,Health and medical history,X120039#11.Location of pain during the past week_Lower left leg,34667,-0.0280405343944798,0.0473728896227305,-0.120891398055032,0.0648103292660721,0.553932244149604
EVI5,Ecotropic viral integration site 5 protein homolog,Health and medical history,X120039#12.Location of pain during the past week_Lower right leg,34667,-0.0313410751519345,0.0478746085854967,-0.125175307979508,0.062493157675639,0.512718443161644
EVI5,Ecotropic viral integration site 5 protein homolog,Health and medical history,X120039#13.Location of pain during the past week_Left jaw pain,34667,-0.280338867639405,0.127864400097136,-0.530953091829791,-0.0297246434490185,0.0283834319870278
EVI5,Ecotropic viral integration site 5 protein homolog,Health and medical history,X120039#14.Location of pain during the past week_Right jaw pain,34667,-0.18878217638601,0.149053185443613,-0.480926419855491,0.103362067083472,0.205367588711305
EVI5,Ecotropic viral integration site 5 protein homolog,Health and medical history,X120039#15.Location of pain during the past week_Chest pain,34667,-0.0882006919571602,0.0788505730615408,-0.24274781515778,0.0663464312434597,0.263363549264753
EVI5,Ecotropic viral integration site 5 protein homolog,Health and medical history,X120039#16.Location of pain during the past week_Abdomen,34667,0.00967537590639721,0.0603393815459778,-0.108589811923719,0.127940563736514,0.872611285834153
EVI5,Ecotropic viral integration site 5 protein homolog,Health and medical history,X120039#17.Location of pain during the past week_Neck pain,34667,-0.0111183651955869,0.0393939489249087,-0.088330505088408,0.0660937746972341,0.777772676846542
EVI5,Ecotropic viral integration site 5 protein homolog,Health and medical history,X120039#18.Location of pain during the past week_Upper back,34667,0.0526483536328604,0.0626813467716456,-0.0702070860395649,0.175503793305286,0.40097706496401
EVI5,Ecotropic viral integration site 5 protein homolog,Health and medical history,X120039#19.Location of pain during the past week_Lower back,34667,-0.0228705201111442,0.0293691299879158,-0.0804340148874591,0.0346929746651707,0.436171206682425
EVI5,Ecotropic viral integration site 5 protein homolog,Health and medical history,X120039#2.Location of pain during the past week_Right shoulder,34667,-0.0804476725230573,0.0400218710817343,-0.158890539843257,-0.00200480520285805,0.0444655568994124
