Trait_category,Trait,Protein,Protein_definition,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,CAT,Catalase,40430,0.0265737762266672,0.00307984429869357,0.0205372814012278,0.0326102710521066,6.45068083367802e-18
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,PRDX2,Peroxiredoxin-2,40323,0.0288049618440616,0.00355471339122198,0.0218377235972665,0.0357722000908567,5.49738966683159e-16
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,TGM2,Protein-glutamine gamma-glutamyltransferase 2,47272,0.0332054790881141,0.00427754115802744,0.0248214984183803,0.0415894597578479,8.47720273048628e-15
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,PSME2,Proteasome activator complex subunit 2,46752,0.0160415088275054,0.00208196331648304,0.0119608607271986,0.0201221569278122,1.33424546104616e-14
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,HAGH,"Hydroxyacylglutathione hydrolase, mitochondrial",47595,0.031666701977314,0.00412618065092793,0.0235793879014953,0.0397540160531328,1.69116046301604e-14
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,DDI2,Protein DDI1 homolog 2,40097,0.0335587885980749,0.00440583387957925,0.0249233541940996,0.0421942230020502,2.65541832203662e-14
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,UBAC1,Ubiquitin-associated domain-containing protein 1,47118,0.0148570254753285,0.00197484023755237,0.0109863386097258,0.0187277123409311,5.44192581025928e-14
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,PSMG4,Proteasome assembly chaperone 4,39810,0.0234423962431326,0.00326078746531588,0.0170512528111135,0.0298335396751518,6.63251217051938e-13
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,SLC4A1,Band 3 anion transport protein,41017,0.0190862494513367,0.00270277992613908,0.0137888007961041,0.0243836981065693,1.67076576753602e-12
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,CA2,Carbonic anhydrase 2,47185,0.0275701043148925,0.00398803242276168,0.0197535607662796,0.0353866478635054,4.79816184528696e-12
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,AMPD3,AMP deaminase 3,40903,0.0281186701828555,0.00407037661014116,0.0201407320269788,0.0360966083387322,4.98269982711382e-12
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,CENPF,Centromere protein F,40248,0.0214369395482501,0.00311741460175314,0.0153268069288139,0.0275470721676862,6.2229344029947e-12
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,PSME1,Proteasome activator complex subunit 1,46896,0.0144851986756747,0.00213264371403366,0.0103052169961687,0.0186651803551807,1.11802702271202e-11
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,BOLA2_BOLA2B,BolA-like protein 2,39907,0.0210667236775796,0.00310685931294159,0.0149772794242141,0.0271561679309451,1.21246297679538e-11
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,PSMG3,Proteasome assembly chaperone 3,47292,0.0198403678151171,0.00292687390209925,0.0141036949670025,0.0255770406632316,1.22691027401284e-11
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,PKLR,Pyruvate kinase PKLR,47396,0.0252530193536945,0.00376563959264079,0.0178723657521185,0.0326336729552704,2.02036030696887e-11
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,CXCL17,C-X-C motif chemokine 17,47858,-0.0159504325349329,0.0024110261820195,-0.0206760438516912,-0.0112248212181747,3.73887120575771e-11
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,YOD1,Ubiquitin thioesterase OTU1,39635,0.0235045062864419,0.00357700935326514,0.0164935679540422,0.0305154446188416,5.05988088647745e-11
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,HMBS,Porphobilinogen deaminase,47737,0.0159676332622041,0.00247897977651783,0.0111088329002291,0.020826433624179,1.19647938087492e-10
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,C9orf40,Uncharacterized protein C9orf40,40821,0.0296196894034218,0.00460888035341947,0.0205862839107196,0.0386530948961239,1.31876832564804e-10
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,PTGR1,Prostaglandin reductase 1,40994,0.0295106413972747,0.00459276874101986,0.0205088146648758,0.0385124681296736,1.32912897658066e-10
