Trait_category,Trait,Protein,Protein_definition,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
Working and living environment,X24008.Particulate matter air pollution 2.5-10um; 2010,NPY,Pro-neuropeptide Y,47737,-0.0130285239746185,0.00343498297277309,-0.0197610906012538,-0.00629595734798325,0.000149085597213391
Working and living environment,X24008.Particulate matter air pollution 2.5-10um; 2010,TGM2,Protein-glutamine gamma-glutamyltransferase 2,47272,0.0147288680547552,0.00392532999214469,0.00703522127015157,0.0224225148393588,0.000175455292919792
Working and living environment,X24008.Particulate matter air pollution 2.5-10um; 2010,CAT,Catalase,40430,0.0105660788313663,0.00283926644167752,0.0050011166056784,0.0161310410570543,0.000198380619583427
Working and living environment,X24008.Particulate matter air pollution 2.5-10um; 2010,PSME2,Proteasome activator complex subunit 2,46752,0.00711566446168675,0.00191263913704636,0.00336689175307589,0.0108644371702976,0.000199188923933465
Working and living environment,X24008.Particulate matter air pollution 2.5-10um; 2010,AGRP,Agouti-related protein,47858,-0.010097128609451,0.00275515392136982,-0.0154972302953359,-0.00469702692356617,0.000247785064677338
Working and living environment,X24008.Particulate matter air pollution 2.5-10um; 2010,LXN,Latexin,46747,0.0123376548177779,0.00355945477990442,0.00536112344916526,0.0193141861863906,0.000528414703884441
Working and living environment,X24008.Particulate matter air pollution 2.5-10um; 2010,CA2,Carbonic anhydrase 2,47185,0.0126061278719724,0.003661974009729,0.00542865881290357,0.0197835969310412,0.000576990366871347
Working and living environment,X24008.Particulate matter air pollution 2.5-10um; 2010,MFAP4,Microfibril-associated glycoprotein 4,40097,0.00562797035689352,0.00167239552578461,0.00235007512635567,0.00890586558743136,0.000765557929776477
Working and living environment,X24008.Particulate matter air pollution 2.5-10um; 2010,S100A16,Protein S100-A16,46134,0.0108259312628617,0.0032496878171736,0.00445654314120144,0.0171953193845219,0.000864857067414469
Working and living environment,X24008.Particulate matter air pollution 2.5-10um; 2010,CCN1,CCN family member 1,47043,-0.0131658009552942,0.00396951494329562,-0.0209460502441536,-0.00538555166643473,0.000911472583124329
Working and living environment,X24008.Particulate matter air pollution 2.5-10um; 2010,AK1,Adenylate kinase isoenzyme 1,47345,0.0109625766183062,0.00334459812870782,0.00440716428603889,0.0175179889505735,0.00104733353608321
Working and living environment,X24008.Particulate matter air pollution 2.5-10um; 2010,HMBS,Porphobilinogen deaminase,47737,0.00744355997686639,0.00227662515500181,0.00298137467306284,0.0119057452806699,0.00107791569581384
Working and living environment,X24008.Particulate matter air pollution 2.5-10um; 2010,EIF4EBP1,Eukaryotic translation initiation factor 4E-binding protein 1,47345,0.0110718093093985,0.00339443342262592,0.00441871980105167,0.0177248988177453,0.00110803231320901
Working and living environment,X24008.Particulate matter air pollution 2.5-10um; 2010,BLVRB,Flavin reductase,47336,0.0112095553755472,0.0034875499936657,0.00437395738796242,0.018045153363132,0.0013091290710374
Working and living environment,X24008.Particulate matter air pollution 2.5-10um; 2010,ACHE,Acetylcholinesterase,40097,0.00552828510418363,0.00173037396057671,0.00213675214145328,0.00891981806691397,0.00140011847258911
Working and living environment,X24008.Particulate matter air pollution 2.5-10um; 2010,AHSP,Alpha-hemoglobin-stabilizing protein,47266,0.0138781272061355,0.00448612302737309,0.00508532607248421,0.0226709283397867,0.00197880470389636
Working and living environment,X24008.Particulate matter air pollution 2.5-10um; 2010,SIT1,Signaling threshold-regulating transmembrane adapter 1,46443,-0.00896604879993055,0.00290382102608451,-0.0146575380110562,-0.00327455958880492,0.00201849435375316
Working and living environment,X24008.Particulate matter air pollution 2.5-10um; 2010,EPCAM,Epithelial cell adhesion molecule,47326,0.0155855532773586,0.00507106374779377,0.0056462683316828,0.0255248382230344,0.00211734523372302
Working and living environment,X24008.Particulate matter air pollution 2.5-10um; 2010,SKAP1,Src kinase-associated phosphoprotein 1,46889,-0.0118149267886788,0.00384429003357387,-0.0193497352544836,-0.00428011832287403,0.00211777145029665
Working and living environment,X24008.Particulate matter air pollution 2.5-10um; 2010,PTGR1,Prostaglandin reductase 1,40994,0.0129355537350692,0.00422914836019067,0.00464642294909544,0.0212246845210429,0.00222468024973355
Working and living environment,X24008.Particulate matter air pollution 2.5-10um; 2010,CXCL8,Interleukin-8,46993,0.0109773136863681,0.00358976256985594,0.00394137904945047,0.0180132483232858,0.00222982201091863
Working and living environment,X24008.Particulate matter air pollution 2.5-10um; 2010,DDI2,Protein DDI1 homolog 2,40097,0.012362433607457,0.00405982916943981,0.00440516843535497,0.020319698779559,0.00232782886410179
Working and living environment,X24008.Particulate matter air pollution 2.5-10um; 2010,GPNMB,Transmembrane glycoprotein NMB,46113,0.00455391549491808,0.00149593607413905,0.00162188078960556,0.00748595020023061,0.00233438255013892
Working and living environment,X24008.Particulate matter air pollution 2.5-10um; 2010,BOLA2_BOLA2B,BolA-like protein 2,39907,0.00860074466982158,0.00285644067916376,0.00300212093866062,0.0141993684009825,0.00260551225800772
Working and living environment,X24008.Particulate matter air pollution 2.5-10um; 2010,CA3,Carbonic anhydrase 3,47839,0.00957185417908633,0.00319341956220952,0.00331275183715566,0.015830956521017,0.00272461381653997
Working and living environment,X24008.Particulate matter air pollution 2.5-10um; 2010,SUMF1,Formylglycine-generating enzyme,39810,0.0103603730081321,0.00349946083770208,0.00350142976623606,0.0172193162500282,0.00307258751242313
Working and living environment,X24008.Particulate matter air pollution 2.5-10um; 2010,SLC34A3,Sodium-dependent phosphate transport protein 2C,39519,0.00751065976931169,0.00254361133679723,0.00252518154918913,0.0124961379894343,0.0031513765339944
Working and living environment,X24008.Particulate matter air pollution 2.5-10um; 2010,CLC,Galectin-10,47275,0.010498865311291,0.00356765535255087,0.00350626082029129,0.0174914698022907,0.00325425564743674
Working and living environment,X24008.Particulate matter air pollution 2.5-10um; 2010,PTH,Parathyroid hormone,39877,-0.0123518344546209,0.00420193495018475,-0.0205876269569831,-0.00411604195225882,0.00328868543857489
Working and living environment,X24008.Particulate matter air pollution 2.5-10um; 2010,PRDX2,Peroxiredoxin-2,40323,0.0096139702084498,0.00327765158298755,0.00318977310579419,0.0160381673111054,0.00335688866221314
Working and living environment,X24008.Particulate matter air pollution 2.5-10um; 2010,ALDH1A1,Retinal dehydrogenase 1,47336,0.00826220487334249,0.00282154198290079,0.00273198258685694,0.013792427159828,0.00341028711569176
Working and living environment,X24008.Particulate matter air pollution 2.5-10um; 2010,FZD8,Frizzled-8,39672,0.00658484902145408,0.00225288739358852,0.00216918973002058,0.0110005083128876,0.00347040882177887
Working and living environment,X24008.Particulate matter air pollution 2.5-10um; 2010,BGLAP,Osteocalcin,41017,-0.0135181888738376,0.00463689944715851,-0.0226065117902683,-0.00442986595740696,0.00355481121386715
Working and living environment,X24008.Particulate matter air pollution 2.5-10um; 2010,DDC,Aromatic-L-amino-acid decarboxylase,47270,0.00734837691094727,0.00253429296281837,0.00238116270382328,0.0123155911180713,0.00373838902978093
