Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other disorders of white blood cells,ACP5,Tartrate-resistant acid phosphatase type 5,27284,58,2.17 [1.42-3.32],0.0003647598619543
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other disorders of white blood cells,ACTN2,Alpha-actinin-2,22906,52,1.66 [1.16-2.38],0.0054242042023935
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other disorders of white blood cells,ACTN4,Alpha-actinin-4,26608,56,2.06 [1.43-2.97],9.802204247028145e-05
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other disorders of white blood cells,AGRN,Agrin,27288,58,2.35 [1.37-4.01],0.0017743763009437
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other disorders of white blood cells,AMN,Protein amnionless,26608,56,1.80 [1.23-2.63],0.0027013618463826
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other disorders of white blood cells,BLMH,Bleomycin hydrolase,27488,59,2.33 [1.48-3.68],0.0002638892715133
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other disorders of white blood cells,BTN1A1,Butyrophilin subfamily 1 member A1,23478,54,1.54 [1.12-2.14],0.0088257691831196
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other disorders of white blood cells,CANT1,Soluble calcium-activated nucleotidase 1,27084,57,4.83 [1.61-14.54],0.0050243860167888
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other disorders of white blood cells,CCL20,C-C motif chemokine 20,27444,58,1.30 [1.06-1.58],0.0098341974904397
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other disorders of white blood cells,CCN1,CCN family member 1,26988,56,1.59 [1.16-2.20],0.0043317571058677
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other disorders of white blood cells,CD14,Monocyte differentiation antigen CD14,26569,57,2.14 [1.36-3.37],0.0010110587828594
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other disorders of white blood cells,CD274,Programmed cell death 1 ligand 1,26974,58,2.07 [1.22-3.51],0.0069976197531008
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other disorders of white blood cells,CD302,CD302 antigen,27035,56,2.55 [1.34-4.87],0.004536297263347
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other disorders of white blood cells,CD59,CD59 glycoprotein,26160,55,3.09 [1.52-6.30],0.0018847406385156
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other disorders of white blood cells,CEACAM5,Carcinoembryonic antigen-related cell adhesion molecule 5,26182,53,1.63 [1.20-2.21],0.0016406384344326
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other disorders of white blood cells,CEACAM6,Carcinoembryonic antigen-related cell adhesion molecule 6,23653,54,2.45 [1.43-4.21],0.0011286751880762
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other disorders of white blood cells,CELA2A,Chymotrypsin-like elastase family member 2A,23653,54,0.51 [0.36-0.73],0.0002266506642733
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other disorders of white blood cells,CORO6,Coronin-6,22884,54,1.90 [1.19-3.03],0.0074526827109943
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other disorders of white blood cells,CSF2,Granulocyte-macrophage colony-stimulating factor,22906,52,2.26 [1.42-3.61],0.0006345491396493
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other disorders of white blood cells,CST1,Cystatin-SN,20522,45,1.43 [1.10-1.85],0.0068332321843317
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other disorders of white blood cells,CSTB,Cystatin-B,26779,57,1.99 [1.23-3.22],0.0051603807032543
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other disorders of white blood cells,CTRB1,Chymotrypsinogen B,27164,59,0.54 [0.36-0.81],0.0028353468954455
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other disorders of white blood cells,CTSB,Cathepsin B,27187,58,2.18 [1.53-3.12],1.92425496837126e-05
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other disorders of white blood cells,CXCL13,C-X-C motif chemokine 13,27393,59,1.38 [1.09-1.76],0.0083529833334568
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other disorders of white blood cells,CXCL17,C-X-C motif chemokine 17,27444,58,1.96 [1.26-3.04],0.0027278242023491
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other disorders of white blood cells,CXCL9,C-X-C motif chemokine 9,27288,58,1.64 [1.27-2.12],0.0001506825362923
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other disorders of white blood cells,DCBLD2,"Discoidin, CUB and LCCL domain-containing protein 2",27250,59,3.02 [1.61-5.68],0.0005741146493035
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other disorders of white blood cells,DCC,Netrin receptor DCC,22988,51,2.33 [1.40-3.87],0.0011091060541829
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other disorders of white blood cells,DSC2,Desmocollin-2,26881,58,2.09 [1.26-3.46],0.0042859582400567
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other disorders of white blood cells,ECE1,Endothelin-converting enzyme 1,26506,57,2.06 [1.23-3.43],0.005607986106514
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other disorders of white blood cells,EDA2R,Tumor necrosis factor receptor superfamily member 27,27386,58,2.47 [1.48-4.11],0.000544502639413
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other disorders of white blood cells,FCRLB,Fc receptor-like B,26529,57,1.58 [1.25-1.99],0.000104516946509
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other disorders of white blood cells,FEN1,Flap endonuclease 1,26529,57,0.42 [0.25-0.74],0.0022405563354614
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other disorders of white blood cells,FSTL1,Follistatin-related protein 1,23050,52,3.56 [1.51-8.38],0.0036707133217207
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other disorders of white blood cells,GALNT10,Polypeptide N-acetylgalactosaminyltransferase 10,27035,56,3.14 [1.52-6.50],0.0020305495174538
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other disorders of white blood cells,GDF15,Growth/differentiation factor 15,27488,59,1.68 [1.21-2.34],0.0019505197521767
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other disorders of white blood cells,GJA8,Gap junction alpha-8 protein,22795,52,1.43 [1.11-1.83],0.0050726674512723
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other disorders of white blood cells,GPNMB,Transmembrane glycoprotein NMB,26413,56,3.18 [1.43-7.06],0.0044998208368144
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other disorders of white blood cells,GPR158,Probable G-protein coupled receptor 158,23617,53,1.93 [1.26-2.96],0.0024024758909871
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other disorders of white blood cells,HLA-A,"HLA class I histocompatibility antigen, A alpha chain",23617,53,3.12 [1.36-7.19],0.0074497108654052
