Protein,Protein_definition,Disease_category,Disease,method,nsnp,OR [95% CI],Pvalue,QTL_type
RBP5,Retinol-binding protein 5,Chapter XI Diseases of the digestive system,K11_FIBROCHIRLIV,Inverse variance weighted,2,1.1 [1.06-1.14],5.29215713633751e-08,trans
RBP5,Retinol-binding protein 5,Chapter XI Diseases of the digestive system,NAFLD,Inverse variance weighted,6,1.08 [1.05-1.1],7.48214093933437e-08,trans
RBP5,Retinol-binding protein 5,Chapter XI Diseases of the digestive system,K11_DISLIVOTH,Inverse variance weighted,3,1.19 [1.11-1.28],7.62154627579179e-07,trans
RBP5,Retinol-binding protein 5,Chapter IX Diseases of the circulatory system,I9_VARICVEOES,Inverse variance weighted,2,1.07 [1.04-1.1],1.90519718033118e-06,trans
RBP5,Retinol-binding protein 5,Chapter IX Diseases of the circulatory system,I9_HYPTENSPOR,Wald ratio,1,1.08 [1.04-1.12],5.09903081730555e-06,trans
RBP5,Retinol-binding protein 5,Chapter V Mental and behavioural disorders,F5_ALCOHOL_DEPENDENCE,Inverse variance weighted,3,1.1 [1.05-1.15],7.19487002138072e-05,trans
RBP5,Retinol-binding protein 5,Chapter V Mental and behavioural disorders,AUD,Inverse variance weighted,6,1.1 [1.04-1.15],0.000229511758255837,trans
RBP5,Retinol-binding protein 5,Chapter XIV Diseases of the genitourinary system,N14_CHRONKIDNEYDIS,Wald ratio,1,1.14 [1.06-1.22],0.000526908023189426,trans
RBP5,Retinol-binding protein 5,Chapter XI Diseases of the digestive system,K11_LIVER,Inverse variance weighted,8,1.17 [1.07-1.28],0.000727237255446474,trans
RBP5,Retinol-binding protein 5,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_DM2NOCOMP,Inverse variance weighted,69,1.06 [1.02-1.1],0.000744954300998059,trans
RBP5,Retinol-binding protein 5,Chapter V Mental and behavioural disorders,KRA_PSY_SUBSTANCE_EXMORE,Inverse variance weighted,11,1.09 [1.03-1.16],0.00429233759496291,trans
RBP5,Retinol-binding protein 5,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_DM2REN,Inverse variance weighted,5,1.05 [1.01-1.09],0.0128008693077551,trans
RBP5,Retinol-binding protein 5,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_FLUIDELECTRO,Wald ratio,1,1.16 [1-1.35],0.0501168998868802,trans
RBP5,Retinol-binding protein 5,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_HYPOOSMNAT,Wald ratio,1,1.11 [1-1.23],0.0501168998868802,trans
RBP5,Retinol-binding protein 5,Chapter XI Diseases of the digestive system,K11_ALCOLIV,Inverse variance weighted,4,1.08 [1-1.16],0.0506667313677274,trans
RBP5,Retinol-binding protein 5,Chapter I Certain infectious and parasitic diseases,AB1_SEPSIS_IMPLICIT,Wald ratio,1,1.27 [0.99-1.62],0.0593119587335766,trans
