Protein,Protein_definition,Disease_category,Disease,method,nsnp,OR [95% CI],Pvalue,QTL_type
CD80,T-lymphocyte activation antigen CD80,Chapter IX Diseases of the circulatory system,I9_VARICVEOES,Inverse variance weighted,2,1.13 [1.1-1.16],3.31249122479209e-19,trans
CD80,T-lymphocyte activation antigen CD80,Chapter IX Diseases of the circulatory system,I9_HYPTENSPOR,Wald ratio,1,1.15 [1.12-1.19],1.18250215687954e-18,trans
CD80,T-lymphocyte activation antigen CD80,Chapter XI Diseases of the digestive system,K11_DISLIVOTH,Inverse variance weighted,3,1.26 [1.18-1.35],1.58324456551706e-11,trans
CD80,T-lymphocyte activation antigen CD80,Chapter XI Diseases of the digestive system,K11_LIVER,Inverse variance weighted,8,1.24 [1.16-1.33],1.61323200038325e-10,trans
CD80,T-lymphocyte activation antigen CD80,Chapter X Diseases of the respiratory system,IPF,Inverse variance weighted,20,1.03 [1.02-1.04],2.79361191466186e-06,trans
CD80,T-lymphocyte activation antigen CD80,Chapter X Diseases of the respiratory system,ILD,Inverse variance weighted,21,1.04 [1.02-1.06],9.64490782072637e-06,trans
CD80,T-lymphocyte activation antigen CD80,Chapter XI Diseases of the digestive system,CHIRHEP_NAS,Inverse variance weighted,2,1.11 [1.06-1.16],1.68161229761977e-05,trans
CD80,T-lymphocyte activation antigen CD80,Chapter XI Diseases of the digestive system,K11_FIBROCHIRLIV,Inverse variance weighted,2,1.16 [1.07-1.26],0.000265187268524497,trans
CD80,T-lymphocyte activation antigen CD80,Chapter XI Diseases of the digestive system,NAFLD,Inverse variance weighted,6,1.1 [1.04-1.17],0.00165938019022428,trans
CD80,T-lymphocyte activation antigen CD80,Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_RHEUMA,Inverse variance weighted,22,1.18 [1.06-1.31],0.0022396922539866,trans
CD80,T-lymphocyte activation antigen CD80,Chapter IX Diseases of the circulatory system,I9_PULMEMB,Inverse variance weighted,23,1.05 [1.02-1.09],0.00274395302110846,trans
