Protein,Protein_definition,Disease_category,Disease,method,nsnp,OR [95% CI],Pvalue,QTL_type
EPHB4,Ephrin type-B receptor 4,Chapter XIV Diseases of the genitourinary system,N14_CHRONKIDNEYDIS,Wald ratio,1,1.32 [1.23-1.42],2.64151257638567e-13,trans
EPHB4,Ephrin type-B receptor 4,Chapter X Diseases of the respiratory system,COPD_HOSPITAL_MAIN,Inverse variance weighted,7,1.11 [1.04-1.19],0.002141428695074,trans
EPHB4,Ephrin type-B receptor 4,Chapter X Diseases of the respiratory system,COPD_LATER,Wald ratio,1,1.14 [1.05-1.24],0.00265630659940205,trans
EPHB4,Ephrin type-B receptor 4,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_DM2REN,Inverse variance weighted,5,0.95 [0.91-0.98],0.00455406124393201,trans
EPHB4,Ephrin type-B receptor 4,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_ENDOGLAND,Inverse variance weighted,2,0.76 [0.63-0.92],0.00523319567442631,trans
EPHB4,Ephrin type-B receptor 4,Chapter II Neoplasms,C3_KIDNEY_NOTRENALPELVIS_EXALLC,Wald ratio,1,1.11 [1.02-1.2],0.00997846202388923,trans
EPHB4,Ephrin type-B receptor 4,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_HYPERPARA,Inverse variance weighted,10,0.95 [0.91-0.99],0.0130322971314594,trans
EPHB4,Ephrin type-B receptor 4,Chapter XI Diseases of the digestive system,K11_INTESTOTH,Inverse variance weighted,10,1.18 [1.03-1.34],0.0134469410187831,trans
EPHB4,Ephrin type-B receptor 4,Chapter XIV Diseases of the genitourinary system,N14_URINOTH,Inverse variance weighted,2,0.8 [0.66-0.97],0.0239365192605071,trans
EPHB4,Ephrin type-B receptor 4,Chapter X Diseases of the respiratory system,J10_EMPHYSEMA,Wald ratio,1,1.06 [1.01-1.12],0.0255856815826967,trans
EPHB4,Ephrin type-B receptor 4,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",DM_BCKGRND_RETINA,Inverse variance weighted,3,0.96 [0.93-1],0.0360199768062632,trans
EPHB4,Ephrin type-B receptor 4,Chapter X Diseases of the respiratory system,J10_INFLUPNEU,Inverse variance weighted,3,1.33 [1-1.76],0.0470013769770699,trans
EPHB4,Ephrin type-B receptor 4,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D3_COAGOTHER,Inverse variance weighted,35,1.01 [1-1.02],0.052434166654114,trans
EPHB4,Ephrin type-B receptor 4,Chapter X Diseases of the respiratory system,COPD_EARLY,Inverse variance weighted,3,1.1 [1-1.21],0.057186257401704,trans
EPHB4,Ephrin type-B receptor 4,Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_ARTHROSIS_INCLAVO,Inverse variance weighted,50,1.07 [1-1.15],0.0607371561724574,trans
EPHB4,Ephrin type-B receptor 4,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_DM2NOCOMP,Inverse variance weighted,69,0.97 [0.94-1],0.0728339851766196,trans
EPHB4,Ephrin type-B receptor 4,Chapter XIII Diseases of the musculoskeletal system and connective tissue,JOINTPAIN,Inverse variance weighted,3,1.12 [0.99-1.28],0.0776848206331351,trans
EPHB4,Ephrin type-B receptor 4,Chapter XI Diseases of the digestive system,CHRONNAS,Inverse variance weighted,9,0.98 [0.95-1],0.0798348423336857,trans
EPHB4,Ephrin type-B receptor 4,Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_ARTHROSIS_OTH,Inverse variance weighted,3,1.13 [0.99-1.29],0.0801336235422342,trans
EPHB4,Ephrin type-B receptor 4,Chapter XI Diseases of the digestive system,K11_OESSTODUO,Wald ratio,1,1.45 [0.95-2.2],0.0821757218705048,trans
EPHB4,Ephrin type-B receptor 4,Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_GOUT,Inverse variance weighted,24,0.98 [0.96-1],0.100865551410547,trans
EPHB4,Ephrin type-B receptor 4,Chapter XII Diseases of the skin and subcutaneous tissue,L12_DERMATITISECZEMA,Inverse variance weighted,36,1.05 [0.99-1.12],0.105316833528241,trans
EPHB4,Ephrin type-B receptor 4,Chapter X Diseases of the respiratory system,J10_LOWCHRON,Inverse variance weighted,61,1.04 [0.99-1.1],0.136521110097313,trans
EPHB4,Ephrin type-B receptor 4,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D3_ANAEMIANAS,Inverse variance weighted,4,1.1 [0.97-1.24],0.142685831036005,trans
EPHB4,Ephrin type-B receptor 4,Chapter I Certain infectious and parasitic diseases,AB1_GASTROENTERITIS_NOS,Inverse variance weighted,2,0.9 [0.79-1.04],0.143070732717156,trans
EPHB4,Ephrin type-B receptor 4,Chapter XIII Diseases of the musculoskeletal system and connective tissue,RHEUMA_OTHER_WIDE,Inverse variance weighted,5,1.05 [0.98-1.12],0.145375808876489,trans
