Protein,Protein_definition,Disease_category,Disease,method,nsnp,OR [95% CI],Pvalue,QTL_type
CTHRC1,Collagen triple helix repeat-containing protein 1,Chapter I Certain infectious and parasitic diseases,AB1_SEPSIS_IMPLICIT,Wald ratio,1,1.52 [1.21-1.91],0.000379316842167754,trans
CTHRC1,Collagen triple helix repeat-containing protein 1,Chapter IX Diseases of the circulatory system,I9_HYPTENSPOR,Wald ratio,1,1.05 [1.02-1.09],0.000888155433426471,trans
CTHRC1,Collagen triple helix repeat-containing protein 1,Chapter IX Diseases of the circulatory system,I9_VARICVEOES,Inverse variance weighted,2,1.04 [1.01-1.07],0.00307752939321328,trans
CTHRC1,Collagen triple helix repeat-containing protein 1,Chapter X Diseases of the respiratory system,J10_ACUTELOWERNAS,Wald ratio,1,0.86 [0.78-0.96],0.00650538717919641,trans
CTHRC1,Collagen triple helix repeat-containing protein 1,Chapter V Mental and behavioural disorders,F5_ALCOHOL_DEPENDENCE,Inverse variance weighted,3,0.94 [0.9-0.98],0.00735564016617307,trans
CTHRC1,Collagen triple helix repeat-containing protein 1,Chapter X Diseases of the respiratory system,IPF,Inverse variance weighted,20,1.02 [1-1.03],0.00749623130928268,trans
CTHRC1,Collagen triple helix repeat-containing protein 1,Chapter X Diseases of the respiratory system,J10_LOWERINF,Wald ratio,1,0.76 [0.6-0.95],0.0141621392301921,trans
CTHRC1,Collagen triple helix repeat-containing protein 1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_ARTHROSIS_INCLAVO,Inverse variance weighted,50,1.08 [1.01-1.17],0.033638483967972,trans
CTHRC1,Collagen triple helix repeat-containing protein 1,Chapter V Mental and behavioural disorders,KRA_PSY_SUBSTANCE_EXMORE,Inverse variance weighted,11,0.95 [0.9-1],0.0372701433805597,trans
CTHRC1,Collagen triple helix repeat-containing protein 1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,RHEUMA_NOS,Inverse variance weighted,6,0.94 [0.88-1],0.0575045534902597,trans
CTHRC1,Collagen triple helix repeat-containing protein 1,Chapter X Diseases of the respiratory system,ILD,Inverse variance weighted,21,1.02 [1-1.03],0.0584491783497261,trans
CTHRC1,Collagen triple helix repeat-containing protein 1,Chapter IX Diseases of the circulatory system,I9_K_CARDIAC,Inverse variance weighted,2,0.9 [0.8-1.01],0.0717669175515829,trans
CTHRC1,Collagen triple helix repeat-containing protein 1,Chapter IX Diseases of the circulatory system,I9_PAD,Inverse variance weighted,2,1.05 [0.99-1.12],0.0816173136556791,trans
CTHRC1,Collagen triple helix repeat-containing protein 1,Chapter VI Diseases of the nervous system,G6_POLYOTHUNS,Inverse variance weighted,2,0.91 [0.81-1.02],0.0997262345731836,trans
CTHRC1,Collagen triple helix repeat-containing protein 1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_ARTHROSIS_OTH,Inverse variance weighted,3,1.11 [0.98-1.26],0.106273312184044,trans
CTHRC1,Collagen triple helix repeat-containing protein 1,Chapter XIV Diseases of the genitourinary system,N14_URETHRAOTH,Inverse variance weighted,5,0.91 [0.81-1.02],0.110186884606142,trans
CTHRC1,Collagen triple helix repeat-containing protein 1,Chapter IX Diseases of the circulatory system,I9_CARDARR,Inverse variance weighted,2,1.04 [0.99-1.09],0.11663218221213,trans
CTHRC1,Collagen triple helix repeat-containing protein 1,Chapter X Diseases of the respiratory system,J10_LOWCHRON,Inverse variance weighted,61,1.04 [0.99-1.09],0.123784749659737,trans
CTHRC1,Collagen triple helix repeat-containing protein 1,Chapter XI Diseases of the digestive system,K11_FIBROCHIRLIV,Inverse variance weighted,2,1.05 [0.99-1.12],0.13538521445839,trans
CTHRC1,Collagen triple helix repeat-containing protein 1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_ARTHROSIS,Inverse variance weighted,51,1.04 [0.98-1.11],0.149919917468744,trans
CTHRC1,Collagen triple helix repeat-containing protein 1,Chapter XIV Diseases of the genitourinary system,N14_CHRONKIDNEYDIS,Wald ratio,1,1.05 [0.98-1.13],0.150268603346446,trans
CTHRC1,Collagen triple helix repeat-containing protein 1,Chapter X Diseases of the respiratory system,J10_ASTHMA_EXMORE,Inverse variance weighted,59,1.03 [0.99-1.07],0.201082784724753,trans
CTHRC1,Collagen triple helix repeat-containing protein 1,Chapter XI Diseases of the digestive system,K11_DISLIVOTH,Inverse variance weighted,3,1.06 [0.96-1.16],0.242179003914925,trans
CTHRC1,Collagen triple helix repeat-containing protein 1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_POLYARTHROPATHIES,Inverse variance weighted,16,0.93 [0.82-1.05],0.251553352925817,trans
CTHRC1,Collagen triple helix repeat-containing protein 1,Chapter IX Diseases of the circulatory system,I9_CEREBDOTH,Wald ratio,1,1.22 [0.86-1.71],0.261040980170115,trans
CTHRC1,Collagen triple helix repeat-containing protein 1,Chapter IX Diseases of the circulatory system,I9_ATHSCLE,Inverse variance weighted,13,1.03 [0.97-1.1],0.280872721438408,trans
CTHRC1,Collagen triple helix repeat-containing protein 1,Chapter XI Diseases of the digestive system,K11_LIVER,Inverse variance weighted,8,1.03 [0.97-1.1],0.296614463331234,trans
CTHRC1,Collagen triple helix repeat-containing protein 1,Chapter XIV Diseases of the genitourinary system,N14_RENALTUB,Wald ratio,1,1.16 [0.88-1.53],0.300142933669921,trans
CTHRC1,Collagen triple helix repeat-containing protein 1,Chapter X Diseases of the respiratory system,J10_INFLUPNEU,Inverse variance weighted,3,1.1 [0.91-1.34],0.308870184450602,trans
CTHRC1,Collagen triple helix repeat-containing protein 1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_GOUT,Inverse variance weighted,24,0.98 [0.95-1.02],0.318884463576266,trans
CTHRC1,Collagen triple helix repeat-containing protein 1,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_FLUIDELECTRO,Wald ratio,1,0.93 [0.81-1.07],0.319516730379422,trans
CTHRC1,Collagen triple helix repeat-containing protein 1,Chapter X Diseases of the respiratory system,COPD_EARLY,Inverse variance weighted,3,1.05 [0.95-1.16],0.320703120118806,trans
CTHRC1,Collagen triple helix repeat-containing protein 1,Chapter I Certain infectious and parasitic diseases,AB1_OTHER_BACTERIAL,Wald ratio,1,1.11 [0.9-1.37],0.336724870311733,trans
CTHRC1,Collagen triple helix repeat-containing protein 1,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_GLUCOPANCREAS,Wald ratio,1,0.96 [0.89-1.04],0.342397733059277,trans
CTHRC1,Collagen triple helix repeat-containing protein 1,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_DM2NOCOMP,Inverse variance weighted,69,1.02 [0.98-1.05],0.346202741297372,trans
CTHRC1,Collagen triple helix repeat-containing protein 1,Chapter IX Diseases of the circulatory system,I9_PHLETHROMBDVTLOW,Inverse variance weighted,30,1.01 [0.99-1.03],0.381567205642614,trans
CTHRC1,Collagen triple helix repeat-containing protein 1,Chapter XI Diseases of the digestive system,CHIRHEP_NAS,Inverse variance weighted,2,1.03 [0.97-1.09],0.393091534391606,trans
CTHRC1,Collagen triple helix repeat-containing protein 1,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_ACIDOSIS,Wald ratio,1,1.01 [0.98-1.04],0.395900987340134,trans
CTHRC1,Collagen triple helix repeat-containing protein 1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,RHEUMA_OTHER_WIDE,Inverse variance weighted,5,0.94 [0.82-1.08],0.416467421958039,trans
CTHRC1,Collagen triple helix repeat-containing protein 1,Chapter XIV Diseases of the genitourinary system,N14_DIALYSIS,Inverse variance weighted,4,0.97 [0.91-1.04],0.419666052630814,trans
CTHRC1,Collagen triple helix repeat-containing protein 1,Chapter XI Diseases of the digestive system,K11_ALCOLIV,Inverse variance weighted,4,1.03 [0.96-1.11],0.429878377869316,trans
CTHRC1,Collagen triple helix repeat-containing protein 1,Chapter I Certain infectious and parasitic diseases,AB1_GASTROENTERITIS_NOS,Inverse variance weighted,2,1.05 [0.92-1.2],0.437235151369222,trans
CTHRC1,Collagen triple helix repeat-containing protein 1,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D3_BLOOD_IMMUN,Wald ratio,1,1.11 [0.83-1.48],0.469631573919323,trans
CTHRC1,Collagen triple helix repeat-containing protein 1,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_DM2PERIPH,Wald ratio,1,0.98 [0.94-1.03],0.497273935090826,trans
CTHRC1,Collagen triple helix repeat-containing protein 1,Chapter I Certain infectious and parasitic diseases,AB1_OTHER_SEPSIS,Wald ratio,1,0.94 [0.8-1.12],0.503249545229167,trans
CTHRC1,Collagen triple helix repeat-containing protein 1,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D3_ANAEMIA_IRONDEF_NAS,Inverse variance weighted,7,1.02 [0.96-1.09],0.50816948038962,trans
CTHRC1,Collagen triple helix repeat-containing protein 1,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",DM_BCKGRND_RETINA,Inverse variance weighted,3,0.99 [0.95-1.02],0.51688306158206,trans
CTHRC1,Collagen triple helix repeat-containing protein 1,Chapter IX Diseases of the circulatory system,I9_PHLETHROM,Inverse variance weighted,14,1.01 [0.98-1.04],0.526773388831803,trans
CTHRC1,Collagen triple helix repeat-containing protein 1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,GOUT_NOS,Inverse variance weighted,14,0.99 [0.95-1.03],0.532368230861304,trans
CTHRC1,Collagen triple helix repeat-containing protein 1,Chapter XII Diseases of the skin and subcutaneous tissue,L12_DECUBITANSULCERANDPRESSURE,Wald ratio,1,0.98 [0.92-1.04],0.540325508099282,trans
CTHRC1,Collagen triple helix repeat-containing protein 1,Chapter VI Diseases of the nervous system,FALLS,Inverse variance weighted,5,0.91 [0.66-1.25],0.556392167939054,trans
CTHRC1,Collagen triple helix repeat-containing protein 1,Chapter XI Diseases of the digestive system,K11_ENERCOLNONINF,Inverse variance weighted,35,0.99 [0.95-1.03],0.578270959598367,trans
CTHRC1,Collagen triple helix repeat-containing protein 1,Chapter X Diseases of the respiratory system,J10_RESPIRATORY,Inverse variance weighted,15,0.97 [0.85-1.1],0.596918870925534,trans
CTHRC1,Collagen triple helix repeat-containing protein 1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_ARTHROPATHIES,Inverse variance weighted,25,1.03 [0.92-1.15],0.60262271859347,trans
CTHRC1,Collagen triple helix repeat-containing protein 1,Chapter X Diseases of the respiratory system,J10_EMPHYSEMA,Wald ratio,1,1.01 [0.96-1.06],0.624731253283199,trans
CTHRC1,Collagen triple helix repeat-containing protein 1,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_DM1NOCOMP,Inverse variance weighted,3,0.99 [0.96-1.03],0.636545440920764,trans
CTHRC1,Collagen triple helix repeat-containing protein 1,Chapter XII Diseases of the skin and subcutaneous tissue,L12_INFECT_SKIN,Wald ratio,1,0.94 [0.72-1.22],0.644833274790513,trans
CTHRC1,Collagen triple helix repeat-containing protein 1,Chapter IX Diseases of the circulatory system,I9_LBBB,Inverse variance weighted,2,1.01 [0.96-1.06],0.73736998142315,trans
CTHRC1,Collagen triple helix repeat-containing protein 1,Chapter X Diseases of the respiratory system,COPD_HOSPITAL_MAIN,Inverse variance weighted,7,1.02 [0.92-1.12],0.748898132441357,trans
CTHRC1,Collagen triple helix repeat-containing protein 1,"Chapter IV Endocrine, nutritional and metabolic diseases",DM_NEPHROPATHY_EXMORE,Inverse variance weighted,5,1.01 [0.97-1.05],0.749285918943109,trans
CTHRC1,Collagen triple helix repeat-containing protein 1,Chapter IX Diseases of the circulatory system,I9_CONDUCTIO,Inverse variance weighted,4,1.01 [0.93-1.1],0.770113083714253,trans
CTHRC1,Collagen triple helix repeat-containing protein 1,"Chapter IV Endocrine, nutritional and metabolic diseases",DM_NEUROPATHY,Wald ratio,1,1.01 [0.92-1.12],0.775762511176856,trans
CTHRC1,Collagen triple helix repeat-containing protein 1,Chapter IX Diseases of the circulatory system,I9_HEARTFAIL,Inverse variance weighted,4,1.01 [0.9-1.14],0.806274747768259,trans
CTHRC1,Collagen triple helix repeat-containing protein 1,Chapter II Neoplasms,C3_BREAST_EXALLC,Inverse variance weighted,46,1 [0.97-1.03],0.81097630851867,trans
CTHRC1,Collagen triple helix repeat-containing protein 1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_RHEUMA,Inverse variance weighted,22,0.99 [0.95-1.04],0.814605715047911,trans
CTHRC1,Collagen triple helix repeat-containing protein 1,Chapter IX Diseases of the circulatory system,I9_VEINSOTH,Inverse variance weighted,36,1 [0.96-1.03],0.834814084713174,trans
CTHRC1,Collagen triple helix repeat-containing protein 1,Chapter X Diseases of the respiratory system,J10_INTERSTITIUM,Inverse variance weighted,4,1 [0.98-1.02],0.84791077293746,trans
CTHRC1,Collagen triple helix repeat-containing protein 1,Chapter I Certain infectious and parasitic diseases,AB1_SEPSIS_CONDITION,Wald ratio,1,1.03 [0.77-1.38],0.848566606604306,trans
CTHRC1,Collagen triple helix repeat-containing protein 1,Chapter X Diseases of the respiratory system,J10_PNEUMONAS,Wald ratio,1,0.98 [0.8-1.21],0.853741185416353,trans
CTHRC1,Collagen triple helix repeat-containing protein 1,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D3_OTHERANAEMIA,Wald ratio,1,1.02 [0.83-1.24],0.868525083905264,trans
CTHRC1,Collagen triple helix repeat-containing protein 1,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",DM_MACULOPATHY_EXMORE,Inverse variance weighted,8,1 [0.97-1.03],0.87973349912397,trans
CTHRC1,Collagen triple helix repeat-containing protein 1,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_DM2REN,Inverse variance weighted,5,1 [0.96-1.03],0.906604554201168,trans
CTHRC1,Collagen triple helix repeat-containing protein 1,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",H7_CHOROIDRETINA,Inverse variance weighted,9,0.99 [0.89-1.11],0.918599147650636,trans
CTHRC1,Collagen triple helix repeat-containing protein 1,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D3_ANAEMIANAS,Inverse variance weighted,4,1.01 [0.86-1.18],0.933421545785528,trans
