Protein,Protein_definition,Disease_category,Disease,method,nsnp,OR [95% CI],Pvalue,QTL_type
F11R,Junctional adhesion molecule A,Chapter I Certain infectious and parasitic diseases,AB1_SEPSIS_IMPLICIT,Wald ratio,1,1.35 [1.04-1.75],0.0256346861737505,trans
F11R,Junctional adhesion molecule A,Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_POLYARTHROPATHIES,Inverse variance weighted,16,1.16 [1.02-1.33],0.0285660846902533,trans
F11R,Junctional adhesion molecule A,Chapter XIV Diseases of the genitourinary system,N14_CHRONKIDNEYDIS,Wald ratio,1,1.08 [1-1.17],0.0416348828430902,trans
F11R,Junctional adhesion molecule A,Chapter XIII Diseases of the musculoskeletal system and connective tissue,GOUT_NOS,Inverse variance weighted,14,1.03 [0.99-1.07],0.165342414018226,trans
F11R,Junctional adhesion molecule A,Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_GOUT,Inverse variance weighted,24,1.02 [0.99-1.05],0.211521068753325,trans
F11R,Junctional adhesion molecule A,Chapter X Diseases of the respiratory system,J10_RESPIRATORY,Inverse variance weighted,15,1.09 [0.93-1.28],0.278098521137501,trans
F11R,Junctional adhesion molecule A,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D3_OTHERANAEMIA,Wald ratio,1,1.12 [0.9-1.4],0.315004323979127,trans
F11R,Junctional adhesion molecule A,Chapter IX Diseases of the circulatory system,I9_K_CARDIAC,Inverse variance weighted,2,0.95 [0.83-1.09],0.446362420664253,trans
F11R,Junctional adhesion molecule A,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_DM2NOCOMP,Inverse variance weighted,69,1.01 [0.98-1.05],0.456714522038261,trans
F11R,Junctional adhesion molecule A,Chapter XIV Diseases of the genitourinary system,N14_RENALTUB,Wald ratio,1,1.1 [0.8-1.51],0.543374969626389,trans
F11R,Junctional adhesion molecule A,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_FLUIDELECTRO,Wald ratio,1,0.96 [0.82-1.13],0.657631134395145,trans
F11R,Junctional adhesion molecule A,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D3_ANAEMIA_IRONDEF_NAS,Inverse variance weighted,7,1.02 [0.94-1.09],0.666978661691563,trans
F11R,Junctional adhesion molecule A,Chapter IX Diseases of the circulatory system,I9_HEARTFAIL,Inverse variance weighted,4,0.98 [0.8-1.18],0.80629611934953,trans
F11R,Junctional adhesion molecule A,Chapter I Certain infectious and parasitic diseases,AB1_SEPSIS_CONDITION,Wald ratio,1,1.02 [0.73-1.42],0.913946307336021,trans
F11R,Junctional adhesion molecule A,Chapter XIV Diseases of the genitourinary system,N14_DIALYSIS,Inverse variance weighted,4,1 [0.94-1.07],0.968469982935844,trans
