Protein,Protein_definition,Disease_category,Disease,method,nsnp,OR [95% CI],Pvalue,QTL_type
RETN,Resistin,Chapter X Diseases of the respiratory system,J10_ACUTELOWERNAS,Wald ratio,1,1.49 [1.33-1.68],1.31382568272157e-11,trans
RETN,Resistin,Chapter X Diseases of the respiratory system,J10_LOWERINF,Wald ratio,1,2.31 [1.81-2.94],1.66104446427714e-11,trans
RETN,Resistin,Chapter XIV Diseases of the genitourinary system,N14_CHRONKIDNEYDIS,Wald ratio,1,1.17 [1.08-1.26],4.62948527406817e-05,trans
RETN,Resistin,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_HYPERPARA,Inverse variance weighted,10,0.95 [0.91-0.98],0.00606017986061094,trans
RETN,Resistin,Chapter IX Diseases of the circulatory system,I9_CARDARR,Inverse variance weighted,2,1.05 [1-1.11],0.0354659008443377,trans
RETN,Resistin,Chapter IX Diseases of the circulatory system,I9_PAD,Inverse variance weighted,2,1.07 [1-1.14],0.0415173552439146,trans
RETN,Resistin,Chapter X Diseases of the respiratory system,J10_LOWCHRON,Inverse variance weighted,61,1.08 [1-1.17],0.0433858391570483,trans
RETN,Resistin,Chapter XIII Diseases of the musculoskeletal system and connective tissue,GOUT_NOS,Inverse variance weighted,14,0.97 [0.95-1],0.045816422613729,trans
RETN,Resistin,Chapter XI Diseases of the digestive system,K11_ENERCOLNONINF,Inverse variance weighted,35,1.05 [1-1.1],0.0586494076992711,trans
RETN,Resistin,Chapter XIV Diseases of the genitourinary system,N14_URINOTH,Inverse variance weighted,2,0.84 [0.69-1.02],0.0826088536621768,trans
RETN,Resistin,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_MINERAL_MET,Wald ratio,1,1.04 [0.99-1.1],0.109704529170672,trans
RETN,Resistin,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",DM_MACULOPATHY_EXMORE,Inverse variance weighted,8,0.98 [0.95-1.01],0.131563775876354,trans
RETN,Resistin,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_GLUCOPANCREAS,Wald ratio,1,0.94 [0.87-1.02],0.155247999213824,trans
RETN,Resistin,Chapter IX Diseases of the circulatory system,I9_K_CARDIAC,Inverse variance weighted,2,1.09 [0.96-1.25],0.174753765945764,trans
RETN,Resistin,Chapter XI Diseases of the digestive system,CHRONNAS,Inverse variance weighted,9,1.02 [0.99-1.06],0.183132515141945,trans
RETN,Resistin,"Chapter IV Endocrine, nutritional and metabolic diseases",DM_NEPHROPATHY_EXMORE,Inverse variance weighted,5,0.97 [0.92-1.02],0.183472935074724,trans
RETN,Resistin,Chapter XI Diseases of the digestive system,K11_OTHENTERCOL,Inverse variance weighted,2,1.1 [0.95-1.28],0.193418675089673,trans
RETN,Resistin,Chapter X Diseases of the respiratory system,J10_PNEUMONAS,Wald ratio,1,1.15 [0.92-1.44],0.228332610303528,trans
RETN,Resistin,Chapter V Mental and behavioural disorders,F5_DELIRIUM,Wald ratio,1,1.08 [0.95-1.23],0.232699818050503,trans
RETN,Resistin,Chapter XIV Diseases of the genitourinary system,N14_DIALYSIS,Inverse variance weighted,4,1.03 [0.98-1.08],0.259056768582144,trans
RETN,Resistin,Chapter XIV Diseases of the genitourinary system,N14_RENALTUB,Wald ratio,1,0.84 [0.62-1.14],0.262085468920846,trans
RETN,Resistin,Chapter XIII Diseases of the musculoskeletal system and connective tissue,RHEUMA_OTHER_WIDE,Inverse variance weighted,5,1.08 [0.94-1.26],0.284741101016146,trans
RETN,Resistin,Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_RHEUMA,Inverse variance weighted,22,1.03 [0.98-1.08],0.307989321097126,trans
RETN,Resistin,Chapter X Diseases of the respiratory system,COPD_EARLY,Inverse variance weighted,3,1.04 [0.96-1.14],0.325037090301994,trans
RETN,Resistin,Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_ARTHROPATHIES,Inverse variance weighted,25,0.94 [0.84-1.06],0.33011075721478,trans
RETN,Resistin,Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_GOUT,Inverse variance weighted,24,0.99 [0.96-1.01],0.335746214884414,trans
RETN,Resistin,Chapter XI Diseases of the digestive system,ULCERNAS,Inverse variance weighted,18,1.02 [0.98-1.05],0.348996375595806,trans
RETN,Resistin,Chapter X Diseases of the respiratory system,J10_RESPIRATORY,Inverse variance weighted,15,1.1 [0.89-1.36],0.358001199253927,trans
RETN,Resistin,Chapter XI Diseases of the digestive system,K11_DIVERTIC,Inverse variance weighted,50,1.02 [0.98-1.05],0.365855648354791,trans
RETN,Resistin,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",DM_BCKGRND_RETINA,Inverse variance weighted,3,1.02 [0.98-1.06],0.371495911303093,trans
RETN,Resistin,Chapter IX Diseases of the circulatory system,I9_HEARTFAIL,Inverse variance weighted,4,1.05 [0.94-1.17],0.372245250773024,trans
RETN,Resistin,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D3_OTHERANAEMIA,Wald ratio,1,0.91 [0.73-1.13],0.379721152085437,trans
RETN,Resistin,Chapter XI Diseases of the digestive system,COLITNONINFNAS,Wald ratio,1,1.1 [0.89-1.35],0.387611118766686,trans
RETN,Resistin,Chapter X Diseases of the respiratory system,J10_ASTHMA_EXMORE,Inverse variance weighted,59,1.02 [0.97-1.08],0.38991479351847,trans
RETN,Resistin,Chapter XII Diseases of the skin and subcutaneous tissue,L12_INFECT_SKIN,Wald ratio,1,1.13 [0.85-1.5],0.399853869196634,trans
RETN,Resistin,Chapter X Diseases of the respiratory system,COPD_HOSPITAL_MAIN,Inverse variance weighted,7,1.15 [0.82-1.61],0.408555253241,trans
RETN,Resistin,Chapter XI Diseases of the digestive system,K11_UC_STRICT2,Inverse variance weighted,37,1.01 [0.98-1.04],0.422720769060283,trans
RETN,Resistin,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_FLUIDELECTRO,Wald ratio,1,0.94 [0.81-1.1],0.430164442189138,trans
RETN,Resistin,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_DM2NOCOMP,Inverse variance weighted,69,0.99 [0.95-1.02],0.430710416334559,trans
RETN,Resistin,Chapter I Certain infectious and parasitic diseases,AB1_MYCOSES,Wald ratio,1,1.07 [0.9-1.28],0.439940882116216,trans
RETN,Resistin,Chapter X Diseases of the respiratory system,COPD_LATER,Wald ratio,1,1.03 [0.95-1.12],0.44807063420436,trans
RETN,Resistin,Chapter X Diseases of the respiratory system,ILD,Inverse variance weighted,21,1.01 [0.99-1.03],0.451457674254498,trans
RETN,Resistin,Chapter IX Diseases of the circulatory system,I9_CONDUCTIO,Inverse variance weighted,4,1.03 [0.95-1.11],0.452351758107158,trans
RETN,Resistin,Chapter XI Diseases of the digestive system,K11_OESSTODUO,Wald ratio,1,1.17 [0.77-1.78],0.457113976967702,trans
RETN,Resistin,Chapter X Diseases of the respiratory system,J10_INTERSTITIUM,Inverse variance weighted,4,1.01 [0.98-1.04],0.481868218160125,trans
RETN,Resistin,Chapter V Mental and behavioural disorders,ALCOHOLMENTAL,Wald ratio,1,1.05 [0.92-1.19],0.483935608627561,trans
RETN,Resistin,Chapter XI Diseases of the digestive system,K11_LIVER,Inverse variance weighted,8,0.98 [0.94-1.03],0.503299497384661,trans
RETN,Resistin,Chapter XIII Diseases of the musculoskeletal system and connective tissue,RHEUMA_NOS,Inverse variance weighted,6,1.03 [0.94-1.14],0.509334574652138,trans
RETN,Resistin,Chapter I Certain infectious and parasitic diseases,AB1_BACTINF_NOS,Inverse variance weighted,2,0.96 [0.85-1.09],0.516267171439103,trans
RETN,Resistin,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_ENDOGLAND,Inverse variance weighted,2,0.92 [0.71-1.19],0.539905255691148,trans
RETN,Resistin,Chapter XI Diseases of the digestive system,K11_DISLIVOTH,Inverse variance weighted,3,0.98 [0.92-1.04],0.543814378556495,trans
RETN,Resistin,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D3_ANAEMIANAS,Inverse variance weighted,4,1.04 [0.92-1.18],0.553086238745614,trans
RETN,Resistin,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_DM1NOCOMP,Inverse variance weighted,3,0.99 [0.95-1.03],0.557654191090273,trans
RETN,Resistin,Chapter I Certain infectious and parasitic diseases,AB1_SEPSIS_CONDITION,Wald ratio,1,0.92 [0.67-1.27],0.611816909650383,trans
RETN,Resistin,Chapter XII Diseases of the skin and subcutaneous tissue,L12_DECUBITANSULCERANDPRESSURE,Wald ratio,1,0.98 [0.92-1.05],0.622185162323115,trans
RETN,Resistin,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_PARATHYRO,Inverse variance weighted,10,0.99 [0.93-1.05],0.626255193324688,trans
RETN,Resistin,Chapter XI Diseases of the digestive system,K11_CD_STRICT2,Inverse variance weighted,8,1.01 [0.98-1.04],0.627056576463962,trans
RETN,Resistin,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D3_ANAEMIA_IRONDEF_NAS,Inverse variance weighted,6,0.98 [0.92-1.05],0.632961996834997,trans
RETN,Resistin,Chapter XI Diseases of the digestive system,K11_OTHFUNC,Wald ratio,1,1.05 [0.84-1.32],0.660685011156899,trans
RETN,Resistin,Chapter I Certain infectious and parasitic diseases,AB1_SEPSIS_IMPLICIT,Wald ratio,1,0.95 [0.74-1.22],0.692140031080773,trans
RETN,Resistin,Chapter I Certain infectious and parasitic diseases,AB1_OTHER_BACTERIAL,Wald ratio,1,0.95 [0.76-1.21],0.697357642500374,trans
RETN,Resistin,Chapter X Diseases of the respiratory system,J10_EMPHYSEMA,Wald ratio,1,1.01 [0.96-1.07],0.704721419727536,trans
RETN,Resistin,Chapter I Certain infectious and parasitic diseases,AB1_GASTROENTERITIS_NOS,Inverse variance weighted,2,0.95 [0.71-1.26],0.725522148431344,trans
RETN,Resistin,Chapter IX Diseases of the circulatory system,I9_STR,Inverse variance weighted,3,0.97 [0.84-1.13],0.728160018098466,trans
RETN,Resistin,Chapter X Diseases of the respiratory system,ASTHMA_NAS,Inverse variance weighted,13,1.02 [0.89-1.17],0.728792104405503,trans
RETN,Resistin,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_DM2PERIPH,Wald ratio,1,1.01 [0.96-1.06],0.731024132264464,trans
RETN,Resistin,Chapter XIV Diseases of the genitourinary system,N14_URETHRAOTH,Inverse variance weighted,5,1.03 [0.87-1.21],0.761958392701361,trans
RETN,Resistin,Chapter XI Diseases of the digestive system,K11_INTESTOTH,Inverse variance weighted,10,1.02 [0.88-1.19],0.764534730050306,trans
RETN,Resistin,Chapter XI Diseases of the digestive system,K11_CHOLELITH,Inverse variance weighted,122,1 [0.98-1.03],0.788899598866808,trans
RETN,Resistin,Chapter XI Diseases of the digestive system,K11_GALLBILPANC,Inverse variance weighted,21,1 [0.97-1.04],0.796889882171896,trans
RETN,Resistin,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_ACIDOSIS,Wald ratio,1,1 [0.96-1.03],0.828239249786417,trans
RETN,Resistin,Chapter IX Diseases of the circulatory system,I9_SEQULAE,Inverse variance weighted,4,1.01 [0.93-1.1],0.838453174132502,trans
RETN,Resistin,Chapter X Diseases of the respiratory system,IPF,Inverse variance weighted,20,1 [0.99-1.01],0.839850858003269,trans
RETN,Resistin,Chapter VI Diseases of the nervous system,FALLS,Inverse variance weighted,5,1.02 [0.82-1.27],0.866103997313919,trans
RETN,Resistin,Chapter I Certain infectious and parasitic diseases,AB1_OTHER_SEPSIS,Wald ratio,1,1.01 [0.84-1.22],0.880489857297862,trans
RETN,Resistin,Chapter XI Diseases of the digestive system,K11_CD_NOUC,Inverse variance weighted,4,1 [0.95-1.06],0.882617143844291,trans
RETN,Resistin,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_DM2REN,Inverse variance weighted,5,1 [0.96-1.04],0.885473119455633,trans
RETN,Resistin,Chapter IX Diseases of the circulatory system,I9_CEREBDOTH,Wald ratio,1,1.02 [0.7-1.48],0.906797072343852,trans
