Protein,Protein_definition,Disease_category,Disease,method,nsnp,OR [95% CI],Pvalue,QTL_type
LAIR1,Leukocyte-associated immunoglobulin-like receptor 1,Chapter XIV Diseases of the genitourinary system,N14_CHRONKIDNEYDIS,Wald ratio,1,1.3 [1.22-1.39],1.94241918052892e-14,trans
LAIR1,Leukocyte-associated immunoglobulin-like receptor 1,Chapter XII Diseases of the skin and subcutaneous tissue,L12_PSORIASIS,Inverse variance weighted,30,1.06 [1.03-1.09],0.000268521561777528,trans
LAIR1,Leukocyte-associated immunoglobulin-like receptor 1,Chapter XI Diseases of the digestive system,K11_FIBROCHIRLIV,Inverse variance weighted,2,1.06 [1.02-1.09],0.00126382819058177,trans
LAIR1,Leukocyte-associated immunoglobulin-like receptor 1,Chapter XI Diseases of the digestive system,NAFLD,Inverse variance weighted,6,1.04 [1.02-1.07],0.00129983174955746,trans
LAIR1,Leukocyte-associated immunoglobulin-like receptor 1,Chapter IX Diseases of the circulatory system,I9_PAD,Inverse variance weighted,2,1.1 [1.04-1.16],0.00171783749952022,trans
LAIR1,Leukocyte-associated immunoglobulin-like receptor 1,Chapter XI Diseases of the digestive system,K11_DISLIVOTH,Inverse variance weighted,3,1.08 [1.03-1.13],0.00205588461919956,trans
LAIR1,Leukocyte-associated immunoglobulin-like receptor 1,Chapter IX Diseases of the circulatory system,I9_VARICVEOES,Inverse variance weighted,2,1.04 [1.01-1.07],0.00309240311655819,trans
LAIR1,Leukocyte-associated immunoglobulin-like receptor 1,Chapter XI Diseases of the digestive system,K11_LIVER,Inverse variance weighted,8,1.07 [1.02-1.12],0.00323708390617351,trans
LAIR1,Leukocyte-associated immunoglobulin-like receptor 1,Chapter X Diseases of the respiratory system,J10_LOWERINF,Wald ratio,1,1.39 [1.11-1.72],0.00344813745250525,trans
LAIR1,Leukocyte-associated immunoglobulin-like receptor 1,Chapter IX Diseases of the circulatory system,I9_NSTEMI,Inverse variance weighted,4,1.06 [1.02-1.09],0.00352820364770132,trans
LAIR1,Leukocyte-associated immunoglobulin-like receptor 1,Chapter XI Diseases of the digestive system,K11_ENERCOLNONINF,Inverse variance weighted,35,1.07 [1.02-1.13],0.00370712218147744,trans
LAIR1,Leukocyte-associated immunoglobulin-like receptor 1,Chapter V Mental and behavioural disorders,F5_DEPRESSION_DYSTHYMIA,Inverse variance weighted,24,1.09 [1.03-1.16],0.00462329479827763,trans
LAIR1,Leukocyte-associated immunoglobulin-like receptor 1,Chapter XI Diseases of the digestive system,CHIRHEP_NAS,Inverse variance weighted,2,1.03 [1.01-1.05],0.00463700280613477,trans
LAIR1,Leukocyte-associated immunoglobulin-like receptor 1,Chapter IX Diseases of the circulatory system,I9_HYPTENSPOR,Wald ratio,1,1.04 [1.01-1.08],0.00501177792979629,trans
LAIR1,Leukocyte-associated immunoglobulin-like receptor 1,Chapter X Diseases of the respiratory system,J10_ACUTELOWERNAS,Wald ratio,1,1.16 [1.04-1.29],0.00556079795530489,trans
LAIR1,Leukocyte-associated immunoglobulin-like receptor 1,Chapter XII Diseases of the skin and subcutaneous tissue,L12_DERMATITISECZEMA,Inverse variance weighted,36,1.08 [1.02-1.14],0.0107026622614723,trans
LAIR1,Leukocyte-associated immunoglobulin-like receptor 1,Chapter IX Diseases of the circulatory system,I9_CARDARR,Inverse variance weighted,2,1.06 [1.01-1.11],0.0110078837129845,trans
LAIR1,Leukocyte-associated immunoglobulin-like receptor 1,Chapter X Diseases of the respiratory system,ILD,Inverse variance weighted,21,1.02 [1-1.04],0.0125545666513444,trans
LAIR1,Leukocyte-associated immunoglobulin-like receptor 1,Chapter X Diseases of the respiratory system,IPF,Inverse variance weighted,20,1.02 [1-1.03],0.0168970266468623,trans
LAIR1,Leukocyte-associated immunoglobulin-like receptor 1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_ARTHROSIS_INCLAVO,Inverse variance weighted,50,1.08 [1.01-1.15],0.0255381322981187,trans
LAIR1,Leukocyte-associated immunoglobulin-like receptor 1,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_ENDOGLAND,Inverse variance weighted,2,0.83 [0.69-0.99],0.0339084660360557,trans
LAIR1,Leukocyte-associated immunoglobulin-like receptor 1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_RHEUMA,Inverse variance weighted,22,1.06 [1-1.12],0.0388972446292911,trans
LAIR1,Leukocyte-associated immunoglobulin-like receptor 1,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_DM2REN,Inverse variance weighted,5,0.97 [0.93-1],0.0501854647274735,trans
LAIR1,Leukocyte-associated immunoglobulin-like receptor 1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_OSTEOPOROSIS,Inverse variance weighted,3,1.09 [1-1.19],0.0563310507737006,trans
LAIR1,Leukocyte-associated immunoglobulin-like receptor 1,Chapter IX Diseases of the circulatory system,I9_CONDUCTIO,Inverse variance weighted,4,1.08 [1-1.18],0.0586039430871904,trans
LAIR1,Leukocyte-associated immunoglobulin-like receptor 1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_DORSALGIANAS,Inverse variance weighted,2,1.12 [0.99-1.27],0.062417820387809,trans
