Protein,Protein_definition,Disease_category,Disease,method,nsnp,OR [95% CI],Pvalue,QTL_type
IFNGR1,Interferon gamma receptor 1,Chapter XIV Diseases of the genitourinary system,N14_CHRONKIDNEYDIS,Wald ratio,1,1.38 [1.28-1.49],2.96140396900477e-17,trans
IFNGR1,Interferon gamma receptor 1,Chapter IX Diseases of the circulatory system,I9_HYPTENSPOR,Wald ratio,1,1.07 [1.04-1.11],3.91181621554421e-05,trans
IFNGR1,Interferon gamma receptor 1,Chapter IX Diseases of the circulatory system,I9_VARICVEOES,Inverse variance weighted,2,1.06 [1.03-1.09],0.00013532038038667,trans
IFNGR1,Interferon gamma receptor 1,Chapter XI Diseases of the digestive system,K11_DISLIVOTH,Inverse variance weighted,3,1.11 [1.05-1.18],0.000290488765065061,trans
IFNGR1,Interferon gamma receptor 1,Chapter XI Diseases of the digestive system,K11_FIBROCHIRLIV,Inverse variance weighted,2,1.08 [1.03-1.12],0.000787502649133728,trans
IFNGR1,Interferon gamma receptor 1,Chapter V Mental and behavioural disorders,F5_DEPRESSION_DYSTHYMIA,Inverse variance weighted,24,1.11 [1.04-1.18],0.0029889491678568,trans
IFNGR1,Interferon gamma receptor 1,Chapter XI Diseases of the digestive system,K11_LIVER,Inverse variance weighted,8,1.08 [1.03-1.14],0.00332996381458022,trans
IFNGR1,Interferon gamma receptor 1,Chapter X Diseases of the respiratory system,J10_INFLUPNEU,Inverse variance weighted,3,1.35 [1.09-1.67],0.005187485173196,trans
IFNGR1,Interferon gamma receptor 1,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_MINERAL_MET,Wald ratio,1,1.07 [1.01-1.12],0.0207815439666492,trans
IFNGR1,Interferon gamma receptor 1,Chapter I Certain infectious and parasitic diseases,AB1_BACTINF_NOS,Inverse variance weighted,2,1.15 [1.02-1.31],0.0274803499399581,trans
IFNGR1,Interferon gamma receptor 1,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_DM2REN,Inverse variance weighted,5,0.96 [0.92-1],0.0331808721114487,trans
IFNGR1,Interferon gamma receptor 1,Chapter IX Diseases of the circulatory system,I9_K_CARDIAC,Inverse variance weighted,2,1.18 [1-1.38],0.0453657949300135,trans
IFNGR1,Interferon gamma receptor 1,Chapter XI Diseases of the digestive system,CHIRHEP_NAS,Inverse variance weighted,2,1.05 [1-1.09],0.0557972001256792,trans
IFNGR1,Interferon gamma receptor 1,Chapter IX Diseases of the circulatory system,I9_CARDARR,Inverse variance weighted,2,1.05 [1-1.1],0.057685927249712,trans
IFNGR1,Interferon gamma receptor 1,Chapter XIV Diseases of the genitourinary system,N14_DIALYSIS,Inverse variance weighted,4,0.93 [0.86-1],0.0626811117178694,trans
IFNGR1,Interferon gamma receptor 1,Chapter IX Diseases of the circulatory system,I9_PAD,Inverse variance weighted,2,1.06 [1-1.14],0.0639747983603987,trans
IFNGR1,Interferon gamma receptor 1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,RHEUMA_OTHER_WIDE,Inverse variance weighted,5,1.06 [1-1.14],0.0668599472014047,trans
IFNGR1,Interferon gamma receptor 1,Chapter IX Diseases of the circulatory system,I9_STR,Inverse variance weighted,3,0.89 [0.77-1.02],0.103176354733409,trans
IFNGR1,Interferon gamma receptor 1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_GOUT,Inverse variance weighted,24,0.97 [0.93-1.01],0.11133096075133,trans
IFNGR1,Interferon gamma receptor 1,Chapter XI Diseases of the digestive system,K11_OTHFUNC,Wald ratio,1,0.83 [0.66-1.05],0.119117077871441,trans
IFNGR1,Interferon gamma receptor 1,Chapter XI Diseases of the digestive system,CHRONNAS,Inverse variance weighted,9,0.98 [0.95-1.01],0.123569248188879,trans
IFNGR1,Interferon gamma receptor 1,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",DM_BCKGRND_RETINA,Inverse variance weighted,3,0.97 [0.93-1.01],0.133382042312777,trans
IFNGR1,Interferon gamma receptor 1,Chapter V Mental and behavioural disorders,F5_DELIRIUM,Wald ratio,1,0.91 [0.8-1.03],0.133901915685774,trans
IFNGR1,Interferon gamma receptor 1,Chapter XIV Diseases of the genitourinary system,N14_RENALTUB,Wald ratio,1,0.79 [0.58-1.07],0.134000475592728,trans
IFNGR1,Interferon gamma receptor 1,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_DM2NEU,Wald ratio,1,0.96 [0.91-1.01],0.137792433214562,trans
IFNGR1,Interferon gamma receptor 1,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_DM2PERIPH,Wald ratio,1,0.96 [0.91-1.01],0.140503723021666,trans
IFNGR1,Interferon gamma receptor 1,Chapter IX Diseases of the circulatory system,I9_ATHSCLE,Inverse variance weighted,13,1.04 [0.99-1.09],0.142102094616475,trans
IFNGR1,Interferon gamma receptor 1,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_DM2NOCOMP,Inverse variance weighted,69,0.98 [0.95-1.01],0.15006369340055,trans
IFNGR1,Interferon gamma receptor 1,Chapter XI Diseases of the digestive system,K11_CONSTIPATION,Wald ratio,1,0.79 [0.57-1.11],0.173861542709611,trans
IFNGR1,Interferon gamma receptor 1,Chapter X Diseases of the respiratory system,J10_RESPIRATORY,Inverse variance weighted,15,0.93 [0.84-1.03],0.177446242803264,trans
