Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
"Chapter IV Endocrine, nutritional and metabolic diseases",Alcohol dependence,A1BG,Alpha-1B-glycoprotein,22939,130,8.70 [3.69-20.50],7.648304180937659e-07
"Chapter IV Endocrine, nutritional and metabolic diseases",Alcohol dependence,ACAA1,"3-ketoacyl-CoA thiolase, peroxisomal",25728,136,2.12 [1.89-2.38],1.2593934031602297e-37
"Chapter IV Endocrine, nutritional and metabolic diseases",Alcohol dependence,ACE2,Angiotensin-converting enzyme 2,25915,136,2.80 [2.31-3.40],1.7164705170339968e-25
"Chapter IV Endocrine, nutritional and metabolic diseases",Alcohol dependence,ACHE,Acetylcholinesterase,22398,127,3.09 [2.05-4.66],7.528558493631746e-08
"Chapter IV Endocrine, nutritional and metabolic diseases",Alcohol dependence,ACP5,Tartrate-resistant acid phosphatase type 5,26477,140,3.76 [2.63-5.40],5.306212636125443e-13
"Chapter IV Endocrine, nutritional and metabolic diseases",Alcohol dependence,ACTA2,"Actin, aortic smooth muscle",25915,136,1.70 [1.39-2.07],1.5322741499885693e-07
"Chapter IV Endocrine, nutritional and metabolic diseases",Alcohol dependence,ACY1,Aminoacylase-1,26387,141,3.26 [2.71-3.93],1.0486242127480456e-35
"Chapter IV Endocrine, nutritional and metabolic diseases",Alcohol dependence,ACY3,N-acyl-aromatic-L-amino acid amidohydrolase,22184,122,2.20 [1.78-2.74],8.984419089261582e-13
"Chapter IV Endocrine, nutritional and metabolic diseases",Alcohol dependence,ADA,Adenosine deaminase,26699,144,3.04 [2.28-4.05],3.725591477799482e-14
"Chapter IV Endocrine, nutritional and metabolic diseases",Alcohol dependence,ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,25915,136,4.37 [2.70-7.07],1.9458820635593875e-09
"Chapter IV Endocrine, nutritional and metabolic diseases",Alcohol dependence,ADAM22,Disintegrin and metalloproteinase domain-containing protein 22,26211,137,0.44 [0.32-0.59],8.68941587497192e-08
