Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",A1BG,Alpha-1B-glycoprotein,17645,796,1.99 [1.31-3.03],0.0012510909205746
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",AAMDC,Mth938 domain-containing protein,17129,771,1.07 [0.94-1.22],0.2875699422526225
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",AARSD1,Alanyl-tRNA editing protein Aarsd1,20152,915,1.10 [0.99-1.22],0.0748711041507162
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",ABCA2,ATP-binding cassette sub-family A member 2,17016,764,1.24 [1.03-1.50],0.0246495128987553
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",ABHD14B,Protein ABHD14B,20019,911,0.99 [0.89-1.10],0.897685949787863
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",ABL1,Tyrosine-protein kinase ABL1,20152,915,1.13 [1.04-1.23],0.0052077549772276
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",ABO,Histo-blood group ABO system transferase,17637,793,1.03 [0.98-1.07],0.2906205085377029
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",ABRAXAS2,BRISC complex subunit Abraxas 2,17016,764,1.00 [0.90-1.11],0.9831431363868874
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",ACAA1,"3-ketoacyl-CoA thiolase, peroxisomal",19756,899,1.05 [0.98-1.13],0.1830090791841832
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",ACADM,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",17310,773,1.05 [0.96-1.16],0.2836963619863429
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",ACADSB,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",17622,792,1.04 [0.96-1.12],0.3672949877648678
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",ACAN,Aggrecan core protein,20031,905,0.95 [0.77-1.18],0.6484150369897607
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",ACE,Angiotensin-converting enzyme,17637,793,1.10 [0.85-1.41],0.4779508296051248
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",ACE2,Angiotensin-converting enzyme 2,19867,899,1.17 [1.06-1.30],0.0027899155883015
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",ACHE,Acetylcholinesterase,17228,777,0.68 [0.56-0.84],0.0003483875391727
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",ACOT13,Acyl-coenzyme A thioesterase 13,17555,790,1.05 [0.99-1.11],0.115213551633328
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",ACOX1,Peroxisomal acyl-coenzyme A oxidase 1,20239,917,1.06 [0.95-1.19],0.3188019853861367
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",ACP1,Low molecular weight phosphotyrosine protein phosphatase,17100,773,0.93 [0.79-1.08],0.3238807012209359
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",ACP5,Tartrate-resistant acid phosphatase type 5,20329,915,1.43 [1.20-1.71],5.526546567066488e-05
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",ACP6,Lysophosphatidic acid phosphatase type 6,20396,931,1.10 [1.00-1.20],0.0446943811803786
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",ACRBP,Acrosin-binding protein,17545,790,1.04 [0.88-1.23],0.6517520836661197
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",ACRV1,Acrosomal protein SP-10,17100,773,1.10 [1.04-1.17],0.0023709786876845
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",ACSL1,Long-chain-fatty-acid--CoA ligase 1,17016,764,1.03 [0.85-1.26],0.7303833057710443
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",ACTA2,"Actin, aortic smooth muscle",19867,899,1.39 [1.24-1.55],8.58634876466726e-09
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",ACTN2,Alpha-actinin-2,17016,764,1.21 [1.09-1.34],0.0002503039935583
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",ACTN4,Alpha-actinin-4,19882,898,1.36 [1.18-1.57],2.2160612449156888e-05
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",ACVRL1,Serine/threonine-protein kinase receptor R3,20041,911,2.47 [2.01-3.03],4.2419575109429654e-18
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",ACY1,Aminoacylase-1,20239,917,1.00 [0.91-1.09],0.9417585207280038
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",ACY3,N-acyl-aromatic-L-amino acid amidohydrolase,17016,764,1.07 [0.94-1.21],0.3009850681147037
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",ACYP1,Acylphosphatase-1,17171,774,1.05 [0.95-1.17],0.3312153372421705
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",ADA,Adenosine deaminase,20490,930,1.07 [0.92-1.26],0.3756413560578291
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",ADA2,Adenosine deaminase 2,20152,908,1.52 [1.34-1.73],1.6398937130661908e-10
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",ADAM12,Disintegrin and metalloproteinase domain-containing protein 12,17100,773,1.55 [1.29-1.88],4.864993981879286e-06
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,19867,899,0.94 [0.77-1.13],0.5007155905897009
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",ADAM22,Disintegrin and metalloproteinase domain-containing protein 22,20079,912,1.41 [1.20-1.66],2.4387366837994408e-05
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",ADAM23,Disintegrin and metalloproteinase domain-containing protein 23,20490,930,1.11 [0.94-1.32],0.21744735639636
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",ADAM8,Disintegrin and metalloproteinase domain-containing protein 8,20400,927,1.38 [1.14-1.67],0.0008029195700842
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",ADAM9,Disintegrin and metalloproteinase domain-containing protein 9,17555,790,1.57 [1.26-1.96],6.555051512090614e-05
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",ADAMTS1,A disintegrin and metalloproteinase with thrombospondin motifs 1,17100,773,1.16 [0.94-1.44],0.1656728278197496
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",ADAMTS13,A disintegrin and metalloproteinase with thrombospondin motifs 13,20501,926,0.63 [0.50-0.80],0.0001621840568211
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",ADAMTS15,A disintegrin and metalloproteinase with thrombospondin motifs 15,20152,915,1.42 [1.23-1.64],2.037341479816896e-06
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",ADAMTS16,A disintegrin and metalloproteinase with thrombospondin motifs 16,19867,899,1.26 [1.08-1.47],0.0034893649123558
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",ADAMTS4,A disintegrin and metalloproteinase with thrombospondin motifs 4,17100,773,1.18 [0.98-1.42],0.0854851521901321
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",ADAMTS8,A disintegrin and metalloproteinase with thrombospondin motifs 8,20300,921,0.79 [0.70-0.90],0.0003538128280216
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",ADAMTSL2,ADAMTS-like protein 2,17625,791,1.41 [1.17-1.70],0.0003430187522662
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",ADAMTSL4,ADAMTS-like protein 4,17129,771,1.02 [0.77-1.37],0.8678793903501558
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",ADAMTSL5,ADAMTS-like protein 5,17622,792,1.03 [0.87-1.22],0.7474328789442655
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",ADCYAP1R1,Pituitary adenylate cyclase-activating polypeptide type I receptor,19756,899,1.05 [0.89-1.25],0.5322328130779792
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",ADD1,Alpha-adducin,17228,777,0.98 [0.88-1.08],0.6183623369490114
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",ADGRB3,Adhesion G protein-coupled receptor B3,20041,911,1.28 [1.08-1.53],0.0050834352761107
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",ADGRD1,Adhesion G-protein coupled receptor D1,17228,777,1.08 [0.91-1.27],0.3969072701504896
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",ADGRE1,Adhesion G protein-coupled receptor E1,17555,790,1.19 [1.05-1.34],0.0057359098007728
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",ADGRE2,Adhesion G protein-coupled receptor E2,20328,920,1.04 [0.85-1.28],0.6776565868339199
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",ADGRE5,Adhesion G protein-coupled receptor E5,20397,921,1.02 [0.85-1.23],0.8451298825108341
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",ADGRF5,Adhesion G protein-coupled receptor F5,17622,792,1.48 [1.14-1.91],0.002731443702978
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",ADGRG1,Adhesion G-protein coupled receptor G1,20152,915,1.17 [1.10-1.24],6.927468774527743e-07
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",ADGRG2,Adhesion G-protein coupled receptor G2,20239,917,0.65 [0.53-0.80],3.305904594341886e-05
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",ADGRV1,Adhesion G-protein coupled receptor V1,17032,764,0.99 [0.90-1.10],0.9172536756429206
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",ADH1B,All-trans-retinol dehydrogenase,17228,777,1.04 [0.95-1.14],0.3928140983974728
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",ADH4,All-trans-retinol dehydrogenase [NAD(+)] ADH4,19867,899,1.04 [0.97-1.12],0.2501401530227484
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",ADIPOQ,Adiponectin,17645,796,0.87 [0.79-0.96],0.0072289841699725
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",ADM,Pro-adrenomedullin,20421,933,2.85 [2.27-3.58],3.182236809475788e-19
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",ADRA2A,Alpha-2A adrenergic receptor,17016,764,1.06 [0.97-1.17],0.1928124275756105
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",AFAP1,Actin filament-associated protein 1,17228,777,1.04 [0.96-1.13],0.3607999026546451
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",AFM,Afamin,17645,796,1.22 [0.88-1.70],0.2376335116117126
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",AFP,Alpha-fetoprotein,19998,911,0.82 [0.75-0.90],3.908020292667491e-05
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",AGBL2,Cytosolic carboxypeptidase 2,17032,764,0.99 [0.92-1.07],0.7658259069978242
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",AGER,Advanced glycosylation end product-specific receptor,20187,916,1.15 [0.99-1.32],0.0587083186337607
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",AGR2,Anterior gradient protein 2 homolog,19661,902,1.12 [1.06-1.19],0.000123719864614
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",AGR3,Anterior gradient protein 3,19731,899,1.05 [0.95-1.16],0.3204668245408183
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",AGRN,Agrin,20328,920,1.90 [1.66-2.17],1.8410769390152875e-20
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",AGRP,Agouti-related protein,20490,930,1.38 [1.23-1.54],4.65710698910957e-08
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",AGT,Angiotensinogen,17637,793,1.13 [0.83-1.55],0.4347856076482709
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",AGXT,Serine--pyruvate aminotransferase,20239,917,1.02 [0.94-1.10],0.6868227161487628
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",AHCY,Adenosylhomocysteinase,20239,917,1.03 [0.95-1.13],0.4663465366879286
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",AHNAK,Neuroblast differentiation-associated protein AHNAK,17129,771,1.41 [1.15-1.71],0.0007784336088511
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",AHNAK2,Protein AHNAK2,17129,771,1.20 [0.96-1.49],0.1150011144166753
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",AHSA1,Activator of 90 kDa heat shock protein ATPase homolog 1,17545,790,1.00 [0.91-1.11],0.9375436565304152
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",AHSG,Alpha-2-HS-glycoprotein,17637,793,1.27 [0.99-1.64],0.0649574399896843
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",AHSP,Alpha-hemoglobin-stabilizing protein,20215,919,1.01 [0.95-1.09],0.6914105791209177
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",AIDA,"Axin interactor, dorsalization-associated protein",17129,770,1.07 [0.99-1.16],0.0670582868727747
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",AIF1,Allograft inflammatory factor 1,19756,899,1.16 [1.04-1.30],0.0088063318831252
