"Unnamed: 0","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-198933","R-HSA-198933","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell","48/537","134/10891",3.10963838981151e-29,2.61209624744167e-26,2.2978591048923e-26,"B2M/CD160/CD200/CD300A/CD300C/CD300E/CD300LF/CD300LG/CD40/CD99/CDH1/COLEC12/CRTAM/CXADR/HLA-E/ICAM1/ICAM2/ICAM5/KIR2DL3/KLRB1/KLRD1/KLRK1/LAIR1/LAIR2/LILRA2/LILRA5/LILRB1/LILRB2/LILRB4/NCR1/NCR3LG1/NECTIN2/NPDC1/OSCAR/PILRA/PILRB/PVR/SFTPD/SIGLEC1/SIGLEC10/SIGLEC5/SIGLEC6/SIGLEC7/SIGLEC8/SLAMF7/TREM2/TREML2/VCAM1",48
"R-HSA-1474244","R-HSA-1474244","Extracellular matrix organization","63/537","300/10891",1.67435759321128e-23,7.03230189148738e-21,6.18631068649642e-21,"ADAM12/ADAM8/ADAM9/ADAMTS16/ADAMTS4/AGRN/BMP10/BSG/CDH1/CEACAM6/CEACAM8/COL15A1/COL18A1/COL4A1/COL5A1/COL6A3/CTSB/CTSD/CTSL/CTSS/CTSV/DCN/DDR1/DMD/EFEMP1/ELN/F11R/FBLN2/FGA/HSPG2/ICAM1/ICAM2/ICAM5/ITGA11/ITGA5/ITGAV/JAM2/JAM3/LAMA4/LAMB1/LTBP2/LTBP3/MFAP4/MFAP5/MMP10/MMP12/MMP13/MMP3/MMP7/MMP8/MMP9/P4HB/PRSS2/SDC1/SDC4/SPP1/TGFB1/TIMP1/TIMP2/TNC/VCAM1/VCAN/VWF",63
"R-HSA-8957275","R-HSA-8957275","Post-translational protein phosphorylation","37/537","108/10891",5.60701735224243e-22,1.56996485862788e-19,1.38109690571024e-19,"APOA2/CDH2/CHGB/CHRDL1/CKAP4/CSF1/CST3/FGA/FGF23/FSTL1/FSTL3/GAS6/HRC/IGFBP1/IGFBP4/IGFBP7/IL6/LAMB1/LGALS1/MFGE8/MSLN/P4HB/PCSK9/PENK/QSOX1/SCG2/SCG3/SHISA5/SPARCL1/SPP1/STC2/TGOLN2/TIMP1/TNC/VCAN/VGF/VWA1",37
"R-HSA-381426","R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","39/537","125/10891",2.02152896014422e-21,4.24521081630285e-19,3.73450876321379e-19,"APOA2/CDH2/CHGB/CHRDL1/CKAP4/CSF1/CST3/FGA/FGF23/FSTL1/FSTL3/GAS6/HRC/IGFBP1/IGFBP2/IGFBP4/IGFBP6/IGFBP7/IL6/LAMB1/LGALS1/MFGE8/MSLN/P4HB/PCSK9/PENK/QSOX1/SCG2/SCG3/SHISA5/SPARCL1/SPP1/STC2/TGOLN2/TIMP1/TNC/VCAN/VGF/VWA1",39
"R-HSA-6798695","R-HSA-6798695","Neutrophil degranulation","67/537","482/10891",5.52791777453616e-15,9.28690186122075e-13,8.16968058468291e-13,"ADA2/ADAM8/ADGRE5/ATP6AP2/B2M/B4GALT1/BST2/CANT1/CD14/CD300A/CD55/CD59/CD93/CEACAM6/CEACAM8/CFD/CHI3L1/CKAP4/CLEC4D/CLEC5A/CST3/CSTB/CTSB/CTSD/CTSS/CTSZ/FABP5/GM2A/GRN/IGF2R/ITGAV/LAIR1/LCN2/LGALS3/LILRB2/LRG1/MMP8/MMP9/MPO/NFASC/NHLRC3/NPC2/OLR1/ORM1/OSCAR/PGLYRP1/PIGR/PLAU/PLAUR/PRG2/PRSS2/PRTN3/PSAP/PTPRN2/PTX3/QPCT/QSOX1/RAB6A/RETN/RNASET2/S100P/SERPINA3/SIGLEC5/SIRPB1/TIMP2/TNFRSF1B/TXNDC5",67
"R-HSA-1474228","R-HSA-1474228","Degradation of the extracellular matrix","31/537","140/10891",9.52508725030001e-13,1.333512215042e-10,1.17308969293169e-10,"ADAM8/ADAM9/ADAMTS16/ADAMTS4/BSG/CDH1/COL15A1/COL18A1/COL4A1/COL5A1/COL6A3/CTSB/CTSD/CTSL/CTSS/CTSV/DCN/ELN/HSPG2/LAMB1/MMP10/MMP12/MMP13/MMP3/MMP7/MMP8/MMP9/PRSS2/SPP1/TIMP1/TIMP2",31
"R-HSA-6783783","R-HSA-6783783","Interleukin-10 signaling","18/537","47/10891",2.6959492329695e-12,3.2351390795634e-10,2.84594941585652e-10,"CCL20/CCL22/CCL3/CD80/CSF1/CXCL10/FCER2/ICAM1/IL10RB/IL12B/IL18/IL1R1/IL1RN/IL6/TIMP1/TNF/TNFRSF1A/TNFRSF1B",18
"R-HSA-5669034","R-HSA-5669034","TNFs bind their physiological receptors","14/537","29/10891",1.66300836471209e-11,1.7461587829477e-09,1.53609456845775e-09,"CD27/EDA2R/TNFRSF11B/TNFRSF13B/TNFRSF14/TNFRSF17/TNFRSF1A/TNFRSF1B/TNFRSF4/TNFRSF6B/TNFRSF8/TNFRSF9/TNFSF13/TNFSF13B",14
"R-HSA-216083","R-HSA-216083","Integrin cell surface interactions","22/537","85/10891",7.88801259922061e-11,7.3621450926059e-09,6.47647350251798e-09,"AGRN/BSG/CDH1/COL18A1/COL4A1/COL5A1/COL6A3/F11R/FGA/HSPG2/ICAM1/ICAM2/ICAM5/ITGA11/ITGA5/ITGAV/JAM2/JAM3/SPP1/TNC/VCAM1/VWF",22
"R-HSA-202733","R-HSA-202733","Cell surface interactions at the vascular wall","26/537","137/10891",2.36393843204094e-09,1.98570828291439e-07,1.74682608346604e-07,"ANGPT2/BSG/CD48/CD74/CD99/CD99L2/CEACAM5/CEACAM6/CEACAM8/CXADR/ESAM/F11R/GAS6/ITGA5/ITGAV/JAM2/JAM3/MERTK/OLR1/PROS1/SDC1/SDC4/TGFB1/THBD/TNFRSF10A/TNFRSF10B",26
