"Unnamed: 0","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-198933","R-HSA-198933","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell","47/553","134/10891",1.33642419746837e-27,1.15600693081014e-24,1.02130943932846e-24,"B2M/CD160/CD200/CD300A/CD300C/CD300E/CD300LF/CD300LG/CD34/CD40/CD99/CDH1/COL3A1/COLEC12/CRTAM/CXADR/HLA-E/ICAM1/ICAM2/ICAM4/ICAM5/KLRB1/LAIR1/LAIR2/LILRA5/LILRB1/LILRB2/LILRB4/NCR1/NCR3LG1/NECTIN2/NPDC1/OSCAR/PILRA/PILRB/PVR/SIGLEC1/SIGLEC10/SIGLEC5/SIGLEC6/SIGLEC7/SIGLEC8/SLAMF6/SLAMF7/TREM2/TREML2/VCAM1",47
"R-HSA-1474244","R-HSA-1474244","Extracellular matrix organization","63/553","300/10891",8.29582691511499e-23,3.58794514078723e-20,3.16987912651236e-20,"ADAM12/ADAM8/ADAM9/ADAMTS4/ADAMTS8/AGRN/BCAN/BMP10/BSG/CDH1/CEACAM8/COL15A1/COL18A1/COL3A1/COL4A1/COL5A1/COL6A3/CTSB/CTSD/CTSL/CTSS/CTSV/DCN/DDR1/DMD/DMP1/EFEMP1/ELN/FBLN2/FGA/FGF2/HSPG2/ICAM1/ICAM2/ICAM4/ICAM5/ITGA11/ITGA5/ITGAM/ITGAV/JAM2/JAM3/KDR/LAMA4/LTBP2/LTBP3/MFAP4/MMP1/MMP10/MMP12/MMP3/MMP7/NCAN/P4HB/PRSS2/SDC1/SDC4/SPP1/TGFB1/TIMP1/TNC/TTR/VCAM1",63
"R-HSA-381426","R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","39/553","125/10891",5.81913108470199e-21,1.67784946275574e-18,1.48234707631356e-18,"APOA2/CDH2/CHGB/CHRDL1/CKAP4/CSF1/CST3/DMP1/FAM20A/FGA/FGF23/FSTL1/FSTL3/GAS6/HRC/IGFBP1/IGFBP2/IGFBP3/IGFBP4/IGFBP6/IGFBP7/IL6/LGALS1/MMP1/MSLN/P4HB/PCSK9/PENK/SCG2/SCG3/SERPINA1/SHISA5/SPP1/STC2/TF/TGOLN2/TIMP1/TNC/VWA1",39
"R-HSA-8957275","R-HSA-8957275","Post-translational protein phosphorylation","36/553","108/10891",1.58927244390497e-20,3.4368016599445e-18,3.0363468270395e-18,"APOA2/CDH2/CHGB/CHRDL1/CKAP4/CSF1/CST3/DMP1/FAM20A/FGA/FGF23/FSTL1/FSTL3/GAS6/HRC/IGFBP1/IGFBP3/IGFBP4/IGFBP7/IL6/LGALS1/MSLN/P4HB/PCSK9/PENK/SCG2/SCG3/SERPINA1/SHISA5/SPP1/STC2/TF/TGOLN2/TIMP1/TNC/VWA1",36
"R-HSA-5669034","R-HSA-5669034","TNFs bind their physiological receptors","17/553","29/10891",2.2935034074896e-15,3.967760894957e-13,3.50543889228936e-13,"CD27/CD70/EDA2R/EDAR/TNFRSF11B/TNFRSF13B/TNFRSF14/TNFRSF17/TNFRSF1A/TNFRSF1B/TNFRSF4/TNFRSF6B/TNFRSF8/TNFRSF9/TNFSF13/TNFSF13B/TNFSF8",17
"R-HSA-6783783","R-HSA-6783783","Interleukin-10 signaling","20/553","47/10891",2.50472511201884e-14,3.61097870316049e-12,3.19022882688715e-12,"CCL20/CCL3/CCL4/CD80/CSF1/CXCL10/CXCL8/FCER2/ICAM1/IL10/IL10RB/IL12B/IL18/IL1R1/IL1RN/IL6/TIMP1/TNF/TNFRSF1A/TNFRSF1B",20
"R-HSA-6798695","R-HSA-6798695","Neutrophil degranulation","66/553","482/10891",7.84561111913071e-14,9.69493374006866e-12,8.56528371802841e-12,"ACAA1/ADA2/ADAM8/ARG1/ATP6AP2/B2M/B4GALT1/BST2/CANT1/CD14/CD300A/CD55/CD59/CD93/CEACAM8/CFD/CFP/CHI3L1/CKAP4/CLEC4D/CLEC5A/CST3/CSTB/CTSB/CTSD/CTSS/CTSZ/FABP5/FCAR/GM2A/GRN/HPSE/IGF2R/ITGAM/ITGAV/LAIR1/LCN2/LGALS3/LILRB2/LRG1/NFASC/NHLRC3/NPC2/ORM1/OSCAR/PGLYRP1/PIGR/PLAUR/PRG2/PRSS2/PSAP/PTPRN2/PTX3/QPCT/RAB6A/RETN/RNASET2/S100P/SERPINA1/SERPINA3/SIGLEC5/SIRPA/SIRPB1/TNFRSF1B/TTR/TXNDC5",66
"R-HSA-216083","R-HSA-216083","Integrin cell surface interactions","24/553","85/10891",2.57316097538788e-12,2.78223030463814e-10,2.45804587912052e-10,"AGRN/BSG/CDH1/COL18A1/COL3A1/COL4A1/COL5A1/COL6A3/FGA/HSPG2/ICAM1/ICAM2/ICAM4/ICAM5/ITGA11/ITGA5/ITGAM/ITGAV/JAM2/JAM3/KDR/SPP1/TNC/VCAM1",24
"R-HSA-380108","R-HSA-380108","Chemokine receptors bind chemokines","19/553","59/10891",3.92990693365859e-11,3.77707721957187e-09,3.33697360682589e-09,"CCL11/CCL16/CCL17/CCL20/CCL21/CCL25/CCL27/CCL28/CCL3/CCL4/CCL7/CX3CL1/CXCL10/CXCL11/CXCL13/CXCL16/CXCL8/CXCL9/XCL1",19
"R-HSA-1474228","R-HSA-1474228","Degradation of the extracellular matrix","29/553","140/10891",6.11548540126287e-11,5.28989487209239e-09,4.67351831717563e-09,"ADAM8/ADAM9/ADAMTS4/ADAMTS8/BCAN/BSG/CDH1/COL15A1/COL18A1/COL3A1/COL4A1/COL5A1/COL6A3/CTSB/CTSD/CTSL/CTSS/CTSV/DCN/ELN/HSPG2/MMP1/MMP10/MMP12/MMP3/MMP7/PRSS2/SPP1/TIMP1",29
"R-HSA-449147","R-HSA-449147","Signaling by Interleukins","59/553","473/10891",9.17431145914369e-11,7.21434492014481e-09,6.37373217161562e-09,"AGER/CCL11/CCL20/CCL3/CCL4/CD4/CD80/CSF1/CSF1R/CXCL10/CXCL8/FCER2/FGF2/HAVCR2/HGF/ICAM1/IFNL1/IFNLR1/IL10/IL10RB/IL12B/IL12RB1/IL15/IL15RA/IL17A/IL17C/IL18/IL18BP/IL18R1/IL19/IL1R1/IL1RL1/IL1RN/IL22/IL2RA/IL32/IL4R/IL5RA/IL6/IL6ST/ITGAM/JUN/LBP/LCN2/LGALS9/LIFR/MMP1/MMP3/OSMR/P4HB/SDC1/SOD2/TGFB1/TIMP1/TNF/TNFRSF1A/TNFRSF1B/VCAM1/VEGFA",59
"R-HSA-202733","R-HSA-202733","Cell surface interactions at the vascular wall","28/553","137/10891",1.83251667340891e-10,1.32093910208226e-08,1.16702377622357e-08,"ANGPT2/BSG/CD48/CD74/CD99/CD99L2/CEACAM5/CEACAM8/CXADR/ESAM/FCAMR/GAS6/ITGA5/ITGAM/ITGAV/JAM2/JAM3/JCHAIN/MMP1/PROS1/PSG1/SDC1/SDC4/SIRPA/TGFB1/THBD/TNFRSF10A/TNFRSF10B",28
