"Unnamed: 0","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-5669034","R-HSA-5669034","TNFs bind their physiological receptors","12/271","29/10891",1.57505479134602e-12,9.78109025425876e-10,8.53845492150735e-10,"CD27/EDA2R/TNFRSF11B/TNFRSF14/TNFRSF1A/TNFRSF1B/TNFRSF4/TNFRSF6B/TNFRSF8/TNFRSF9/TNFSF11/TNFSF13",12
"R-HSA-198933","R-HSA-198933","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell","21/271","134/10891",1.34230704098539e-11,3.32710364787364e-09,2.90441288016768e-09,"B2M/CD1C/CD300A/CD300C/CD300E/CD40/CD99/COLEC12/CXADR/HLA-E/LAIR1/LILRA5/LILRB4/NCR3LG1/NECTIN2/NPDC1/OSCAR/PILRA/PILRB/SIGLEC1/TREM2",21
"R-HSA-8957275","R-HSA-8957275","Post-translational protein phosphorylation","19/271","108/10891",1.60729644824813e-11,3.32710364787364e-09,2.90441288016768e-09,"APOA2/CKAP4/CSF1/CST3/FGF23/FSTL1/FSTL3/IGFBP4/IGFBP7/IL6/LGALS1/MATN3/MSLN/PENK/SHISA5/SPP1/TIMP1/TNC/VWA1",19
"R-HSA-381426","R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","20/271","125/10891",2.83492511649034e-11,4.40122124335125e-09,3.8420695657698e-09,"APOA2/CKAP4/CSF1/CST3/FGF23/FSTL1/FSTL3/IGFBP2/IGFBP4/IGFBP7/IL6/LGALS1/MATN3/MSLN/PENK/SHISA5/SPP1/TIMP1/TNC/VWA1",20
"R-HSA-1474244","R-HSA-1474244","Extracellular matrix organization","30/271","300/10891",6.94517850791274e-11,8.62591170682763e-09,7.53003564542118e-09,"ACAN/ADAM12/ADAM9/ADAMTS8/AGRN/BCAN/BSG/COL18A1/COL6A3/COL9A1/COMP/CTSL/DCN/EFEMP1/ELN/HSPG2/ITGA11/LAMA4/LTBP2/MATN3/MMP12/MMP13/MMP3/MMP7/NCAN/SPP1/TGFB1/TIMP1/TNC/TNR",30
"R-HSA-5668541","R-HSA-5668541","TNFR2 non-canonical NF-kB pathway","17/271","102/10891",4.6922036015788e-10,4.85643072763406e-08,4.23944711370716e-08,"CD27/CD40/EDA2R/LTBR/TNF/TNFRSF11A/TNFRSF11B/TNFRSF12A/TNFRSF14/TNFRSF1A/TNFRSF1B/TNFRSF4/TNFRSF6B/TNFRSF8/TNFRSF9/TNFSF11/TNFSF13",17
"R-HSA-6783783","R-HSA-6783783","Interleukin-10 signaling","12/271","47/10891",1.06363733885566e-09,9.4359826775624e-08,8.23719142121304e-08,"CCL3/CCL5/CD80/CSF1/IL10/IL10RB/IL1R1/IL6/TIMP1/TNF/TNFRSF1A/TNFRSF1B",12
"R-HSA-3000178","R-HSA-3000178","ECM proteoglycans","14/271","76/10891",4.31515010621062e-09,3.34963526994599e-07,2.92408197986641e-07,"ACAN/AGRN/BCAN/COL6A3/COL9A1/COMP/DCN/HSPG2/LAMA4/MATN3/NCAN/TGFB1/TNC/TNR",14
"R-HSA-1474228","R-HSA-1474228","Degradation of the extracellular matrix","18/271","140/10891",1.06549010915031e-08,7.35188175313712e-07,6.41786440014513e-07,"ACAN/ADAM9/ADAMTS8/BCAN/BSG/COL18A1/COL6A3/COL9A1/CTSL/DCN/ELN/HSPG2/MMP12/MMP13/MMP3/MMP7/SPP1/TIMP1",18
"R-HSA-6798695","R-HSA-6798695","Neutrophil degranulation","30/271","482/10891",3.29610832788617e-06,0.00020468832716173,0.00017868376724856,"B2M/B4GALT1/BST2/CANT1/CD14/CD300A/CD59/CHI3L1/CKAP4/CLEC5A/CST3/CSTB/CTSZ/GM2A/IGF2R/LAIR1/LGALS3/LTA4H/MME/NHLRC3/NPC2/OSCAR/PIGR/PLAUR/PRG2/PSAP/RAB6A/RNASET2/SIRPB1/TNFRSF1B",30
"R-HSA-3560782","R-HSA-3560782","Diseases associated with glycosaminoglycan metabolism","8/271","41/10891",6.20968084468019e-06,0.00035056470950421,0.0003060273334938,"ACAN/AGRN/B4GALT1/BCAN/DCN/HSPG2/NCAN/OGN",8
"R-HSA-380108","R-HSA-380108","Chemokine receptors bind chemokines","9/271","59/10891",1.35376200603625e-05,0.00070057183812376,0.00061156792377953,"CCL16/CCL17/CCL21/CCL25/CCL3/CCL5/CCL7/CXCL13/CXCL9",9
"R-HSA-1442490","R-HSA-1442490","Collagen degradation","9/271","64/10891",2.66174627957332e-05,0.00127149572278079,0.0011099589748828,"ADAM9/COL18A1/COL6A3/COL9A1/CTSL/MMP12/MMP13/MMP3/MMP7",9
"R-HSA-202733","R-HSA-202733","Cell surface interactions at the vascular wall","13/271","137/10891",3.58856332277612e-05,0.00159178415960283,0.0013895564746088,"ANGPT2/BSG/CD74/CD99/CD99L2/CEACAM5/CXADR/ESAM/MERTK/TGFB1/THBD/TNFRSF10A/TNFRSF10B",13
"R-HSA-216083","R-HSA-216083","Integrin cell surface interactions","10/271","85/10891",4.65931554939966e-05,0.00188645508218671,0.00164679102860608,"AGRN/BSG/COL18A1/COL6A3/COL9A1/COMP/HSPG2/ITGA11/SPP1/TNC",10
"R-HSA-449147","R-HSA-449147","Signaling by Interleukins","27/271","473/10891",4.86043177374997e-05,0.00188645508218671,0.00164679102860608,"CCL3/CCL5/CD4/CD80/CSF1/HAVCR2/HGF/IL10/IL10RB/IL15/IL15RA/IL18BP/IL18R1/IL1R1/IL1RL1/IL2RA/IL4R/IL6/LGALS9/MMP3/SOD2/TGFB1/TIMP1/TNF/TNFRSF1A/TNFRSF1B/VEGFA",27
"R-HSA-3781865","R-HSA-3781865","Diseases of glycosylation","13/271","143/10891",5.62778960874695e-05,0.0020557984394305,0.00179462021579237,"ACAN/ADAMTS8/ADAMTSL2/AGRN/B4GALT1/BCAN/DCN/HSPG2/NCAN/OGN/SPON1/SPON2/THBS2",13
"R-HSA-5676594","R-HSA-5676594","TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway","5/271","18/10891",6.03796756420891e-05,0.00208309880965207,0.00181845221963017,"CD40/LTBR/TNFRSF11A/TNFRSF12A/TNFSF11",5
"R-HSA-9694614","R-HSA-9694614","Attachment and Entry","5/271","19/10891",8.02867965033241e-05,0.00262411055939812,0.00229073131297573,"ACE2/AGRN/CTSL/HAVCR1/HSPG2",5
"R-HSA-3560783","R-HSA-3560783","Defective B4GALT7 causes EDS, progeroid type","5/271","20/10891",0.00010488554284396,0.00296063282300452,0.00258450021840381,"AGRN/BCAN/DCN/HSPG2/NCAN",5
"R-HSA-3560801","R-HSA-3560801","Defective B3GAT3 causes JDSSDHD","5/271","20/10891",0.00010488554284396,0.00296063282300452,0.00258450021840381,"AGRN/BCAN/DCN/HSPG2/NCAN",5
"R-HSA-4420332","R-HSA-4420332","Defective B3GALT6 causes EDSP2 and SEMDJL1","5/271","20/10891",0.00010488554284396,0.00296063282300452,0.00258450021840381,"AGRN/BCAN/DCN/HSPG2/NCAN",5
"R-HSA-2024101","R-HSA-2024101","CS/DS degradation","4/271","14/10891",0.00030822542408152,0.00832208645020107,0.00726480976668117,"BCAN/DCN/HYAL1/NCAN",4
"R-HSA-6785807","R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling","10/271","108/10891",0.0003492825987745,0.00903768724329021,0.00788949729688018,"HGF/IL10/IL4R/IL6/MMP3/TGFB1/TIMP1/TNF/TNFRSF1B/VEGFA",10
"R-HSA-1971475","R-HSA-1971475","A tetrasaccharide linker sequence is required for GAG synthesis","5/271","26/10891",0.00039379322243838,0.00978182364536945,0.00853909513919022,"AGRN/BCAN/DCN/HSPG2/NCAN",5
"R-HSA-5668914","R-HSA-5668914","Diseases of metabolism","16/271","249/10891",0.00049264557153862,0.0117666499971341,0.0102717598924045,"ACAN/ADAMTS8/ADAMTSL2/AGRN/AMN/B4GALT1/BCAN/DCN/GGT1/HSPG2/HYAL1/NCAN/OGN/SPON1/SPON2/THBS2",16
"R-HSA-2219530","R-HSA-2219530","Constitutive Signaling by Aberrant PI3K in Cancer","8/271","78/10891",0.00068863295484222,0.0158385579613712,0.0138263536742202,"AREG/CD80/EGFR/ERBB4/FGF23/FGFR2/HGF/TGFA",8
"R-HSA-2022090","R-HSA-2022090","Assembly of collagen fibrils and other multimeric structures","7/271","61/10891",0.00075643434937176,0.0167766332485665,0.0146452515009946,"COL18A1/COL6A3/COL9A1/CTSL/MMP13/MMP3/MMP7",7
"R-HSA-2172127","R-HSA-2172127","DAP12 interactions","6/271","45/10891",0.00080943215180572,0.0173330126300468,0.0151309458504519,"B2M/CD300E/CLEC5A/HLA-E/SIRPB1/TREM2",6
"R-HSA-2022377","R-HSA-2022377","Metabolism of Angiotensinogen to Angiotensins","4/271","18/10891",0.00087105430157546,0.0180308240426121,0.0157401040460127,"ACE2/CTSZ/MME/REN",4
"R-HSA-1592389","R-HSA-1592389","Activation of Matrix Metalloproteinases","5/271","33/10891",0.00123261053373336,0.023920348170263,0.0208813955550223,"COL18A1/MMP13/MMP3/MMP7/TIMP1",5
"R-HSA-5694530","R-HSA-5694530","Cargo concentration in the ER","5/271","33/10891",0.00123261053373336,0.023920348170263,0.0208813955550223,"AREG/CD59/CTSZ/FOLR1/TGFA",5
"R-HSA-6811558","R-HSA-6811558","PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling","9/271","106/10891",0.00128037773945202,0.0240943810969607,0.0210333185268832,"AREG/CD80/EGFR/ERBB4/FGF23/FGFR2/HGF/IL1RL1/TGFA",9
"R-HSA-114608","R-HSA-114608","Platelet degranulation","10/271","129/10891",0.00140612581331573,0.0252596616693,0.0220505564195093,"ACTN2/CLEC3B/FAM3C/HGF/PSAP/RARRES2/SELENOP/TGFB1/TIMP1/VEGFA",10
"R-HSA-1793185","R-HSA-1793185","Chondroitin sulfate/dermatan sulfate metabolism","6/271","50/10891",0.00142365242902657,0.0252596616693,0.0220505564195093,"AGRN/BCAN/DCN/HSPG2/HYAL1/NCAN",6
"R-HSA-375276","R-HSA-375276","Peptide ligand-binding receptors","13/271","201/10891",0.00154610773382385,0.0266703584084614,0.0232820316643065,"CCL16/CCL17/CCL21/CCL25/CCL3/CCL5/CCL7/CXCL13/CXCL9/EDN1/GPR37/PENK/PSAP",13
"R-HSA-76005","R-HSA-76005","Response to elevated platelet cytosolic Ca2+","10/271","134/10891",0.00187113227126567,0.0314046794717833,0.0274148824950732,"ACTN2/CLEC3B/FAM3C/HGF/PSAP/RARRES2/SELENOP/TGFB1/TIMP1/VEGFA",10
"R-HSA-199418","R-HSA-199418","Negative regulation of the PI3K/AKT network","9/271","113/10891",0.00200259214902952,0.0327265716986139,0.0285688353670416,"AREG/CD80/EGFR/ERBB4/FGF23/FGFR2/HGF/IL1RL1/TGFA",9
"R-HSA-5083635","R-HSA-5083635","Defective B3GALTL causes PpS","5/271","37/10891",0.00208784840913512,0.0328342875601075,0.0286628665030178,"ADAMTS8/ADAMTSL2/SPON1/SPON2/THBS2",5
"R-HSA-1236977","R-HSA-1236977","Endosomal/Vacuolar pathway","3/271","11/10891",0.00216780320445154,0.0328342875601075,0.0286628665030178,"B2M/CTSL/HLA-E",3
"R-HSA-2022923","R-HSA-2022923","Dermatan sulfate biosynthesis","3/271","11/10891",0.00216780320445154,0.0328342875601075,0.0286628665030178,"BCAN/DCN/NCAN",3
"R-HSA-389948","R-HSA-389948","PD-1 signaling","4/271","23/10891",0.00228577010006785,0.033253265504294,0.0290286155347257,"CD274/CD4/PDCD1/PDCD1LG2",4
"R-HSA-5173214","R-HSA-5173214","O-glycosylation of TSR domain-containing proteins","5/271","38/10891",0.00235610898903211,0.033253265504294,0.0290286155347257,"ADAMTS8/ADAMTSL2/SPON1/SPON2/THBS2",5
"R-HSA-9772572","R-HSA-9772572","Early SARS-CoV-2 Infection Events","5/271","38/10891",0.00235610898903211,0.033253265504294,0.0290286155347257,"ACE2/AGRN/CTSL/HAVCR1/HSPG2",5
"R-HSA-179812","R-HSA-179812","GRB2 events in EGFR signaling","3/271","13/10891",0.00362146457739513,0.0486394168184566,0.0424600384125861,"AREG/EGFR/TGFA",3
"R-HSA-2173782","R-HSA-2173782","Binding and Uptake of Ligands by Scavenger Receptors","5/271","42/10891",0.0036835279653884,0.0486394168184566,0.0424600384125861,"AMBP/COLEC12/HYOU1/MSR1/SCARA5",5
"R-HSA-419037","R-HSA-419037","NCAM1 interactions","5/271","42/10891",0.0036835279653884,0.0486394168184566,0.0424600384125861,"AGRN/COL6A3/COL9A1/GFRA1/NCAN",5
