Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Epiphora,A1BG,Alpha-1B-glycoprotein,19135,67,0.77 [0.20-2.98],0.7090780384902657
"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Epiphora,AAMDC,Mth938 domain-containing protein,18624,64,1.43 [0.92-2.22],0.109202063203668
"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Epiphora,AARSD1,Alanyl-tRNA editing protein Aarsd1,21843,78,0.93 [0.65-1.33],0.6916268763880616
"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Epiphora,ABCA2,ATP-binding cassette sub-family A member 2,18458,65,1.52 [0.83-2.78],0.1718214098344816
"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Epiphora,ABHD14B,Protein ABHD14B,21701,78,1.16 [0.82-1.64],0.4058917439629753
"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Epiphora,ABL1,Tyrosine-protein kinase ABL1,21843,78,1.18 [0.89-1.58],0.2528534505341457
"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Epiphora,ABO,Histo-blood group ABO system transferase,19118,66,1.11 [0.94-1.30],0.2231320990757361
"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Epiphora,ABRAXAS2,BRISC complex subunit Abraxas 2,18458,65,1.14 [0.79-1.63],0.4898280088840642
"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Epiphora,ACAA1,"3-ketoacyl-CoA thiolase, peroxisomal",21465,77,1.00 [0.77-1.28],0.9766524208435496
"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Epiphora,ACADM,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",18753,62,1.17 [0.89-1.55],0.2533396847012032
"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Epiphora,ACADSB,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",19108,67,1.13 [0.88-1.46],0.340234197784248
"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Epiphora,ACAN,Aggrecan core protein,21731,74,1.34 [0.63-2.82],0.447647536261444
"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Epiphora,ACE,Angiotensin-converting enzyme,19118,66,0.71 [0.30-1.67],0.4299060060058925
"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Epiphora,ACE2,Angiotensin-converting enzyme 2,21534,71,0.93 [0.61-1.41],0.7315605137525217
"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Epiphora,ACHE,Acetylcholinesterase,18689,65,0.63 [0.30-1.34],0.2326240318411605
"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Epiphora,ACOT13,Acyl-coenzyme A thioesterase 13,19013,67,1.08 [0.88-1.33],0.4686630841335381
