Protein,Protein_definition,Disease_category,Disease,Method,Nb_SNP,OR[95%CI],P_value
AOC3,Membrane primary amine oxidase,Chapter X Diseases of the respiratory system,"Asthma, unspecified (mode)",Inverse variance weighted,35,1.02 [0.98-1.06],0.320715266073233
AOC3,Membrane primary amine oxidase,Chapter V Mental and behavioural disorders,"Alcohol use disorder, ICD-based",Inverse variance weighted,35,0.95 [0.90-0.99],0.0180188826187365
AOC3,Membrane primary amine oxidase,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process","Diabetic maculopathy, excluding more controls",Inverse variance weighted,36,0.97 [0.88-1.08],0.594269544280355
AOC3,Membrane primary amine oxidase,"Chapter IV Endocrine, nutritional and metabolic diseases",Pure hypercholesterolaemia,Inverse variance weighted,35,1.01 [0.98-1.05],0.429852811958267
AOC3,Membrane primary amine oxidase,"Chapter IV Endocrine, nutritional and metabolic diseases","Hyperlipidaemia, other/unspecified",Inverse variance weighted,35,1.01 [0.96-1.06],0.704746124938127
AOC3,Membrane primary amine oxidase,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of lipoprotein metabolism and other lipidaemias,Inverse variance weighted,35,1.01 [0.98-1.05],0.457459774764879
AOC3,Membrane primary amine oxidase,"Chapter IV Endocrine, nutritional and metabolic diseases",Metabolic disorders,Inverse variance weighted,35,1.01 [0.98-1.04],0.517083165285808
AOC3,Membrane primary amine oxidase,Chapter V Mental and behavioural disorders,Alcohol dependence,Inverse variance weighted,35,0.96 [0.90-1.01],0.118221020485363
AOC3,Membrane primary amine oxidase,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Disorders of choroid and retina,Inverse variance weighted,35,0.98 [0.94-1.01],0.245522538970982
AOC3,Membrane primary amine oxidase,Chapter IX Diseases of the circulatory system,Atrial fibrillation and flutter,Inverse variance weighted,36,1.03 [1.00-1.07],0.0795633787892941
AOC3,Membrane primary amine oxidase,Chapter IX Diseases of the circulatory system,Angina pectoris,Inverse variance weighted,35,0.98 [0.93-1.02],0.303735944074686
AOC3,Membrane primary amine oxidase,Chapter IX Diseases of the circulatory system,Major coronary heart disease event,Inverse variance weighted,35,0.98 [0.95-1.02],0.393700700993253
AOC3,Membrane primary amine oxidase,Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,Inverse variance weighted,35,1.00 [0.96-1.04],0.980789031475635
AOC3,Membrane primary amine oxidase,Chapter IX Diseases of the circulatory system,"Heart failure, strict",Inverse variance weighted,35,1.00 [0.97-1.04],0.930300373430865
AOC3,Membrane primary amine oxidase,Chapter IX Diseases of the circulatory system,"Hypertension, essential",Inverse variance weighted,35,1.02 [0.99-1.05],0.289154724751349
AOC3,Membrane primary amine oxidase,Chapter IX Diseases of the circulatory system,Hypertension,Inverse variance weighted,35,1.01 [0.98-1.05],0.394722492590783
AOC3,Membrane primary amine oxidase,Chapter IX Diseases of the circulatory system,Hypertensive Renal Disease,Inverse variance weighted,36,0.98 [0.84-1.14],0.771800467020936
AOC3,Membrane primary amine oxidase,Chapter IX Diseases of the circulatory system,"Ischaemic heart disease, wide definition",Inverse variance weighted,35,1.00 [0.96-1.03],0.838531134699632
AOC3,Membrane primary amine oxidase,Chapter IX Diseases of the circulatory system,Death due to cardiac causes,Inverse variance weighted,35,0.99 [0.96-1.03],0.747435955769377
AOC3,Membrane primary amine oxidase,Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",Inverse variance weighted,35,1.00 [0.96-1.04],0.819285739765776
AOC3,Membrane primary amine oxidase,Chapter IX Diseases of the circulatory system,Other or ill-defined heart diseases,Inverse variance weighted,35,1.06 [0.93-1.20],0.372470423663534
AOC3,Membrane primary amine oxidase,Chapter IX Diseases of the circulatory system,Secondary right heart disease,Inverse variance weighted,35,1.01 [0.86-1.17],0.948169519572337
AOC3,Membrane primary amine oxidase,Chapter XI Diseases of the digestive system,Other diseases of liver,Inverse variance weighted,35,1.02 [0.95-1.10],0.532967479563905
AOC3,Membrane primary amine oxidase,Chapter XI Diseases of the digestive system,Hernia,Inverse variance weighted,35,1.00 [0.97-1.02],0.745281377216475
AOC3,Membrane primary amine oxidase,Chapter XI Diseases of the digestive system,Diseases of liver,Inverse variance weighted,35,0.99 [0.94-1.04],0.699141646202428
AOC3,Membrane primary amine oxidase,Chapter V Mental and behavioural disorders,"Substance abuse, excluding more controls",Inverse variance weighted,35,0.97 [0.93-1.02],0.207372947754719
AOC3,Membrane primary amine oxidase,Chapter XIV Diseases of the genitourinary system,Acute renal failure,Inverse variance weighted,35,0.96 [0.90-1.02],0.170421487239999
AOC3,Membrane primary amine oxidase,Chapter XIV Diseases of the genitourinary system,Chronic kidney disease,Inverse variance weighted,35,0.99 [0.94-1.05],0.844933690430807
AOC3,Membrane primary amine oxidase,Chapter XIV Diseases of the genitourinary system,Renal tubulo-interstitial diseases,Inverse variance weighted,35,0.99 [0.96-1.02],0.349640409936746
