Protein,Protein_definition,Disease_category,Disease,Method,Nb_SNP,OR[95%CI],P_value
LY9,T-lymphocyte surface antigen Ly-9,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",Inverse variance weighted,36,1.01 [0.90-1.13],0.856895132781582
LY9,T-lymphocyte surface antigen Ly-9,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,Inverse variance weighted,36,1.02 [0.98-1.05],0.30958332873874
LY9,T-lymphocyte surface antigen Ly-9,Chapter I Certain infectious and parasitic diseases,Other septicaemia,Inverse variance weighted,36,1.03 [0.98-1.09],0.264701711746521
LY9,T-lymphocyte surface antigen Ly-9,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,Inverse variance weighted,36,1.00 [0.95-1.05],0.941223782322242
LY9,T-lymphocyte surface antigen Ly-9,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified anaemias,Inverse variance weighted,36,0.97 [0.93-1.02],0.297052056309757
LY9,T-lymphocyte surface antigen Ly-9,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process","Diabetic maculopathy, excluding more controls",Inverse variance weighted,36,1.18 [1.04-1.33],0.0083319188811667
LY9,T-lymphocyte surface antigen Ly-9,Chapter IX Diseases of the circulatory system,"Hypertension, essential",Inverse variance weighted,36,0.99 [0.96-1.02],0.398590619169737
LY9,T-lymphocyte surface antigen Ly-9,Chapter IX Diseases of the circulatory system,Hypertension,Inverse variance weighted,36,0.98 [0.96-1.01],0.197861239809505
LY9,T-lymphocyte surface antigen Ly-9,Chapter IX Diseases of the circulatory system,Death due to cardiac causes,Inverse variance weighted,36,0.97 [0.93-1.02],0.231414913529059
LY9,T-lymphocyte surface antigen Ly-9,Chapter X Diseases of the respiratory system,Influenza and pneumonia,Inverse variance weighted,36,1.02 [0.99-1.05],0.20879499368064
LY9,T-lymphocyte surface antigen Ly-9,Chapter XI Diseases of the digestive system,Diseases of liver,Inverse variance weighted,36,1.02 [0.96-1.07],0.563992785505105
LY9,T-lymphocyte surface antigen Ly-9,Chapter XI Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum",Inverse variance weighted,36,1.00 [0.98-1.03],0.804527121085059
LY9,T-lymphocyte surface antigen Ly-9,Chapter XIV Diseases of the genitourinary system,Chronic kidney disease,Inverse variance weighted,36,1.00 [0.94-1.06],0.973149020031622
LY9,T-lymphocyte surface antigen Ly-9,Chapter XIV Diseases of the genitourinary system,Renal tubulo-interstitial diseases,Inverse variance weighted,36,0.99 [0.96-1.02],0.367925911292843
LY9,T-lymphocyte surface antigen Ly-9,Chapter XIV Diseases of the genitourinary system,Unspecified kidney failure,Inverse variance weighted,36,1.02 [0.90-1.15],0.811110457562811
LY9,T-lymphocyte surface antigen Ly-9,"Chapter XV Pregnancy, childbirth and the puerperium",Complications of labour and delivery,Inverse variance weighted,36,1.02 [0.99-1.05],0.298447895291313
LY9,T-lymphocyte surface antigen Ly-9,"Chapter XV Pregnancy, childbirth and the puerperium",Perineal laceration during delivery,Inverse variance weighted,36,0.97 [0.90-1.05],0.47607448683272
