Protein,Protein_definition,Disease_category,Disease,Method,Nb_SNP,OR[95%CI],P_value
CST6,Cystatin-M,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified anaemias,Inverse variance weighted,32,1.05 [0.97-1.13],0.221400722792017
CST6,Cystatin-M,"Chapter IV Endocrine, nutritional and metabolic diseases","Other disorders of fluid, electrolyte and acid-base balance",Inverse variance weighted,32,0.99 [0.91-1.08],0.879492622748521
CST6,Cystatin-M,"Chapter IV Endocrine, nutritional and metabolic diseases",Volume depletion,Inverse variance weighted,32,1.06 [0.90-1.25],0.453457132288955
CST6,Cystatin-M,Chapter IX Diseases of the circulatory system,"Heart failure, strict",Inverse variance weighted,32,0.98 [0.93-1.04],0.525631326709081
CST6,Cystatin-M,Chapter IX Diseases of the circulatory system,"Hypertension, essential",Inverse variance weighted,32,1.01 [0.96-1.07],0.59150568630474
CST6,Cystatin-M,Chapter IX Diseases of the circulatory system,Hypertension,Inverse variance weighted,32,1.02 [0.97-1.07],0.467280978798841
CST6,Cystatin-M,Chapter IX Diseases of the circulatory system,Hypertensive Renal Disease,Inverse variance weighted,32,0.96 [0.69-1.34],0.821331631524486
CST6,Cystatin-M,Chapter IX Diseases of the circulatory system,Death due to cardiac causes,Inverse variance weighted,32,1.00 [0.93-1.07],0.958068727994385
CST6,Cystatin-M,Chapter XIV Diseases of the genitourinary system,Acute renal failure,Inverse variance weighted,32,1.00 [0.87-1.15],0.972940808632744
CST6,Cystatin-M,Chapter XIV Diseases of the genitourinary system,Chronic kidney disease,Inverse variance weighted,32,0.98 [0.89-1.07],0.645423458763988
CST6,Cystatin-M,Chapter XIV Diseases of the genitourinary system,Other disorders of kidney and ureter,Inverse variance weighted,32,0.96 [0.82-1.12],0.577413860579412
CST6,Cystatin-M,Chapter XIV Diseases of the genitourinary system,Other obstructive and reflux uropathy,Inverse variance weighted,32,1.15 [1.01-1.32],0.0395884860718239
CST6,Cystatin-M,Chapter XIV Diseases of the genitourinary system,Renal tubulo-interstitial diseases,Inverse variance weighted,32,1.00 [0.94-1.06],0.969077681975529
CST6,Cystatin-M,Chapter XIV Diseases of the genitourinary system,Unspecified kidney failure,Inverse variance weighted,32,1.03 [0.86-1.24],0.732658810305588
CST6,Cystatin-M,Chapter XIV Diseases of the genitourinary system,Other diseases of urinary system,Inverse variance weighted,32,1.04 [0.99-1.10],0.0849472879693924
