Protein,Protein_definition,Disease_category,Disease,Method,Nb_SNP,OR[95%CI],P_value
PKD1,Polycystin-1,Chapter V Mental and behavioural disorders,"Alcohol use disorder, ICD-based",Inverse variance weighted,23,0.94 [0.89-1.00],0.0652612753420132
PKD1,Polycystin-1,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process","Diabetic maculopathy, excluding more controls",Inverse variance weighted,23,1.06 [0.91-1.23],0.468462668905899
PKD1,Polycystin-1,"Chapter IV Endocrine, nutritional and metabolic diseases",Pure hypercholesterolaemia,Inverse variance weighted,23,0.98 [0.92-1.06],0.659779808472503
PKD1,Polycystin-1,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of lipoprotein metabolism and other lipidaemias,Inverse variance weighted,23,0.99 [0.92-1.06],0.73015345867747
PKD1,Polycystin-1,"Chapter IV Endocrine, nutritional and metabolic diseases",Metabolic disorders,Inverse variance weighted,23,0.98 [0.94-1.03],0.503718200161903
PKD1,Polycystin-1,Chapter IX Diseases of the circulatory system,Atrial fibrillation and flutter,Inverse variance weighted,23,0.96 [0.90-1.02],0.221793025647316
PKD1,Polycystin-1,Chapter IX Diseases of the circulatory system,Cardiomyopathy,Inverse variance weighted,23,0.95 [0.87-1.04],0.295090905348112
PKD1,Polycystin-1,Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,Inverse variance weighted,23,0.95 [0.90-1.00],0.071478807132586
PKD1,Polycystin-1,Chapter IX Diseases of the circulatory system,"Heart failure, strict",Inverse variance weighted,23,1.00 [0.95-1.05],0.898115899549412
PKD1,Polycystin-1,Chapter IX Diseases of the circulatory system,"Hypertension, essential",Inverse variance weighted,23,0.97 [0.92-1.01],0.151759628336055
PKD1,Polycystin-1,Chapter IX Diseases of the circulatory system,Hypertension,Inverse variance weighted,23,0.96 [0.92-1.01],0.131693622901117
PKD1,Polycystin-1,Chapter IX Diseases of the circulatory system,"Ischaemic heart disease, wide definition",Inverse variance weighted,23,0.95 [0.91-1.00],0.0494575850665045
PKD1,Polycystin-1,Chapter IX Diseases of the circulatory system,Death due to cardiac causes,Inverse variance weighted,23,0.97 [0.91-1.02],0.217324511831681
PKD1,Polycystin-1,Chapter IX Diseases of the circulatory system,Other or ill-defined heart diseases,Inverse variance weighted,23,1.03 [0.86-1.23],0.747916864238577
PKD1,Polycystin-1,Chapter XI Diseases of the digestive system,Diseases of liver,Inverse variance weighted,23,1.00 [0.93-1.07],0.893817147299874
PKD1,Polycystin-1,Chapter XIV Diseases of the genitourinary system,Unspecified kidney failure,Inverse variance weighted,23,0.95 [0.83-1.09],0.49061909006955
