Protein,Protein_definition,Disease_category,Disease,Method,Nb_SNP,OR[95%CI],P_value
SLAMF8,SLAM family member 8,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",Inverse variance weighted,28,0.99 [0.94-1.05],0.816909558310888
SLAMF8,SLAM family member 8,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,Inverse variance weighted,28,1.00 [0.99-1.02],0.670573579665386
SLAMF8,SLAM family member 8,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,Inverse variance weighted,28,0.90 [0.76-1.08],0.272820392825685
SLAMF8,SLAM family member 8,Chapter I Certain infectious and parasitic diseases,Other septicaemia,Inverse variance weighted,28,1.01 [0.98-1.04],0.506117807100218
SLAMF8,SLAM family member 8,Chapter X Diseases of the respiratory system,"Asthma, unspecified (mode)",Inverse variance weighted,28,0.98 [0.96-1.01],0.170645307122736
SLAMF8,SLAM family member 8,Chapter V Mental and behavioural disorders,"Alcohol use disorder, ICD-based",Inverse variance weighted,28,1.01 [0.99-1.04],0.2292595625161
SLAMF8,SLAM family member 8,Chapter II Neoplasms,"Non-Hodgkin lymphoma, all, excluding all cancers (controls excluding all cancers)",Inverse variance weighted,28,0.99 [0.89-1.10],0.814621783360949
SLAMF8,SLAM family member 8,Chapter X Diseases of the respiratory system,Early onset COPD,Inverse variance weighted,28,1.01 [0.97-1.04],0.647225478168459
SLAMF8,SLAM family member 8,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Agranulocytosis,Inverse variance weighted,28,1.02 [0.97-1.08],0.426921113995798
SLAMF8,SLAM family member 8,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified anaemias,Inverse variance weighted,28,1.02 [0.99-1.04],0.188442211464089
SLAMF8,SLAM family member 8,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process","Diabetic maculopathy, excluding more controls",Inverse variance weighted,28,1.00 [0.95-1.05],0.955374897464234
SLAMF8,SLAM family member 8,"Chapter IV Endocrine, nutritional and metabolic diseases","Other disorders of fluid, electrolyte and acid-base balance",Inverse variance weighted,28,1.01 [0.98-1.04],0.524387489070593
SLAMF8,SLAM family member 8,"Chapter IV Endocrine, nutritional and metabolic diseases",Metabolic disorders,Inverse variance weighted,28,0.99 [0.98-1.00],0.170384923794675
SLAMF8,SLAM family member 8,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of the thyroid gland,Inverse variance weighted,28,1.00 [0.98-1.02],0.835511820441811
SLAMF8,SLAM family member 8,Chapter V Mental and behavioural disorders,Alcohol dependence,Inverse variance weighted,28,1.00 [0.97-1.04],0.809216284403619
SLAMF8,SLAM family member 8,Chapter V Mental and behavioural disorders,Depression,Inverse variance weighted,28,1.01 [0.99-1.02],0.486273376989051
SLAMF8,SLAM family member 8,Chapter V Mental and behavioural disorders,Depression or dysthymia,Inverse variance weighted,28,1.00 [0.98-1.01],0.663192175579282
SLAMF8,SLAM family member 8,Chapter IX Diseases of the circulatory system,Atrial fibrillation and flutter,Inverse variance weighted,28,0.99 [0.97-1.01],0.45734100668763
SLAMF8,SLAM family member 8,Chapter IX Diseases of the circulatory system,Angina pectoris,Inverse variance weighted,28,0.99 [0.97-1.01],0.16936570698798
SLAMF8,SLAM family member 8,Chapter IX Diseases of the circulatory system,Major coronary heart disease event,Inverse variance weighted,28,0.98 [0.96-1.00],0.030198116849364
SLAMF8,SLAM family member 8,Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,Inverse variance weighted,28,0.99 [0.97-1.00],0.144110142996864
SLAMF8,SLAM family member 8,Chapter IX Diseases of the circulatory system,"Heart failure, strict",Inverse variance weighted,28,1.00 [0.98-1.03],0.73421535728882
SLAMF8,SLAM family member 8,Chapter IX Diseases of the circulatory system,"Hypertension, essential",Inverse variance weighted,28,0.99 [0.98-1.01],0.194093404246443
SLAMF8,SLAM family member 8,Chapter IX Diseases of the circulatory system,Hypertension,Inverse variance weighted,28,0.99 [0.97-1.01],0.30824319168297
SLAMF8,SLAM family member 8,Chapter IX Diseases of the circulatory system,Hypertensive Renal Disease,Inverse variance weighted,28,1.15 [1.04-1.26],0.0042910717752691
SLAMF8,SLAM family member 8,Chapter IX Diseases of the circulatory system,"Ischaemic heart disease, wide definition",Inverse variance weighted,28,0.99 [0.97-1.00],0.127331753819086
SLAMF8,SLAM family member 8,Chapter IX Diseases of the circulatory system,Death due to cardiac causes,Inverse variance weighted,28,0.99 [0.97-1.02],0.535226854056206
SLAMF8,SLAM family member 8,Chapter IX Diseases of the circulatory system,Other or ill-defined heart diseases,Inverse variance weighted,28,1.01 [0.93-1.09],0.897169658963711
SLAMF8,SLAM family member 8,Chapter IX Diseases of the circulatory system,Other peripheral vascular diseases,Inverse variance weighted,28,1.02 [0.96-1.09],0.464193401655864
SLAMF8,SLAM family member 8,Chapter IX Diseases of the circulatory system,Venous thromboembolism,Inverse variance weighted,28,1.02 [0.99-1.05],0.132165075202343
SLAMF8,SLAM family member 8,Chapter X Diseases of the respiratory system,Interstitial lung disease,Inverse variance weighted,28,1.01 [0.96-1.05],0.705287207650148
SLAMF8,SLAM family member 8,Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,Inverse variance weighted,28,1.02 [0.95-1.09],0.566208060489627
SLAMF8,SLAM family member 8,Chapter X Diseases of the respiratory system,Unspecified acute lower respiratory infection,Inverse variance weighted,28,1.01 [0.97-1.06],0.579291049032782
SLAMF8,SLAM family member 8,Chapter X Diseases of the respiratory system,"Asthma, excluding more controls",Inverse variance weighted,28,0.99 [0.97-1.01],0.214322955339391
SLAMF8,SLAM family member 8,Chapter X Diseases of the respiratory system,Influenza and pneumonia,Inverse variance weighted,28,0.99 [0.97-1.00],0.0965067735399137
SLAMF8,SLAM family member 8,Chapter X Diseases of the respiratory system,Chronic lower respiratory diseases,Inverse variance weighted,28,1.00 [0.98-1.01],0.542983635474659
SLAMF8,SLAM family member 8,Chapter X Diseases of the respiratory system,Other acute lower respiratory infections,Inverse variance weighted,28,1.00 [0.97-1.03],0.992265608801802
SLAMF8,SLAM family member 8,Chapter X Diseases of the respiratory system,Other diseases of pleura,Inverse variance weighted,28,1.01 [0.98-1.04],0.466666492172976
SLAMF8,SLAM family member 8,Chapter XI Diseases of the digestive system,"Crohn disease (strict definition, require KELA, min 2 HDR)",Inverse variance weighted,28,0.99 [0.92-1.07],0.872705368832041
SLAMF8,SLAM family member 8,Chapter XI Diseases of the digestive system,Coeliac disease,Inverse variance weighted,28,1.04 [0.98-1.10],0.248458250744331
SLAMF8,SLAM family member 8,Chapter XI Diseases of the digestive system,Other diseases of liver,Inverse variance weighted,28,1.00 [0.96-1.04],0.943006306501828
SLAMF8,SLAM family member 8,Chapter XI Diseases of the digestive system,Noninfective enteritis and colitis,Inverse variance weighted,28,1.03 [1.01-1.06],0.0030154720439023
SLAMF8,SLAM family member 8,Chapter XI Diseases of the digestive system,Other diseases of intestines,Inverse variance weighted,28,1.00 [0.99-1.01],0.835673471956981
SLAMF8,SLAM family member 8,Chapter XI Diseases of the digestive system,Diseases of liver,Inverse variance weighted,28,1.00 [0.97-1.03],0.922269448871701
SLAMF8,SLAM family member 8,Chapter XI Diseases of the digestive system,Intestinal malabsorption,Inverse variance weighted,28,0.99 [0.92-1.08],0.875930109768057
SLAMF8,SLAM family member 8,Chapter XI Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum",Inverse variance weighted,28,1.00 [0.99-1.01],0.911613047312845
SLAMF8,SLAM family member 8,Chapter XI Diseases of the digestive system,Diseases of the digestive system,Inverse variance weighted,28,1.02 [1.00-1.05],0.07962117864736
SLAMF8,SLAM family member 8,Chapter XI Diseases of the digestive system,Other noninfective gastroenteritis and colitis,Inverse variance weighted,28,1.04 [1.01-1.08],0.021276582759694
SLAMF8,SLAM family member 8,Chapter XI Diseases of the digestive system,Other functional intestinal disorders,Inverse variance weighted,28,1.02 [0.99-1.05],0.256807868363493
SLAMF8,SLAM family member 8,Chapter V Mental and behavioural disorders,Any mental disorder,Inverse variance weighted,28,1.00 [0.99-1.01],0.92423378587026
SLAMF8,SLAM family member 8,Chapter V Mental and behavioural disorders,"Substance abuse, excluding more controls",Inverse variance weighted,28,1.00 [0.98-1.02],0.804566917157873
SLAMF8,SLAM family member 8,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Arthropathies,Inverse variance weighted,28,1.01 [0.99-1.02],0.314587973115726
SLAMF8,SLAM family member 8,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Polyarthropathies,Inverse variance weighted,28,1.02 [1.00-1.03],0.0713156706676278
SLAMF8,SLAM family member 8,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Rheumatoid arthritis,Inverse variance weighted,28,1.03 [1.00-1.06],0.0266947346163637
SLAMF8,SLAM family member 8,Chapter XIV Diseases of the genitourinary system,Acute renal failure,Inverse variance weighted,28,0.99 [0.94-1.04],0.64370194118619
