Protein,Protein_definition,Disease_category,Disease,Method,Nb_SNP,OR[95%CI],P_value
PRELP,Prolargin,Chapter I Certain infectious and parasitic diseases,Other septicaemia,Inverse variance weighted,14,1.02 [0.95-1.10],0.624342224847402
PRELP,Prolargin,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Agranulocytosis,Inverse variance weighted,14,1.13 [0.97-1.31],0.117203887688168
PRELP,Prolargin,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified anaemias,Inverse variance weighted,14,1.05 [0.96-1.14],0.310696872816752
PRELP,Prolargin,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process","Diabetic maculopathy, excluding more controls",Inverse variance weighted,14,0.79 [0.69-0.91],0.0009915579978754
PRELP,Prolargin,"Chapter IV Endocrine, nutritional and metabolic diseases","Other disorders of fluid, electrolyte and acid-base balance",Inverse variance weighted,14,1.05 [0.94-1.16],0.40100506417453
PRELP,Prolargin,"Chapter IV Endocrine, nutritional and metabolic diseases",Metabolic disorders,Inverse variance weighted,14,0.99 [0.95-1.03],0.588114062743021
PRELP,Prolargin,"Chapter IV Endocrine, nutritional and metabolic diseases",Volume depletion,Inverse variance weighted,14,1.08 [0.92-1.26],0.35537119823603
PRELP,Prolargin,Chapter VI Diseases of the nervous system,Carpal tunnel syndrome,Inverse variance weighted,14,1.07 [0.99-1.15],0.0944048727245847
PRELP,Prolargin,Chapter VI Diseases of the nervous system,"Nerve, nerve root and plexus disorders",Inverse variance weighted,14,1.04 [0.99-1.08],0.135149281621986
PRELP,Prolargin,Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Gout, unspecified",Inverse variance weighted,14,1.07 [0.94-1.22],0.32305186513528
PRELP,Prolargin,Chapter IX Diseases of the circulatory system,Atrial fibrillation and flutter,Inverse variance weighted,14,0.97 [0.92-1.03],0.341588843570639
PRELP,Prolargin,Chapter IX Diseases of the circulatory system,"Heart failure, strict",Inverse variance weighted,14,1.00 [0.95-1.06],0.913323075911195
PRELP,Prolargin,Chapter IX Diseases of the circulatory system,"Hypertension, essential",Inverse variance weighted,14,0.99 [0.94-1.04],0.675045195422078
PRELP,Prolargin,Chapter IX Diseases of the circulatory system,Hypertension,Inverse variance weighted,14,0.99 [0.94-1.04],0.636282322718516
PRELP,Prolargin,Chapter IX Diseases of the circulatory system,Hypertensive Renal Disease,Inverse variance weighted,14,1.33 [1.02-1.73],0.0334269907209227
PRELP,Prolargin,Chapter IX Diseases of the circulatory system,Death due to cardiac causes,Inverse variance weighted,14,1.01 [0.95-1.08],0.773817360358091
PRELP,Prolargin,Chapter X Diseases of the respiratory system,Influenza and pneumonia,Inverse variance weighted,14,0.95 [0.92-0.98],0.0047372042634399
PRELP,Prolargin,Chapter X Diseases of the respiratory system,Pleural effusion,Inverse variance weighted,14,0.90 [0.80-1.03],0.115942115300919
PRELP,Prolargin,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Arthropathies,Inverse variance weighted,14,1.02 [0.99-1.05],0.1071438341654
PRELP,Prolargin,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Arthrosis,Inverse variance weighted,14,1.02 [0.98-1.05],0.364008877732272
PRELP,Prolargin,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other joint disorders,Inverse variance weighted,14,1.01 [0.98-1.05],0.459995888802628
PRELP,Prolargin,Chapter XIV Diseases of the genitourinary system,Acute renal failure,Inverse variance weighted,14,1.07 [0.96-1.19],0.215645393993371
PRELP,Prolargin,Chapter XIV Diseases of the genitourinary system,Chronic kidney disease,Inverse variance weighted,14,1.07 [0.98-1.17],0.123176543280381
PRELP,Prolargin,Chapter XIV Diseases of the genitourinary system,Other disorders of kidney and ureter,Inverse variance weighted,14,1.08 [0.95-1.24],0.247321845946951
PRELP,Prolargin,Chapter XIV Diseases of the genitourinary system,Renal tubulo-interstitial diseases,Inverse variance weighted,14,1.00 [0.96-1.05],0.990033990434764
PRELP,Prolargin,Chapter XIV Diseases of the genitourinary system,Unspecified kidney failure,Inverse variance weighted,14,1.02 [0.87-1.20],0.780216303513813
