Protein,Protein_definition,Disease_category,Disease,Method,Nb_SNP,OR[95%CI],P_value
PRSS2,Trypsin-2,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,Inverse variance weighted,22,1.01 [0.97-1.06],0.58593841227977
PRSS2,Trypsin-2,Chapter I Certain infectious and parasitic diseases,Other septicaemia,Inverse variance weighted,22,1.05 [0.97-1.15],0.218516378249516
PRSS2,Trypsin-2,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,Inverse variance weighted,22,1.03 [0.94-1.13],0.529550227244966
PRSS2,Trypsin-2,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified anaemias,Inverse variance weighted,22,0.97 [0.90-1.05],0.51547358823411
PRSS2,Trypsin-2,"Chapter IV Endocrine, nutritional and metabolic diseases","Other disorders of fluid, electrolyte and acid-base balance",Inverse variance weighted,22,0.97 [0.87-1.09],0.64942037493144
PRSS2,Trypsin-2,"Chapter IV Endocrine, nutritional and metabolic diseases",Pure hypercholesterolaemia,Inverse variance weighted,22,0.94 [0.85-1.03],0.187822798061639
PRSS2,Trypsin-2,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of lipoprotein metabolism and other lipidaemias,Inverse variance weighted,22,0.93 [0.86-1.02],0.125947708489589
PRSS2,Trypsin-2,"Chapter IV Endocrine, nutritional and metabolic diseases",Metabolic disorders,Inverse variance weighted,22,0.93 [0.87-1.00],0.0438431432756795
PRSS2,Trypsin-2,"Chapter IV Endocrine, nutritional and metabolic diseases",Volume depletion,Inverse variance weighted,22,0.80 [0.64-1.00],0.0536089768900168
PRSS2,Trypsin-2,Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Gout, unspecified",Inverse variance weighted,22,0.90 [0.77-1.04],0.157919915450207
PRSS2,Trypsin-2,Chapter IX Diseases of the circulatory system,Atrial fibrillation and flutter,Inverse variance weighted,22,0.96 [0.89-1.04],0.281817550845534
PRSS2,Trypsin-2,Chapter IX Diseases of the circulatory system,Cardiomyopathy,Inverse variance weighted,22,1.04 [0.92-1.17],0.515492905074406
PRSS2,Trypsin-2,Chapter IX Diseases of the circulatory system,Major coronary heart disease event,Inverse variance weighted,22,0.99 [0.94-1.04],0.697714804191754
PRSS2,Trypsin-2,Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,Inverse variance weighted,22,0.96 [0.91-1.01],0.14804398857045
PRSS2,Trypsin-2,Chapter IX Diseases of the circulatory system,"Heart failure, strict",Inverse variance weighted,22,0.99 [0.93-1.06],0.763026927392011
PRSS2,Trypsin-2,Chapter IX Diseases of the circulatory system,"Hypertension, essential",Inverse variance weighted,22,0.96 [0.89-1.03],0.230115462847888
PRSS2,Trypsin-2,Chapter IX Diseases of the circulatory system,Hypertension,Inverse variance weighted,22,0.96 [0.89-1.03],0.239296519090539
PRSS2,Trypsin-2,Chapter IX Diseases of the circulatory system,"Hypertension, Pulmonary Arterial",Inverse variance weighted,22,0.95 [0.51-1.75],0.86613927667295
PRSS2,Trypsin-2,Chapter IX Diseases of the circulatory system,Hypertensive Renal Disease,Inverse variance weighted,22,1.11 [0.80-1.54],0.543948295665713
PRSS2,Trypsin-2,Chapter IX Diseases of the circulatory system,"Ischaemic heart disease, wide definition",Inverse variance weighted,22,0.96 [0.91-1.00],0.0512734261320912
PRSS2,Trypsin-2,Chapter IX Diseases of the circulatory system,Death due to cardiac causes,Inverse variance weighted,22,1.00 [0.93-1.08],0.920396919394328
PRSS2,Trypsin-2,Chapter IX Diseases of the circulatory system,Other or ill-defined heart diseases,Inverse variance weighted,22,0.88 [0.68-1.14],0.338384768393532
PRSS2,Trypsin-2,Chapter IX Diseases of the circulatory system,Secondary right heart disease,Inverse variance weighted,22,1.03 [0.77-1.37],0.84335944656401
PRSS2,Trypsin-2,Chapter X Diseases of the respiratory system,Influenza and pneumonia,Inverse variance weighted,22,0.98 [0.93-1.02],0.336371572478187
PRSS2,Trypsin-2,Chapter X Diseases of the respiratory system,Other diseases of pleura,Inverse variance weighted,22,1.00 [0.91-1.10],0.999469627420074
PRSS2,Trypsin-2,Chapter XI Diseases of the digestive system,Diaphragmatic hernia,Inverse variance weighted,22,1.10 [0.99-1.23],0.0864434703507423
PRSS2,Trypsin-2,Chapter XI Diseases of the digestive system,Other diseases of intestines,Inverse variance weighted,22,1.03 [0.98-1.08],0.198631879704723
PRSS2,Trypsin-2,Chapter XI Diseases of the digestive system,Oesophagitis,Inverse variance weighted,22,1.01 [0.80-1.28],0.901502785990982
