Trait_category,Trait,Protein,Protein_definition,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
Diet and food preferences,X20660.Liking for fresh tomatoes,PTGR1,Prostaglandin reductase 1,33439,0.125146608960644,0.0258369985878598,0.0745060917284386,0.175787126192849,1.29576125216068e-06
Diet and food preferences,X20660.Liking for fresh tomatoes,SERPINA6,Corticosteroid-binding globulin,33469,0.513394375925111,0.110142546084932,0.297514985598644,0.729273766251578,3.18916367768628e-06
Diet and food preferences,X20660.Liking for fresh tomatoes,LTBP3,Latent-transforming growth factor beta-binding protein 3,34781,-0.138095193779953,0.0318229702563468,-0.200468215482392,-0.0757221720775129,1.44178810831165e-05
Diet and food preferences,X20660.Liking for fresh tomatoes,BGLAP,Osteocalcin,33432,-0.0960190734705886,0.0228374856605749,-0.140780545365316,-0.0512576015758618,2.64258459365302e-05
Diet and food preferences,X20660.Liking for fresh tomatoes,CDHR5,Cadherin-related family member 5,35036,-0.185173341143189,0.0442435448100715,-0.271890688970929,-0.0984559933154488,2.8706986102851e-05
Diet and food preferences,X20660.Liking for fresh tomatoes,FAM3D,Protein FAM3D,33398,-0.0994542079974174,0.0242465649677553,-0.146977475334218,-0.0519309406606171,4.13610463088523e-05
Diet and food preferences,X20660.Liking for fresh tomatoes,TNFSF10,Tumor necrosis factor ligand superfamily member 10,35140,-0.260590783428702,0.0649975659510847,-0.387986012692828,-0.133195554164576,6.13290647522784e-05
Diet and food preferences,X20660.Liking for fresh tomatoes,C4BPB,C4b-binding protein beta chain,35059,-0.168906586448898,0.0421598145649955,-0.251539822996289,-0.0862733499015067,6.20881708837245e-05
Diet and food preferences,X20660.Liking for fresh tomatoes,CENPF,Centromere protein F,33284,-0.135641186788472,0.0354539962589131,-0.205131019455942,-0.0661513541210028,0.000131227910201665
Diet and food preferences,X20660.Liking for fresh tomatoes,PKLR,Pyruvate kinase PKLR,35053,-0.0916128227777862,0.0245927992362958,-0.139814709280926,-0.0434109362746464,0.000196182843446579
Diet and food preferences,X20660.Liking for fresh tomatoes,CIT,Citron Rho-interacting kinase,33195,-0.155074578930776,0.0433382955994402,-0.240017638305679,-0.0701315195558728,0.000347797297547142
Diet and food preferences,X20660.Liking for fresh tomatoes,GALNT3,Polypeptide N-acetylgalactosaminyltransferase 3,34819,-0.145311881630485,0.0408923322465211,-0.225460852833666,-0.0651629104273033,0.000381798088241755
Diet and food preferences,X20660.Liking for fresh tomatoes,PDGFC,Platelet-derived growth factor C,34781,-0.205342620060228,0.058741019959198,-0.320475019180256,-0.0902102209401996,0.000474756643805366
Diet and food preferences,X20660.Liking for fresh tomatoes,TREML2,Trem-like transcript 2 protein,35037,-0.179865286629732,0.0519652856084558,-0.281717246422305,-0.0780133268371582,0.00053978012609648
Diet and food preferences,X20660.Liking for fresh tomatoes,IL18R1,Interleukin-18 receptor 1,35140,-0.182107244182853,0.0526362365886441,-0.285274267896595,-0.0789402204691105,0.000542826153906439
Diet and food preferences,X20660.Liking for fresh tomatoes,CTBS,Di-N-acetylchitobiase,33310,0.26366591236757,0.0768654414916917,0.113009647043854,0.414322177691286,0.000605830371292256
Diet and food preferences,X20660.Liking for fresh tomatoes,PEPD,Xaa-Pro dipeptidase,33452,0.264607917259675,0.0776965255145932,0.112322727251073,0.416893107268278,0.000662932211039295
Diet and food preferences,X20660.Liking for fresh tomatoes,DDC,Aromatic-L-amino-acid decarboxylase,35021,0.119743027973602,0.0359978497543176,0.0491872424551393,0.190298813492064,0.000882777312446856
Diet and food preferences,X20660.Liking for fresh tomatoes,EPHA1,Ephrin type-A receptor 1,35072,-0.167663160863498,0.0508289193495617,-0.267287842788639,-0.0680384789383568,0.000974957439672203
Diet and food preferences,X20660.Liking for fresh tomatoes,PGF,Placenta growth factor,35140,-0.217400890753034,0.0663605011254741,-0.347467472958963,-0.0873343085471046,0.00105602420809185
Diet and food preferences,X20660.Liking for fresh tomatoes,CD302,CD302 antigen,34972,-0.201143272637552,0.0614383863917945,-0.32156250996547,-0.0807240353096351,0.00106416144293887
Diet and food preferences,X20660.Liking for fresh tomatoes,PSME2,Proteasome activator complex subunit 2,34912,-0.148227204196497,0.0454713892762507,-0.237351127177949,-0.0591032812150459,0.00111851224297589
Diet and food preferences,X20660.Liking for fresh tomatoes,PRDX2,Peroxiredoxin-2,33291,-0.101478012477412,0.0311698243951964,-0.162570868291997,-0.0403851566628276,0.00113559907959671
Diet and food preferences,X20660.Liking for fresh tomatoes,PCDH17,Protocadherin-17,35036,-0.1657993853659,0.0509715986368124,-0.265703718694053,-0.065895052037748,0.00114640490493411
Diet and food preferences,X20660.Liking for fresh tomatoes,TNFRSF10C,Tumor necrosis factor receptor superfamily member 10C,35069,-0.11153352314657,0.0344473901418596,-0.179050407824615,-0.0440166384685251,0.00120828403141328
Diet and food preferences,X20660.Liking for fresh tomatoes,C9orf40,Uncharacterized protein C9orf40,33398,-0.0751408357698662,0.0234527678297179,-0.121108260716113,-0.0291734108236192,0.00136045149178045
Diet and food preferences,X20660.Liking for fresh tomatoes,PAPPA,Pappalysin-1,34819,-0.116788786386388,0.0371281898066066,-0.189560038407337,-0.044017534365439,0.0016624079263182
Diet and food preferences,X20660.Liking for fresh tomatoes,PSMD9,26S proteasome non-ATPase regulatory subunit 9,34972,-0.0930880816605272,0.0296306399463466,-0.151164135955366,-0.0350120273656879,0.00168484849951104
Diet and food preferences,X20660.Liking for fresh tomatoes,CA3,Carbonic anhydrase 3,35153,-0.0831514747088225,0.0266199048832087,-0.135326488279912,-0.0309764611377334,0.0017909528943248
Diet and food preferences,X20660.Liking for fresh tomatoes,MILR1,Allergin-1,34819,-0.109321813034571,0.0350099315853464,-0.17794127894185,-0.0407023471272917,0.00179758487943536
Diet and food preferences,X20660.Liking for fresh tomatoes,EIF4EBP1,Eukaryotic translation initiation factor 4E-binding protein 1,35036,-0.0803152609788815,0.0257241088913148,-0.130734514405859,-0.0298960075519044,0.00180002158716994
Diet and food preferences,X20660.Liking for fresh tomatoes,ATG4A,Cysteine protease ATG4A,34781,-0.0886927558900732,0.0286264991606614,-0.14480069424497,-0.0325848175351769,0.00195173909467445
Diet and food preferences,X20660.Liking for fresh tomatoes,HMBS,Porphobilinogen deaminase,35111,-0.112280878922475,0.0362520306117763,-0.183334858921557,-0.0412268989233938,0.00195846104253949
Diet and food preferences,X20660.Liking for fresh tomatoes,TFF2,Trefoil factor 2,35068,0.0973972953432348,0.0314528053617974,0.0357497968341118,0.159044793852358,0.00196253161578913
Diet and food preferences,X20660.Liking for fresh tomatoes,MIA,Melanoma-derived growth regulatory protein,35059,-0.144585777866928,0.0470172146762457,-0.236739518632369,-0.0524320371014863,0.00210920324123539
Diet and food preferences,X20660.Liking for fresh tomatoes,CA2,Carbonic anhydrase 2,35000,-0.0715637326180607,0.023290500835822,-0.117213114256272,-0.0259143509798495,0.00212703219376721
Diet and food preferences,X20660.Liking for fresh tomatoes,ITGAV,Integrin alpha-V,35111,0.318971208453793,0.104820204845404,0.113523606956801,0.524418809950784,0.00234778437889337
Diet and food preferences,X20660.Liking for fresh tomatoes,ADAM22,Disintegrin and metalloproteinase domain-containing protein 22,34959,-0.156967582482499,0.051621689619664,-0.258146094137041,-0.0557890708279579,0.00236587832405678
Diet and food preferences,X20660.Liking for fresh tomatoes,AGER,Advanced glycosylation end product-specific receptor,35013,-0.131799506580078,0.043390837741132,-0.216845548552697,-0.0467534646074596,0.00239135268612786
Diet and food preferences,X20660.Liking for fresh tomatoes,CCL14,C-C motif chemokine 14,34993,-0.133493580247272,0.0440089119396538,-0.219751047648993,-0.0472361128455504,0.00242459600356023
Diet and food preferences,X20660.Liking for fresh tomatoes,CUZD1,CUB and zona pellucida-like domain-containing protein 1,33195,-0.16735520671008,0.0552596272191652,-0.275664076059644,-0.0590463373605163,0.0024646784873727
Diet and food preferences,X20660.Liking for fresh tomatoes,PCSK7,Proprotein convertase subtilisin/kexin type 7,33394,-0.128141773886113,0.0428566730988853,-0.212140853159928,-0.0441426946122975,0.00279730808385709
Diet and food preferences,X20660.Liking for fresh tomatoes,AARSD1,Alanyl-tRNA editing protein Aarsd1,34972,-0.0899422775905783,0.0301062707048956,-0.148950568172174,-0.0309339870089829,0.00281924945914407
Diet and food preferences,X20660.Liking for fresh tomatoes,RETN,Resistin,34995,-0.125223021583854,0.042071576467137,-0.207683311459442,-0.042762731708265,0.00292290218005909
Diet and food preferences,X20660.Liking for fresh tomatoes,KLK1,Kallikrein-1,34909,0.0410402473093557,0.0137977561496002,0.0139966452561393,0.0680838493625721,0.00294219100346617
Diet and food preferences,X20660.Liking for fresh tomatoes,BLVRB,Flavin reductase,35037,-0.0723385156310619,0.0245370782952953,-0.120431189089841,-0.0242458421722831,0.00320400684565413
Diet and food preferences,X20660.Liking for fresh tomatoes,KITLG,Kit ligand,35036,-0.142819403264837,0.0485143137919522,-0.237907458297063,-0.0477313482326107,0.00324850340189892
Diet and food preferences,X20660.Liking for fresh tomatoes,PI3,Elafin,34904,-0.0986533305674216,0.0335157914370505,-0.16434428178404,-0.0329623793508027,0.0032525077567222
Diet and food preferences,X20660.Liking for fresh tomatoes,WFDC2,WAP four-disulfide core domain protein 2,34448,-0.157464120517902,0.0536605765302773,-0.262638850517245,-0.0522893905185582,0.00334903135792309
Diet and food preferences,X20660.Liking for fresh tomatoes,HAGH,"Hydroxyacylglutathione hydrolase, mitochondrial",35082,-0.0653484467930368,0.022283079158487,-0.109023281943671,-0.0216736116424022,0.00336801461493949
Diet and food preferences,X20660.Liking for fresh tomatoes,KRT18,"Keratin, type I cytoskeletal 18",34972,-0.0671054315353993,0.0230110784984256,-0.112207145392314,-0.0220037176784851,0.00355046467881862
Diet and food preferences,X20660.Liking for fresh tomatoes,SORCS2,VPS10 domain-containing receptor SorCS2,34781,-0.149104379436139,0.0511292797848944,-0.249317767814532,-0.048890991057746,0.00355060149846708
Diet and food preferences,X20660.Liking for fresh tomatoes,TEK,Angiopoietin-1 receptor,35059,-0.231531587174848,0.0794607351080204,-0.387274627986568,-0.0757885463631282,0.00357820910105177
Diet and food preferences,X20660.Liking for fresh tomatoes,EFNA1,Ephrin-A1,35014,-0.195514838423616,0.0671596477473869,-0.327147748008494,-0.0638819288387374,0.00360802550668208
Diet and food preferences,X20660.Liking for fresh tomatoes,TAFA5,Chemokine-like protein TAFA-5,34972,-0.148432398569859,0.051016427469388,-0.24842459640986,-0.0484402007298589,0.00362764015471342
Diet and food preferences,X20660.Liking for fresh tomatoes,RPE,Ribulose-phosphate 3-epimerase,33284,-0.080133777229296,0.0276428573686254,-0.134313777671802,-0.0259537767867902,0.00375401801753235
Diet and food preferences,X20660.Liking for fresh tomatoes,PIK3IP1,Phosphoinositide-3-kinase-interacting protein 1,35037,-0.201719010026269,0.0698454635717205,-0.338616118626841,-0.0648219014256967,0.00388392402796711
Diet and food preferences,X20660.Liking for fresh tomatoes,PTGDS,Prostaglandin-H2 D-isomerase,34943,-0.179073238564963,0.0620185009030084,-0.30062950033486,-0.0575169767950665,0.00389214081116856
Diet and food preferences,X20660.Liking for fresh tomatoes,HDDC2,5'-deoxynucleotidase HDDC2,33398,-0.131881294285541,0.0457364549196255,-0.221524745928007,-0.0422378426430753,0.00394215192090335
Diet and food preferences,X20660.Liking for fresh tomatoes,ALDH1A1,Retinal dehydrogenase 1,35037,-0.0920117812547265,0.0320674934260165,-0.154864068369719,-0.0291594941397341,0.00412175157273409
Diet and food preferences,X20660.Liking for fresh tomatoes,CDNF,Cerebral dopamine neurotrophic factor,34972,-0.160824627951064,0.0560575594929523,-0.27069744455725,-0.050951811344877,0.00412697153451271
Diet and food preferences,X20660.Liking for fresh tomatoes,MAEA,E3 ubiquitin-protein transferase MAEA,34781,-0.121015941927272,0.0425196104062944,-0.204354378323609,-0.0376775055309349,0.00443426671992707
Diet and food preferences,X20660.Liking for fresh tomatoes,PPME1,Protein phosphatase methylesterase 1,34972,-0.0769121505933718,0.0272487659753513,-0.13031973190506,-0.0235045692816831,0.00477266198037962
Diet and food preferences,X20660.Liking for fresh tomatoes,MLLT1,Protein ENL,33122,0.0845097658713401,0.0299606402072237,0.0257869110651815,0.143232620677499,0.00480290289677707
Diet and food preferences,X20660.Liking for fresh tomatoes,PSMG3,Proteasome assembly chaperone 3,35008,-0.0902340602626767,0.0320920471773287,-0.153134472730241,-0.0273336477951125,0.00493673429639149
Diet and food preferences,X20660.Liking for fresh tomatoes,AK1,Adenylate kinase isoenzyme 1,35036,-0.0724819098608842,0.0258296176765614,-0.123107960506945,-0.0218558592148239,0.00502282216326409
Diet and food preferences,X20660.Liking for fresh tomatoes,AIDA,"Axin interactor, dorsalization-associated protein",33195,-0.0641553658907007,0.0230135157006082,-0.109261856663893,-0.0190488751175086,0.00531942167452085
