Trait_category,Trait,Protein,Protein_definition,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
Working and living environment,X24017.Nitrogen dioxide air pollution; 2006,UBAC1,Ubiquitin-associated domain-containing protein 1,51704,0.0174642511627386,0.00276787747921687,0.0120392113034736,0.0228892910220037,2.84021833854738e-10
Working and living environment,X24017.Nitrogen dioxide air pollution; 2006,TGM2,Protein-glutamine gamma-glutamyltransferase 2,51781,0.0368731880192916,0.00587607290350108,0.0253560851284295,0.0483902909101537,3.54554606067875e-10
Working and living environment,X24017.Nitrogen dioxide air pollution; 2006,OMG,Oligodendrocyte-myelin glycoprotein,51704,-0.0297084386611356,0.00485458343889815,-0.039223422201376,-0.0201934551208952,9.50482327495298e-10
Working and living environment,X24017.Nitrogen dioxide air pollution; 2006,DDI2,Protein DDI1 homolog 2,47798,0.0372440179377015,0.0061326993741519,0.0252239271643638,0.0492641087110392,1.27464590234631e-09
Working and living environment,X24017.Nitrogen dioxide air pollution; 2006,HAGH,"Hydroxyacylglutathione hydrolase, mitochondrial",51967,0.0340439072125841,0.00578685235148045,0.0227016766036824,0.0453861378214857,4.0761585400945e-09
Working and living environment,X24017.Nitrogen dioxide air pollution; 2006,RET,Proto-oncogene tyrosine-protein kinase receptor Ret,51704,-0.0187501533963019,0.00318787272084498,-0.0249983839291581,-0.0125019228634458,4.1077726834727e-09
Working and living environment,X24017.Nitrogen dioxide air pollution; 2006,BGLAP,Osteocalcin,48300,-0.0408588877952243,0.00698748352428796,-0.0545543555028287,-0.0271634200876199,5.05704816225754e-09
Working and living environment,X24017.Nitrogen dioxide air pollution; 2006,PSMG3,Proteasome assembly chaperone 3,51777,0.023519076534633,0.00404237179949215,0.0155960278076284,0.0314421252616376,6.01702107543478e-09
Working and living environment,X24017.Nitrogen dioxide air pollution; 2006,CD22,B-cell receptor CD22,52108,-0.0180637956002351,0.00312548345129275,-0.0241897431647688,-0.0119378480357013,7.57177593712932e-09
Working and living environment,X24017.Nitrogen dioxide air pollution; 2006,PRDX2,Peroxiredoxin-2,47904,0.0282694364582632,0.00492648985618855,0.0186135163401337,0.0379253565763928,9.68372135431141e-09
Working and living environment,X24017.Nitrogen dioxide air pollution; 2006,CNTNAP2,Contactin-associated protein-like 2,51777,-0.0172659843150532,0.00307224189531261,-0.0232875784298659,-0.0112443902002404,1.9282236816779e-08
Working and living environment,X24017.Nitrogen dioxide air pollution; 2006,ATXN3,Ataxin-3,48249,0.0269934059606154,0.00481936647005918,0.0175474476792994,0.0364393642419314,2.15437131492611e-08
Working and living environment,X24017.Nitrogen dioxide air pollution; 2006,PSMG4,Proteasome assembly chaperone 4,47625,0.0245185134612971,0.00447232883712209,0.0157527489405378,0.0332842779820564,4.2428295487644e-08
Working and living environment,X24017.Nitrogen dioxide air pollution; 2006,CA2,Carbonic anhydrase 2,51733,0.0303576887239789,0.00558209396519917,0.0194167845521885,0.0412985928957692,5.42209489985753e-08
Working and living environment,X24017.Nitrogen dioxide air pollution; 2006,CXCL14,C-X-C motif chemokine 14,51271,-0.026128834542754,0.00481180869585579,-0.0355599795866313,-0.0166976894988766,5.67959192858971e-08
Working and living environment,X24017.Nitrogen dioxide air pollution; 2006,CAT,Catalase,47947,0.022919907594973,0.0042650872066967,0.0145603366698475,0.0312794785200986,7.7809675988012e-08
Working and living environment,X24017.Nitrogen dioxide air pollution; 2006,AMPD3,AMP deaminase 3,48249,0.0303122853860214,0.00564181109720666,0.0192543356354964,0.0413702351365465,7.82540284611271e-08
Working and living environment,X24017.Nitrogen dioxide air pollution; 2006,SCG2,Secretogranin-2,51917,-0.0130547569096422,0.00243289470496312,-0.0178232305313699,-0.00828628328791448,8.11820982765479e-08
Working and living environment,X24017.Nitrogen dioxide air pollution; 2006,PSME2,Proteasome activator complex subunit 2,51501,0.0153275872845573,0.00287961325612696,0.00968354530254844,0.0209716292665661,1.02999179233857e-07
Working and living environment,X24017.Nitrogen dioxide air pollution; 2006,PKLR,Pyruvate kinase PKLR,51872,0.026770735037627,0.00524895851726077,0.0164827763437959,0.0370586937314581,3.41553663744428e-07
Working and living environment,X24017.Nitrogen dioxide air pollution; 2006,PSME1,Proteasome activator complex subunit 1,51591,0.0148414194419083,0.00292644258813835,0.00910559196915716,0.0205772469146595,3.97312962139482e-07
Working and living environment,X24017.Nitrogen dioxide air pollution; 2006,C9orf40,Uncharacterized protein C9orf40,48178,0.0327001147857639,0.00644785607951202,0.0200623168699203,0.0453379127016075,3.97723903283664e-07
Working and living environment,X24017.Nitrogen dioxide air pollution; 2006,BOLA2_BOLA2B,BolA-like protein 2,47687,0.0218686151371334,0.00432060700331606,0.0134002254106339,0.0303370048636329,4.19213675693662e-07
Working and living environment,X24017.Nitrogen dioxide air pollution; 2006,YOD1,Ubiquitin thioesterase OTU1,47544,0.0248511282405991,0.00492489278796914,0.0151983383761795,0.0345039181050186,4.54519984524756e-07
Working and living environment,X24017.Nitrogen dioxide air pollution; 2006,IMPACT,Protein IMPACT,48249,0.0218447432822646,0.00434587973659435,0.0133268189985397,0.0303626675659896,5.03026344399037e-07
Working and living environment,X24017.Nitrogen dioxide air pollution; 2006,BLVRB,Flavin reductase,51823,0.0261436310568761,0.00525370495415744,0.0158463693467275,0.0364408927670246,6.5228409910856e-07
