Trait_category,Trait,Protein,Protein_definition,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
Eye measures,X6147#3.Reason for glasses or contact lenses_For just reading or near work as you are getting older (called 'presbyopia'),TGM2,Protein-glutamine gamma-glutamyltransferase 2,52107,0.267191737609324,0.0200677751976194,0.22785889822199,0.306524576996658,2.53894559684442e-40
Eye measures,X6147#3.Reason for glasses or contact lenses_For just reading or near work as you are getting older (called 'presbyopia'),ARG1,Arginase-1,52001,0.157817778153673,0.0142296672827929,0.129927630279399,0.185707926027947,1.59868323523947e-28
Eye measures,X6147#3.Reason for glasses or contact lenses_For just reading or near work as you are getting older (called 'presbyopia'),HAGH,"Hydroxyacylglutathione hydrolase, mitochondrial",52295,0.203632894346299,0.0198004045954024,0.16482410133931,0.242441687353288,9.18758462367532e-25
Eye measures,X6147#3.Reason for glasses or contact lenses_For just reading or near work as you are getting older (called 'presbyopia'),PKLR,Pyruvate kinase PKLR,52201,0.180680533275123,0.0179470284659057,0.145504357481948,0.215856709068298,8.4556110539368e-24
Eye measures,X6147#3.Reason for glasses or contact lenses_For just reading or near work as you are getting older (called 'presbyopia'),PSMD9,26S proteasome non-ATPase regulatory subunit 9,52027,0.148674438522827,0.0149430078365571,0.119386143163175,0.177962733882479,2.77626770704787e-23
Eye measures,X6147#3.Reason for glasses or contact lenses_For just reading or near work as you are getting older (called 'presbyopia'),OMG,Oligodendrocyte-myelin glycoprotein,52027,-0.164452354694204,0.0166243144637232,-0.197036011043102,-0.131868698345307,4.91222242439769e-23
Eye measures,X6147#3.Reason for glasses or contact lenses_For just reading or near work as you are getting older (called 'presbyopia'),SLC4A1,Band 3 anion transport protein,48592,0.115047541562848,0.012365480653503,0.0908111994819821,0.139283883643714,1.46505965884875e-20
Eye measures,X6147#3.Reason for glasses or contact lenses_For just reading or near work as you are getting older (called 'presbyopia'),AMPD3,AMP deaminase 3,48537,0.178661890468967,0.0192502334550374,0.140931432897094,0.216392348040841,1.81583798621802e-20
Eye measures,X6147#3.Reason for glasses or contact lenses_For just reading or near work as you are getting older (called 'presbyopia'),DNAJA4,DnaJ homolog subfamily A member 4,48537,0.177276510349018,0.0191377570790458,0.139766506474088,0.214786514223948,2.14530204948641e-20
Eye measures,X6147#3.Reason for glasses or contact lenses_For just reading or near work as you are getting older (called 'presbyopia'),UBAC1,Ubiquitin-associated domain-containing protein 1,52027,0.0877746911273261,0.00948027130553166,0.069193359368484,0.106356022886168,2.21568573882866e-20
Eye measures,X6147#3.Reason for glasses or contact lenses_For just reading or near work as you are getting older (called 'presbyopia'),PRDX2,Peroxiredoxin-2,48198,0.151377437354332,0.0168690504900224,0.118314098393888,0.184440776314776,3.07504942995619e-19
Eye measures,X6147#3.Reason for glasses or contact lenses_For just reading or near work as you are getting older (called 'presbyopia'),AARSD1,Alanyl-tRNA editing protein Aarsd1,52027,0.133408265236553,0.014887284310373,0.104229187988222,0.162587342484884,3.40885247693772e-19
Eye measures,X6147#3.Reason for glasses or contact lenses_For just reading or near work as you are getting older (called 'presbyopia'),CA2,Carbonic anhydrase 2,52065,0.168492560184247,0.0191038091694269,0.13104909421217,0.205936026156323,1.21234203961228e-18
Eye measures,X6147#3.Reason for glasses or contact lenses_For just reading or near work as you are getting older (called 'presbyopia'),HMBS,Porphobilinogen deaminase,52382,0.106781758096928,0.0121806397682745,0.08290770415111,0.130655812042746,1.94533079113064e-18
Eye measures,X6147#3.Reason for glasses or contact lenses_For just reading or near work as you are getting older (called 'presbyopia'),BLVRB,Flavin reductase,52155,0.157460237528371,0.0179819971806771,0.122215523054244,0.192704952002498,2.12560413678484e-18
Eye measures,X6147#3.Reason for glasses or contact lenses_For just reading or near work as you are getting older (called 'presbyopia'),CAT,Catalase,48236,0.126388214915433,0.0145758970572466,0.0978194566832295,0.154956973147636,4.55054638876168e-18
Eye measures,X6147#3.Reason for glasses or contact lenses_For just reading or near work as you are getting older (called 'presbyopia'),CA1,Carbonic anhydrase 1,51511,0.144786023478316,0.0169162668620051,0.111630140428786,0.177941906527846,1.19806698060946e-17
Eye measures,X6147#3.Reason for glasses or contact lenses_For just reading or near work as you are getting older (called 'presbyopia'),TBC1D17,TBC1 domain family member 17,51471,0.10429706083066,0.0122176352902127,0.0803504956618426,0.128243625999476,1.45372990570657e-17
Eye measures,X6147#3.Reason for glasses or contact lenses_For just reading or near work as you are getting older (called 'presbyopia'),DDI2,Protein DDI1 homolog 2,48084,0.178341784572346,0.0209461031481148,0.137287422402041,0.219396146742651,1.77403330522665e-17
Eye measures,X6147#3.Reason for glasses or contact lenses_For just reading or near work as you are getting older (called 'presbyopia'),CENPF,Centromere protein F,48139,0.123688892902203,0.0145523478962305,0.0951662910255916,0.152211494778815,2.01329332404534e-17
Eye measures,X6147#3.Reason for glasses or contact lenses_For just reading or near work as you are getting older (called 'presbyopia'),PTPRN2,Receptor-type tyrosine-protein phosphatase N2,51865,-0.0711339859448333,0.00838066654110773,-0.0875600923654044,-0.0547078795242621,2.20934999037656e-17
Eye measures,X6147#3.Reason for glasses or contact lenses_For just reading or near work as you are getting older (called 'presbyopia'),C9orf40,Uncharacterized protein C9orf40,48466,0.186590995197618,0.022021270011435,0.143429305975205,0.22975268442003,2.52214168627981e-17
Eye measures,X6147#3.Reason for glasses or contact lenses_For just reading or near work as you are getting older (called 'presbyopia'),CCL2,C-C motif chemokine 2,51916,0.118868878919278,0.0140514080790767,0.0913281190842881,0.146409638754269,2.81512088374176e-17
Eye measures,X6147#3.Reason for glasses or contact lenses_For just reading or near work as you are getting older (called 'presbyopia'),PSMG3,Proteasome assembly chaperone 3,52104,0.112963787999407,0.0138503966530034,0.0858170105595201,0.140110565439293,3.60854774675231e-16
Eye measures,X6147#3.Reason for glasses or contact lenses_For just reading or near work as you are getting older (called 'presbyopia'),LHPP,Phospholysine phosphohistidine inorganic pyrophosphate phosphatase,52202,0.122013314181035,0.0157374547261026,0.0911679029178735,0.152858725444196,9.27728743734976e-15
Eye measures,X6147#3.Reason for glasses or contact lenses_For just reading or near work as you are getting older (called 'presbyopia'),AHSP,Alpha-hemoglobin-stabilizing protein,52114,0.180361976579461,0.0235521015164878,0.134199857607145,0.226524095551777,1.95010427665523e-14
Eye measures,X6147#3.Reason for glasses or contact lenses_For just reading or near work as you are getting older (called 'presbyopia'),CARHSP1,Calcium-regulated heat-stable protein 1,51471,0.107619248041401,0.0141599752228929,0.079865696604531,0.135372799478271,3.05153412460732e-14
Eye measures,X6147#3.Reason for glasses or contact lenses_For just reading or near work as you are getting older (called 'presbyopia'),ANKRD54,Ankyrin repeat domain-containing protein 54,51498,0.115692052698495,0.0154381557632532,0.0854332674025187,0.145950837994471,6.89005132241162e-14
Eye measures,X6147#3.Reason for glasses or contact lenses_For just reading or near work as you are getting older (called 'presbyopia'),RTBDN,Retbindin,52027,-0.0558057476525607,0.0076465419741235,-0.0707929699218428,-0.0408185253832786,2.99589332300877e-13
Eye measures,X6147#3.Reason for glasses or contact lenses_For just reading or near work as you are getting older (called 'presbyopia'),PSME2,Proteasome activator complex subunit 2,51826,0.0717503193986026,0.00986410889044382,0.0524166659733327,0.0910839728238725,3.58690105673199e-13
Eye measures,X6147#3.Reason for glasses or contact lenses_For just reading or near work as you are getting older (called 'presbyopia'),MOG,Myelin-oligodendrocyte glycoprotein,52382,-0.0615373782294546,0.00848092966774712,-0.078160000378239,-0.0449147560806703,4.09178588571922e-13
Eye measures,X6147#3.Reason for glasses or contact lenses_For just reading or near work as you are getting older (called 'presbyopia'),ALDH1A1,Retinal dehydrogenase 1,52155,0.1034502345584,0.0142848983296275,0.0754518338323303,0.13144863528447,4.53872360325399e-13
Eye measures,X6147#3.Reason for glasses or contact lenses_For just reading or near work as you are getting older (called 'presbyopia'),DNPH1,2'-deoxynucleoside 5'-phosphate N-hydrolase 1,52249,0.100214425727386,0.0139786855008623,0.0728162021456955,0.127612649309076,7.73827567457276e-13
Eye measures,X6147#3.Reason for glasses or contact lenses_For just reading or near work as you are getting older (called 'presbyopia'),RBKS,Ribokinase,51505,0.0973184956972082,0.0136037336146323,0.070655177812529,0.123981813581887,8.65493960908407e-13
Eye measures,X6147#3.Reason for glasses or contact lenses_For just reading or near work as you are getting older (called 'presbyopia'),NAP1L4,Nucleosome assembly protein 1-like 4,48425,0.0771089071695619,0.0109087557657241,0.0557277458687426,0.0984900684703812,1.60869377386361e-12
