Trait_category,Trait,Protein,Protein_definition,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,MEGF10,Multiple epidermal growth factor-like domains protein 10,51826,-0.0132122567095552,0.00290602698367076,-0.0189080695975499,-0.0075164438215605,5.47783882775173e-06
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,ADGRG2,Adhesion G-protein coupled receptor G2,51823,-0.00906831269519288,0.00204807472988659,-0.0130825391657706,-0.00505408622461516,9.56003374433655e-06
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,TYRP1,"5,6-dihydroxyindole-2-carboxylic acid oxidase",47625,-0.019704714051137,0.00466996358156904,-0.0288578426710123,-0.0105515854312617,2.45821617554667e-05
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,DPP4,Dipeptidyl peptidase 4,51302,-0.00938662154931614,0.00226077889101608,-0.0138177481757077,-0.00495549492292462,3.30683702068183e-05
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,IL13RA1,Interleukin-13 receptor subunit alpha-1,51482,-0.00621948297595426,0.00158864833824754,-0.00933323371891944,-0.00310573223298908,9.06437056408455e-05
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,CD8A,T-cell surface glycoprotein CD8 alpha chain,52057,-0.014059754766157,0.00369263412753051,-0.0212973176561168,-0.00682219187619725,0.000140674456641065
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,PENK,Proenkephalin-A,47798,-0.00880053013232445,0.0023246150265604,-0.0133567755843828,-0.00424428468026608,0.000153597528965663
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,BGLAP,Osteocalcin,48300,-0.0258926650589872,0.00687888972359092,-0.0393752889172254,-0.012410041200749,0.000167566569810288
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,CXCL14,C-X-C motif chemokine 14,51271,-0.0178837838544357,0.00476103679172916,-0.0272154159662248,-0.00855215174264655,0.00017282289585315
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,IDS,Iduronate 2-sulfatase,52108,-0.00245000112322155,0.000655552932916682,-0.00373488487173825,-0.00116511737470486,0.000186377586117101
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,CTSO,Cathepsin O,52108,-0.00847635041810895,0.0022771005502651,-0.0129394674966286,-0.00401323333958935,0.000197704627239677
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,SCARA5,Scavenger receptor class A member 5,52057,-0.00813331486282427,0.00220399324706248,-0.0124531416270667,-0.00381348809858182,0.000224452791014757
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,RTN4R,Reticulon-4 receptor,52054,-0.00926825830701235,0.00256554693663158,-0.0142967303028102,-0.00423978631121446,0.000303696790494382
