Trait_category,Trait,Protein,Protein_definition,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
Working and living environment,X24006.Particulate matter air pollution (pm2.5); 2010,ADGRG2,Adhesion G-protein coupled receptor G2,49952,-0.0113028935041091,0.00212999713800927,-0.0154776878946073,-0.00712809911361095,1.12664477316638e-07
Working and living environment,X24006.Particulate matter air pollution (pm2.5); 2010,MEGF10,Multiple epidermal growth factor-like domains protein 10,49963,-0.0143097717882351,0.00301676576571818,-0.0202226326890427,-0.00839691088742745,2.11281325364665e-06
Working and living environment,X24006.Particulate matter air pollution (pm2.5); 2010,DPP4,Dipeptidyl peptidase 4,49466,-0.00923067354065132,0.00234998128407863,-0.0138366368574454,-0.00462471022385721,8.58931228717905e-05
Working and living environment,X24006.Particulate matter air pollution (pm2.5); 2010,ITGAV,Integrin alpha-V,50163,-0.00491086319514113,0.00128877225903774,-0.00743685682285511,-0.00238486956742715,0.000139010401852873
Working and living environment,X24006.Particulate matter air pollution (pm2.5); 2010,CSF3,Granulocyte colony-stimulating factor,49438,0.0146352957730004,0.00387728546904444,0.00703581625367335,0.0222347752923275,0.000160619475816172
Working and living environment,X24006.Particulate matter air pollution (pm2.5); 2010,PRTG,Protogenin,50163,-0.00723574070433339,0.00197090420203994,-0.0110987129403317,-0.00337276846833511,0.000241827436357466
Working and living environment,X24006.Particulate matter air pollution (pm2.5); 2010,ITGB2,Integrin beta-2,49794,-0.00820909775989053,0.00225195841978821,-0.0126229362626754,-0.00379525925710564,0.000267598472941543
Working and living environment,X24006.Particulate matter air pollution (pm2.5); 2010,CXCL14,C-X-C motif chemokine 14,49438,-0.0179949607193034,0.00496720784952903,-0.0277306881043803,-0.00825923333422655,0.000292063099815494
Working and living environment,X24006.Particulate matter air pollution (pm2.5); 2010,APOA4,Apolipoprotein A-IV,46634,-0.0103532547186989,0.00287183750660478,-0.0159820562316443,-0.00472445320575352,0.000312719349010697
Working and living environment,X24006.Particulate matter air pollution (pm2.5); 2010,SMPDL3A,Acid sphingomyelinase-like phosphodiesterase 3a,50043,-0.0176848151526985,0.00507358071831138,-0.0276290333605888,-0.0077405969448082,0.000491732961262058
Working and living environment,X24006.Particulate matter air pollution (pm2.5); 2010,STX7,Syntaxin-7,45959,-0.0136103712196302,0.00399523682350849,-0.0214410353937068,-0.00577970704555357,0.000658858712486025
Working and living environment,X24006.Particulate matter air pollution (pm2.5); 2010,NTproBNP,N-terminal prohormone of brain natriuretic peptide,49952,-0.0256582324778121,0.00767778930773762,-0.0407066995209779,-0.0106097654346464,0.000833332993831318
Working and living environment,X24006.Particulate matter air pollution (pm2.5); 2010,CD248,Endosialin,46592,-0.0104373640107698,0.00314593040112007,-0.0166033875969652,-0.00427134042457451,0.000908966883691469
Working and living environment,X24006.Particulate matter air pollution (pm2.5); 2010,MZB1,Marginal zone B- and B1-cell-specific protein,50047,0.0131736751908944,0.00401483434787356,0.0053045998690622,0.0210427505127265,0.0010348634324334
Working and living environment,X24006.Particulate matter air pollution (pm2.5); 2010,PLA2G7,Platelet-activating factor acetylhydrolase,49950,-0.00804304115132801,0.00249501443889017,-0.0129332694515527,-0.00315281285110328,0.0012672932917306
Working and living environment,X24006.Particulate matter air pollution (pm2.5); 2010,NOTCH1,Neurogenic locus notch homolog protein 1,50262,-0.00390272007310282,0.00121972984026045,-0.00629339056001329,-0.00151204958619234,0.00137756379468488
Working and living environment,X24006.Particulate matter air pollution (pm2.5); 2010,FGFBP2,Fibroblast growth factor-binding protein 2,46592,-0.0126382591359191,0.0039575846093446,-0.0203951249702345,-0.00488139330160368,0.00140791387833833
Working and living environment,X24006.Particulate matter air pollution (pm2.5); 2010,SPP1,Osteopontin,50219,-0.0119560139871386,0.00378394484622568,-0.0193725458857409,-0.0045394820885363,0.00158130937605599
Working and living environment,X24006.Particulate matter air pollution (pm2.5); 2010,OMD,Osteomodulin,50083,-0.0110768395709987,0.00352454208971034,-0.0179849420668309,-0.00416873707516642,0.00167545626951121
Working and living environment,X24006.Particulate matter air pollution (pm2.5); 2010,FAM3D,Protein FAM3D,46474,-0.0204661720766914,0.00651212464972381,-0.03322993639015,-0.00770240776323269,0.00167573774380315
Working and living environment,X24006.Particulate matter air pollution (pm2.5); 2010,ITGB6,Integrin beta-6,49438,-0.00733574814983435,0.00236578803928024,-0.0119726927068236,-0.00269880359284507,0.00193237403981629
Working and living environment,X24006.Particulate matter air pollution (pm2.5); 2010,CDH6,Cadherin-6,49952,-0.00925071165698539,0.003001688950219,-0.0151340219994146,-0.00336740131455615,0.00205947738530649
Working and living environment,X24006.Particulate matter air pollution (pm2.5); 2010,IDS,Iduronate 2-sulfatase,50221,-0.00209421315590674,0.000682247254446281,-0.00343141777462145,-0.000757008537192026,0.00214582127256264
Working and living environment,X24006.Particulate matter air pollution (pm2.5); 2010,CRTAC1,Cartilage acidic protein 1,50262,-0.00712631553613551,0.00232322384350424,-0.0116798342694038,-0.00257279680286719,0.00216134918526205
Working and living environment,X24006.Particulate matter air pollution (pm2.5); 2010,PRUNE2,Protein prune homolog 2,46180,0.00705098630062637,0.00230139333501428,0.00254025536399837,0.0115617172372544,0.00218819697769239
Working and living environment,X24006.Particulate matter air pollution (pm2.5); 2010,HSPB1,Heat shock protein beta-1,49551,-0.0163049681615918,0.0053459864062131,-0.0267831015177695,-0.00582683480541417,0.00229121332802718
Working and living environment,X24006.Particulate matter air pollution (pm2.5); 2010,ITGB1,Integrin beta-1,49929,-0.00521946375608861,0.00171148582068028,-0.00857397596462196,-0.00186495154755526,0.00229329540637343
Working and living environment,X24006.Particulate matter air pollution (pm2.5); 2010,OGFR,Opioid growth factor receptor,49840,-0.00803671620571759,0.00263702903382066,-0.0132052931120061,-0.0028681392994291,0.00230882776205546
Working and living environment,X24006.Particulate matter air pollution (pm2.5); 2010,FAM3C,Protein FAM3C,49908,-0.007053943256949,0.00231745158045983,-0.0115961483546503,-0.00251173815924774,0.00233820504938521
Working and living environment,X24006.Particulate matter air pollution (pm2.5); 2010,P4HB,Protein disulfide-isomerase,49821,-0.00933559829453247,0.00307186358971303,-0.01535645093037,-0.00331474565869493,0.00237553869397077
Working and living environment,X24006.Particulate matter air pollution (pm2.5); 2010,CTSB,Cathepsin B,49973,-0.0128741986871156,0.00424597421657829,-0.021196308151609,-0.00455208922262211,0.00243106145193093
Working and living environment,X24006.Particulate matter air pollution (pm2.5); 2010,MEPE,Matrix extracellular phosphoglycoprotein,49963,-0.00639833944454186,0.00211165055619075,-0.0105371745346757,-0.002259504354408,0.00244783904336372
Working and living environment,X24006.Particulate matter air pollution (pm2.5); 2010,RAB6A,Ras-related protein Rab-6A,49925,-0.0116658084538147,0.00385909124090383,-0.0192296272859862,-0.00410198962164322,0.00250579204182723
